"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","variable"
3,1.12817308578088,0.694201812675754,0.105085107773041,-0.0136872836351214,2.27003345519688,0.765121802418276,0.837711425982629,0.361724492095588,-0.61279087494794,2.14303447978449,0.782479977321778,343,"IPC"
4,1.26099795758872,0.8224836049729,0.126194845411152,-0.0918671831590743,2.61386309833652,0.832375450132564,0.932167500713288,0.372536668559844,-0.700903644341976,2.3656545446071,0.772702920809274,342,"IPC"
5,1.67094423292034,0.911568984262741,0.0676997843351892,0.171546682939299,3.17034178290138,0.437953899942209,0.962938811460773,0.64954611351112,-1.14593949662138,2.0218472965058,0.425034645801959,341,"IPC"
6,1.62538636222156,1.1274601197164,0.150359328881956,-0.229120504937093,3.47989322938021,0.416244687537869,0.982249211369271,0.672013593433468,-1.1994114903531,2.03190086542884,0.497595523763944,340,"IPC"
7,1.76031599093428,1.15760318937956,0.129312568860698,-0.143771813687288,3.66440379555584,0.1200155894391,0.940853259551176,0.898575302608469,-1.42755030696277,1.66758148584097,0.353120716288536,339,"IPC"
8,1.64408333780632,1.18390173473449,0.16587228285801,-0.303261724525843,3.59142840013848,0.0785393963084524,0.931835467266606,0.932881875828372,-1.45419355174704,1.61127234436395,0.375502545819592,338,"IPC"
9,1.38769864805015,1.17180300850637,0.237182531829236,-0.539745780564202,3.3151430766645,0.191939151089448,0.997548191715708,0.847540522367651,-1.44888161011302,1.83275991229191,0.503963176623687,337,"IPC"
10,1.50234096632533,1.10016286279113,0.173023640409092,-0.307265908773966,3.31194784142463,0.103553267952772,1.07738843482845,0.923488601964824,-1.66859300671038,1.87569954261592,0.416077898208939,336,"IPC"
11,1.20117741738518,1.1120521062267,0.280883519560336,-0.627985522900826,3.03034035767119,0.528696130602793,1.19073604957929,0.657334230066398,-1.42989037928956,2.48728264049515,0.707287453876307,335,"IPC"
12,0.662131148346147,1.12264906703577,0.555742707511252,-1.18446224136133,2.50872453805363,1.00950714305151,1.25123476592454,0.420372195309523,-1.04859089984725,3.06760518595027,0.850754026692559,334,"IPC"
13,0.157573061312859,1.0162930924758,0.876881813976484,-1.51408031789169,1.82922644051741,1.38880906395414,1.2972779092401,0.285173257256841,-0.745023210223456,3.52264133813174,0.482511169021872,333,"IPC"
14,0.0328532303910351,0.906006055620152,0.971096377030231,-1.45739411623577,1.52310057701784,1.26126720661087,1.30343444882952,0.333950391971386,-0.882691674039867,3.4052260872616,0.452465892986487,332,"IPC"
15,-0.165315989937385,0.834935589068162,0.843172355323587,-1.53866282188701,1.20803084201224,1.17993056066542,1.27054213267471,0.353755689372669,-0.909925274459231,3.26978639579007,0.379813011847416,331,"IPC"
16,-0.511538835639705,0.837832327036114,0.541933393132047,-1.88965037754225,0.866572706262839,1.32188442570371,1.2926717458455,0.307274921255324,-0.804371383907959,3.44814023531537,0.247532168971255,330,"IPC"
17,-0.697826401383797,0.856660129218534,0.415918811783264,-2.10690692199362,0.711254119226025,1.32321460326516,1.31734458939941,0.31592499772855,-0.84362442255336,3.49005362908368,0.223711896572769,329,"IPC"
18,-0.79624787581584,0.818003956095772,0.331097347386197,-2.14174464986062,0.549248898228942,1.16826906453226,1.33403163783525,0.381834865954593,-1.02601771342905,3.36255584249358,0.240539168613138,328,"IPC"
19,-1.00132738271965,0.718351183222529,0.164322904630892,-2.1829099318681,0.180255166428811,1.31000499862024,1.24904782795866,0.295072854810506,-0.744495851433422,3.3645058486739,0.111522424652854,327,"IPC"
20,-0.832513065707099,0.688573746136498,0.227557146103905,-1.96511608946328,0.300089958049082,1.02124915462898,1.16450089581924,0.381165555125687,-0.894184367447532,2.9366826767055,0.150645573745418,326,"IPC"
21,-0.881053722450265,0.715497739318387,0.219103019991481,-2.05794277404369,0.295835329143162,0.970534659308038,1.10959409637002,0.382421201241123,-0.854585214550131,2.79565453316621,0.136379565367184,325,"IPC"
22,-1.21715633660503,0.744916092649369,0.103277761228205,-2.44243427337386,0.00812160016380581,1.06848132661136,1.0086186823717,0.290259326625555,-0.590548771298735,2.72751142452146,0.0488460222594789,324,"IPC"
23,-1.33583205673143,0.818973448362808,0.103880281266817,-2.68292350364795,0.0112593901850875,0.965203260587286,0.942695063125921,0.306689380554586,-0.585392133104632,2.5157986542792,0.0574416829333069,323,"IPC"
24,-0.985861668182612,0.743005734498223,0.185532809160784,-2.20799734541776,0.236274009052532,0.374233895832401,0.970709379380818,0.700112011997384,-1.22244094755795,1.97090873922275,0.266894682614614,322,"IPC"
1,0.113042952252391,1.07407275465184,0.916243171070927,-1.65364951384644,1.87973541835122,-1.3728199595756,1.12184618367534,0.221924928239659,-3.21809272367564,0.472452804524444,0.452340099753906,345,"Creditos"
