"horizon","tot_value","tot_sd_units","marginal_effect","se","ci_lower","ci_upper"
12,-28.5399175045792,-1.5,0.32508348974859,3.20414506404846,-4.94526614013017,5.59543311962736
12,-26.6372563376073,-1.4,-0.0893415015883869,3.1161775011643,-5.21499736660305,5.03631436342628
12,-24.7345951706353,-1.3,-0.503766492925363,3.03234818640152,-5.49153540550762,4.48400241965689
12,-22.8319340036634,-1.2,-0.918191484262341,2.95300956752534,-5.7754599818288,3.93907701330412
12,-20.9292728366914,-1.1,-1.33261647559932,2.87853298847407,-6.06738190199035,3.40214895079171
12,-19.0266116697195,-1,-1.74704146693629,2.80930516375211,-6.36793725474745,2.87385432087486
12,-17.1239505027475,-0.9,-2.16146645827327,2.74572313206351,-6.6777791106525,2.35484619410595
12,-15.2212893357756,-0.8,-2.57589144961025,2.68818753258151,-6.99756646250268,1.84578356328218
12,-13.3186281688036,-0.7,-2.99031644094723,2.63709415459863,-7.32795032575131,1.34731744385686
12,-11.4159670018317,-0.6,-3.4047414322842,2.59282387130778,-7.66955718105116,0.860074316482756
12,-9.51330583485974,-0.5,-3.81916642362118,2.5557312754948,-8.0229702816321,0.384637434389746
12,-7.61064466788779,-0.4,-4.23359141495816,2.52613256876488,-8.3887097328513,-0.0784730970650118
12,-5.70798350091584,-0.3,-4.64801640629513,2.50429348018969,-8.76721262013607,-0.528820192454194
12,-3.80532233394389,-0.2,-5.06244139763211,2.49041815612964,-9.15881473436775,-0.96606806089647
12,-1.90266116697195,-0.0999999999999999,-5.47686638896909,2.48464001967153,-9.56373553699458,-1.3899972409436
12,0,0,-5.89129138030607,2.48701550856445,-9.98206785985286,-1.80051490075927
12,1.90266116697195,0.1,-6.30571637164304,2.4975213572341,-10.4137734344783,-2.19765930880778
12,3.8053223339439,0.2,-6.72014136298002,2.51605572222763,-10.8586847432981,-2.5815979826619
12,5.70798350091584,0.3,-7.134566354317,2.54244302637875,-11.3165129875736,-2.95261972106044
12,7.6106446678878,0.4,-7.54899134565398,2.5764419971975,-11.7868613093744,-3.31112138193357
12,9.51330583485974,0.5,-7.96341633699095,2.61775607438466,-12.2692419104168,-3.6575907635651
12,11.4159670018317,0.6,-8.37784132832793,2.66604520639581,-12.7630954556847,-3.99258720097119
12,13.3186281688036,0.7,-8.7922663196649,2.72093805472083,-13.2678111476827,-4.31672149164706
12,15.2212893357756,0.8,-9.20669131100188,2.78204375059479,-13.7827460645054,-4.63063655749837
12,17.1239505027475,0.9,-9.62111630233886,2.84896255509485,-14.3072426941356,-4.93498991054216
12,19.0266116697195,1,-10.0355412936758,2.92129500871707,-14.8406439841593,-5.23043860319233
12,20.9292728366914,1.1,-10.4499662850128,2.99864937815203,-15.382305590622,-5.51762697940367
12,22.8319340036634,1.2,-10.8643912763498,3.08064738906313,-15.9316053076089,-5.79717724509073
12,24.7345951706353,1.3,-11.2788162676868,3.16692836292596,-16.487949871741,-6.06968266363251
12,26.6372563376073,1.4,-11.6932412590237,3.25715195432789,-17.050779464632,-6.33570305341544
12,28.5399175045792,1.5,-12.1076662503607,3.35099972079567,-17.6195702950248,-6.5957622056966
