"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","fci_type","fci_label"
15,0.0145772897749116,0.00929396417046133,0.117763213384195,-0.000709920899628695,0.029864500449452,-0.0355483990347012,0.0096523644756424,0.000270787796329197,-0.0514251257511192,-0.0196716723182833,0.000946173307894815,331,"FCI_COMP","Comprehensive"
16,0.0132561753100294,0.00967433311136168,0.17157799908868,-0.00265668659653055,0.0291690372165894,-0.0355204320990373,0.0100743238457662,0.000484188428879992,-0.0520912202158295,-0.0189496439822451,0.00218372929129107,330,"FCI_COMP","Comprehensive"
17,0.0128471922414208,0.0105260954951242,0.223179160165367,-0.0044666941113719,0.0301610785942134,-0.0357597067581746,0.0105232734190074,0.000765001373612798,-0.0530689512088309,-0.0184504623075183,0.00489286011396384,329,"FCI_COMP","Comprehensive"
18,0.0153640911134831,0.0112072583684917,0.171377314404046,-0.00307020846211279,0.0337983906890789,-0.0391067394803187,0.0114921543193431,0.000752561069389845,-0.0580096511939763,-0.0202038277666611,0.00412848901320273,328,"FCI_COMP","Comprehensive"
19,0.014668248372665,0.0113203652448423,0.196013784987054,-0.00395209545872926,0.0332885922040592,-0.0393860186814378,0.0120351172672888,0.00118399495577403,-0.059182024969324,-0.0195900123935516,0.00559665260087328,327,"FCI_COMP","Comprehensive"
20,0.0124753297412621,0.0114247699677587,0.275690186792431,-0.00631674457729207,0.0312674040598162,-0.0380855736290367,0.012150141161304,0.00188361195293796,-0.05807077738618,-0.0181003698718934,0.0094396663212899,326,"FCI_COMP","Comprehensive"
21,0.0122029013537155,0.0110047487989893,0.268334980282176,-0.00589829962199187,0.0303041023294229,-0.0384331991235213,0.0118295067310665,0.00128432697926689,-0.0578910061751628,-0.0189753920718797,0.00565534560525782,325,"FCI_COMP","Comprehensive"
22,0.0104860979895277,0.0112414054814323,0.351639255320305,-0.00800436858863835,0.0289765645676938,-0.0375332731157114,0.0123422469629346,0.00255754696221849,-0.057834462797425,-0.0172320834339977,0.0113467627099233,324,"FCI_COMP","Comprehensive"
23,0.0091520750078153,0.0112867202118753,0.418059798447786,-0.00941292766907429,0.0277170776847049,-0.0364403229655325,0.0125699917751814,0.00400990782873477,-0.0571161195276897,-0.0157645264033752,0.0174255519486288,323,"FCI_COMP","Comprehensive"
24,0.0136911320274753,0.0113835610468717,0.230006036328983,-0.00503315964809514,0.0324154237030458,-0.0422998306212027,0.0137007311814896,0.00220154458362431,-0.064835527996963,-0.0197641332454424,0.00639899064562433,322,"FCI_COMP","Comprehensive"
