"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","credit_type","fci_label","credit_label"
17,-2.7700346299695,1.79057634160002,0.122856072457809,-5.71527061978378,0.175201359844782,329,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
18,-2.70541203952759,1.90748159136476,0.157080792123953,-5.84294005342707,0.432115974371899,328,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
19,-2.16053419790775,1.81759001600411,0.235457852616765,-5.1502037280429,0.829135332227396,327,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
20,-1.75994659220086,1.92156192457748,0.360423237151152,-4.92063469325398,1.40074150885226,326,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
21,-1.19969585874922,1.94773514542865,0.538377678089229,-4.40343507704839,2.00404335954995,325,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
22,-0.808050591027609,1.99111636673024,0.685146336812155,-4.08314556852628,2.46704438647106,324,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
23,0.108603038528567,1.94480245106265,0.955502853731879,-3.09031232680594,3.30751840386308,323,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
24,0.330726040220472,1.87159900921024,0.859852975992029,-2.74778037827777,3.40923245871871,322,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
1,2.19607451580316,1.68667023889888,0.193807532485671,-0.57825114412077,4.97040017572709,345,"FCI_EXO","USD","Exogenous (External)","USD (Dollarized)"
2,1.27137321429621,2.11775392383281,0.548687743049589,-2.2120220083109,4.75476843690332,344,"FCI_EXO","USD","Exogenous (External)","USD (Dollarized)"
3,1.32549344682517,2.44385374923913,0.587921738221581,-2.69428825634976,5.34527515000011,343,"FCI_EXO","USD","Exogenous (External)","USD (Dollarized)"
4,1.73548591643698,2.89131828028952,0.548756783695308,-3.02030944356832,6.49128127644229,342,"FCI_EXO","USD","Exogenous (External)","USD (Dollarized)"
5,1.27582335841789,3.01064276299777,0.672008847751267,-3.6762433097542,6.22789002658997,341,"FCI_EXO","USD","Exogenous (External)","USD (Dollarized)"
6,2.12117238993669,3.28938411327331,0.519471217281495,-3.28938299921745,7.53172777909084,340,"FCI_EXO","USD","Exogenous (External)","USD (Dollarized)"
7,0.614468167082158,3.20753534276013,0.848197427152573,-4.66145797503188,5.89039430919619,339,"FCI_EXO","USD","Exogenous (External)","USD (Dollarized)"
