"credit_type","horizon","method","coef","se","p_value","ci_lower","ci_upper","n_obs"
"Cred_Real_MN",16,"2SLS_improved",-196.997026962984,75.6279465016096,0.00965975400739215,-321.393929065048,-72.6001248609195,308
"Cred_Real_MN",16,"OLS",-7.94284111635254,2.39499105000474,0.00102617701429286,-11.8822508314691,-4.00343140123594,308
"Cred_Real_MN",17,"2SLS_improved",-188.378642040702,74.7530878970758,0.0122665874876268,-311.336529794029,-65.4207542873746,307
"Cred_Real_MN",17,"OLS",-7.86182802798837,2.24638683120816,0.000538069261581868,-11.5568055548371,-4.1668505011396,307
"Cred_Real_MN",18,"2SLS_improved",-181.725548874934,73.4228491486643,0.0138892387277278,-302.495388598225,-60.9557091516424,306
"Cred_Real_MN",18,"OLS",-7.83367469617153,2.21497472694309,0.00047108081632477,-11.4769839093897,-4.19036548295334,306
"Cred_Real_MN",19,"2SLS_improved",-171.499403650441,72.2424686325858,0.0182482790507046,-290.327690200677,-52.671117100204,305
"Cred_Real_MN",19,"OLS",-7.37042968545851,2.05268784056052,0.000387076891465034,-10.7468007250037,-3.99405864591335,305
"Cred_Real_MN",20,"2SLS_improved",-164.727188657602,70.897664345548,0.0208463849811443,-281.343468998764,-48.1109083164389,304
"Cred_Real_MN",20,"OLS",-7.51799175637682,1.9957462382451,0.000200081250893023,-10.800702194829,-4.23528131792461,304
"Cred_Real_MN",21,"2SLS_improved",-152.233569978828,69.3656495488901,0.0289840135026197,-266.329910225165,-38.1372297324919,303
"Cred_Real_MN",21,"OLS",-6.29082721582248,1.91330545417701,0.00113396978799417,-9.43793463159157,-3.14371980005339,303
"Cred_Real_MN",22,"2SLS_improved",-141.52258326932,65.8580424707625,0.0324754508125245,-249.849423291278,-33.1957432473626,302
"Cred_Real_MN",22,"OLS",-6.06063637183619,1.71455717595153,0.000475264444317209,-8.88083196131573,-3.24044078235665,302
"Cred_Real_MN",23,"2SLS_improved",-125.485498470846,59.8816645977365,0.0369974368472606,-223.982071672324,-26.9889252693671,301
"Cred_Real_MN",23,"OLS",-5.80002514985728,1.47651369652438,0.000107277954759907,-8.22867405882893,-3.37137624088563,301
"Cred_Real_MN",24,"2SLS_improved",-115.470893044444,53.4626815769366,0.031615872314162,-203.409178742819,-27.5326073460677,300
"Cred_Real_MN",24,"OLS",-5.58594049261842,1.57991122242532,0.000474392681253577,-8.18466319708604,-2.9872177881508,300
"Cred_USD",1,"2SLS_improved",17.0663784986414,11.269073032519,0.130935493336076,-1.46959715127852,35.6023541485613,323
"Cred_USD",1,"OLS",2.21617207787788,2.07162838248309,0.285556434038319,-1.19135338074504,5.6236975365008,323
"Cred_USD",2,"2SLS_improved",16.9535253292683,15.5006024019377,0.27492660753734,-8.54269675149162,42.4497474100282,322
"Cred_USD",2,"OLS",3.39129233454876,2.70621288727463,0.211101392200948,-1.06003174838773,7.84261641748526,322
"Cred_USD",3,"2SLS_improved",11.3768817709727,19.1404980808257,0.552690424609309,-20.1064359189312,42.8601994608766,321
"Cred_USD",3,"OLS",3.11612159693703,3.1264889178992,0.319702822052691,-2.02649503929306,8.25873823316712,321
"Cred_USD",4,"2SLS_improved",-0.765034023509937,22.269170592583,0.972617300741736,-37.3945600419212,35.8644919949013,320
"Cred_USD",4,"OLS",1.56259542365764,3.07249909522616,0.611416803406191,-3.49121585693022,6.6164067042455,320
"Cred_USD",5,"2SLS_improved",-19.9756292789467,26.2986085474351,0.448098437657032,-63.2329909319723,23.2817323740788,319
"Cred_USD",5,"OLS",1.28169762233149,3.36976248352347,0.703948507951269,-4.26106842065708,6.82446366532007,319
"Cred_USD",6,"2SLS_improved",-34.8370836478112,29.6914559628492,0.2415926590469,-83.6751826777736,14.0010153821511,318
"Cred_USD",6,"OLS",1.33254004086534,3.7285444937548,0.721048740870177,-4.80036989293717,7.46544997466786,318
"Cred_USD",7,"2SLS_improved",-56.6221513425929,33.8853523308824,0.0957557483195777,-112.358596024573,-0.885706660612499,317
"Cred_USD",7,"OLS",0.647403426136442,3.9879168421718,0.87114533610924,-5.9121360556907,7.20694290796359,317
"Cred_USD",8,"2SLS_improved",-79.6836014367248,38.0641711873105,0.0371472013227425,-142.293591471074,-17.0736114023754,316
"Cred_USD",8,"OLS",0.0359981626239675,4.29343974473199,0.993315785104142,-7.02608177359604,7.09807809884398,316
"Cred_USD",9,"2SLS_improved",-96.6017659838673,42.2377236476949,0.0228840386106311,-166.076638919952,-27.1268930477824,315
"Cred_USD",9,"OLS",1.22450318060066,4.32035418625113,0.77704469944314,-5.88184707236948,8.3308534335708,315
"Cred_USD",10,"2SLS_improved",-118.355761547997,47.1429166278834,0.0125794636141259,-195.898958948442,-40.8125641475519,314
"Cred_USD",10,"OLS",-1.09319804944486,4.55643073454984,0.810552862564175,-8.58785966912233,6.4014635702326,314
"Cred_USD",11,"2SLS_improved",-127.302192936174,49.3427544185014,0.0103584232175169,-208.463801505221,-46.1405843671257,313
"Cred_USD",11,"OLS",-2.30004078782643,4.62375510808091,0.619244403840196,-9.9054411474887,5.30535957183585,313
"Cred_USD",12,"2SLS_improved",-145.604432911789,52.9743650650691,0.00635050715970931,-232.739509424519,-58.4693563990583,312
"Cred_USD",12,"OLS",-2.54552255831762,4.85961365545857,0.600798842214448,-10.5388757050815,5.4478305884463,312
"Cred_USD",13,"2SLS_improved",-161.576540863042,54.4216463820005,0.00323142995109417,-251.092183299146,-72.0608984269382,311
"Cred_USD",13,"OLS",-3.71568728273793,5.04143853946791,0.461686427400761,-12.0081157494346,4.57674118395878,311
"Cred_USD",14,"2SLS_improved",-171.656306045,55.3004184820714,0.00209339873451848,-262.617399957169,-80.6952121328303,310
"Cred_USD",14,"OLS",-5.33286560929314,5.06849713387413,0.2935847099186,-13.6698015031391,3.00407028455286,310
"Cred_USD",15,"2SLS_improved",-178.246950520152,54.377379010409,0.00117062048120016,-267.689779609538,-88.8041214307663,309
"Cred_USD",15,"OLS",-5.50461785559832,5.14924704835845,0.285937247256187,-13.9743755391599,2.96513982796324,309
