"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","fci_type","credit_type","fci_label","credit_label"
24,4.50079644033528,2.96539850037152,0.130091203198122,-0.376850038357271,9.37844291902784,0.257682195822139,7.11431949702321,0.971130077662148,-11.4443320321481,11.9596964237923,0.61333502646059,322,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
1,-0.442405903599386,0.832917061962726,0.595667259665216,-1.81243255391854,0.927620746719767,1.02376153096663,1.03056607258909,0.321237673278915,-0.671368811344669,2.71889187327793,0.380599775935087,345,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
2,-0.636022565636102,0.988870053393696,0.520550551106734,-2.26256905954442,0.990523928272214,0.910713208988264,1.184368637071,0.442473194424717,-1.03739983934554,2.85882625732206,0.389693006235885,344,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
3,-1.95731171050662,1.35976499113164,0.150968504800985,-4.19392608797114,0.279302666957905,1.9770863972873,1.49136941511174,0.185858171482998,-0.475997994283738,4.43017078885834,0.0906009266075246,343,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
4,-3.9994703048388,1.89888695991294,0.0359402335536054,-7.12286140802245,-0.876079201655155,3.88249075547311,1.76734920160465,0.0287305810426925,0.975460011123916,6.7895214998223,0.0106563356013435,342,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
5,-4.40841164136685,2.03551293423905,0.0310483617846641,-7.75653247395659,-1.06029080877711,4.18572893078748,1.94387320366771,0.0320220029378818,0.988342041400874,7.38311582017409,0.00850473419112008,341,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
6,-5.19591774176453,2.50032958459253,0.0384781045485339,-9.30859392755562,-1.08324155597345,4.62302399368232,2.26513341827336,0.0420559706814577,0.897211075106394,8.34883691225824,0.0132933993249066,340,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
7,-6.22992888965539,2.69867967494819,0.0215941541217408,-10.6688619409741,-1.79099583833663,5.30454989807682,2.47462364104318,0.0328039689351806,1.23415622676709,9.37494356938655,0.00581838545511548,339,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
8,-7.13039267359107,2.81184756931863,0.0116844229981483,-11.7554703464195,-2.50531500076265,6.19094967268208,2.62845010118919,0.0190967687167551,1.86753399048008,10.5143653548841,0.00162615667453769,338,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
9,-7.31871323497558,3.07549877382372,0.0179041378589516,-12.3774585477843,-2.25996792216683,6.59597976357164,3.01036652484403,0.0291549898145137,1.64436746672865,11.5475920604146,0.00330859713921494,337,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
