"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","fci_type","spec"
12,-6.02054231607976,2.51119985742858,0.0170759659895957,-10.1510985095712,-1.88998612258834,334,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
13,-6.2385494923706,2.63744551711938,0.0186040627195009,-10.5767613170913,-1.90033766764989,333,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
14,-6.08402294708904,2.71283358988944,0.0255995080833767,-10.5462371167345,-1.62180877744361,332,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
15,-4.78614599226275,2.6533798430562,0.0722042199085059,-9.15056745079367,-0.421724533731839,331,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
16,-3.10400506051087,2.61308282520908,0.235767950406916,-7.40214382308062,1.19413370205889,330,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
17,-1.98094109855202,2.75152857749787,0.472089488791717,-6.50680285891001,2.54492066180596,329,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
18,-1.00576965871304,2.94524223277775,0.732961266910234,-5.85026202754817,3.83872271012209,328,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
19,-0.52069616168752,3.02214038683231,0.863316821909724,-5.49167473812517,4.45028241475013,327,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
20,-0.31841701876984,3.13322905858214,0.919118329904898,-5.47212019984841,4.83528616230873,326,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
21,0.631145122065162,3.09290207132542,0.838436904269173,-4.45622606776018,5.7185163118905,325,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
22,1.4412306532665,3.11270826534538,0.643675362159208,-3.67871882662866,6.56118013316167,324,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
23,0.838826086520269,2.94685986514423,0.776100509812052,-4.00832705077995,5.68597922382049,323,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
24,0.608480461744594,2.9210505437722,0.835124235293912,-4.19622011968767,5.41318104317686,322,"Cred_Total","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
1,-1.08756313418083,0.835391193806454,0.193861078421589,-2.4616593692367,0.286533100875033,345,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
2,-1.62242448883697,1.01965609216789,0.11252494345742,-3.29960951028249,0.0547605326085474,344,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
3,-3.27114770946753,1.29466106333832,0.0119799921537111,-5.40067565517242,-1.14161976376265,343,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
