"horizon","variable","coef","se","p_value","ci_lower","ci_upper","n_obs"
7,"FCI_x_ToT",-0.176647455055234,0.0513837581453894,0.000668236587978579,-0.261166216007075,-0.0921286941033935,317
8,"FCI_exCredit_AVG",-4.77444297124991,2.02086343912636,0.0187801865563301,-8.09846752867052,-1.4504184138293,316
8,"d_ToT",-0.0204872903910491,0.0335772397178205,0.542217067538958,-0.0757169349239253,0.034742354141827,316
8,"FCI_x_ToT",-0.181731135138705,0.0550043873691175,0.00106768521617828,-0.272205301201041,-0.0912569690763678,316
9,"FCI_exCredit_AVG",-4.33365051610224,2.03211515501405,0.0337654715282278,-7.67618249921016,-0.991118532994324,315
9,"d_ToT",-0.0272946326623921,0.0376712051735537,0.469289731175991,-0.0892582511237449,0.0346689857989608,315
9,"FCI_x_ToT",-0.192122976786631,0.0601413448097311,0.00154866620292177,-0.291046685926656,-0.0931992676466056,315
10,"FCI_exCredit_AVG",-4.57542475971406,2.28727439876612,0.0463569457720365,-8.33765635035775,-0.813193169070364,314
10,"d_ToT",-0.0489446893490887,0.0426358865501935,0.251892773118743,-0.119074481979466,0.0211851032812885,314
10,"FCI_x_ToT",-0.202398934000507,0.0659670450071708,0.00234957175826423,-0.310905067239823,-0.0938928007611908,314
11,"FCI_exCredit_AVG",-5.40100646707445,2.44155319714083,0.0277116503703343,-9.4170040987865,-1.3850088353624,313
11,"d_ToT",-0.0664126118158018,0.045685526808332,0.147077458795655,-0.141558616285675,0.00873339265407182,313
11,"FCI_x_ToT",-0.213907977257569,0.0713539645065086,0.00294639476786289,-0.331274804573466,-0.0965411499416717,313
12,"FCI_exCredit_AVG",-5.89129138030607,2.48701550856445,0.018480383561213,-9.98206785985286,-1.80051490075927,312
12,"d_ToT",-0.092795140846456,0.0480993762488028,0.0546474811624744,-0.171911574323403,-0.0136787073695092,312
12,"FCI_x_ToT",-0.217813344031469,0.074843610942985,0.00388269848308891,-0.340920128945183,-0.0947065591177552,312
13,"FCI_exCredit_AVG",-6.59375719039206,2.6450088282981,0.0132129562641614,-10.9444095549368,-2.24310482584727,311
13,"d_ToT",-0.12248784718497,0.0517891945208407,0.0186644947086183,-0.20767349162947,-0.0373022027404695,311
13,"FCI_x_ToT",-0.217967254870847,0.0777157389267266,0.00536775954759013,-0.345798269915687,-0.0901362398260075,311
14,"FCI_exCredit_AVG",-7.27555610707866,2.62998880530463,0.00602350758980092,-11.6015027323257,-2.94960948183156,310
14,"d_ToT",-0.139321429622486,0.0544796525301019,0.011045285225135,-0.22893248368168,-0.0497103755632918,310
14,"FCI_x_ToT",-0.208114024313681,0.0798235481752358,0.0095902534580376,-0.339412077045854,-0.0768159715815092,310
15,"FCI_exCredit_AVG",-7.67929122832743,2.57722294822339,0.00312468432617968,-11.9184457421752,-3.44013671447963,309
15,"d_ToT",-0.151186459843531,0.0588322085029298,0.0106654062435518,-0.247956831381141,-0.0544160883059221,309
15,"FCI_x_ToT",-0.19596995930486,0.0840941838070678,0.0204589033520919,-0.334292582545439,-0.0576473360642809,309
16,"FCI_exCredit_AVG",-7.37320573242271,2.57202227460496,0.00444643292056425,-11.6038058994067,-3.14260556543877,308
16,"d_ToT",-0.160706973817391,0.059224542763959,0.00704873634077773,-0.258122677787231,-0.0632912698475506,308
16,"FCI_x_ToT",-0.186462129461573,0.0842370266739191,0.0276252960374013,-0.325019708309776,-0.0479045506133691,308
17,"FCI_exCredit_AVG",-7.41226789044691,2.36927628193907,0.00193333792450923,-11.3093805760445,-3.51515520484934,307
17,"d_ToT",-0.167283388350434,0.0589541720659036,0.00486284758362021,-0.264254372096957,-0.0703124046039117,307
17,"FCI_x_ToT",-0.173934994531018,0.0821147176384056,0.0349974036363835,-0.309001685664645,-0.0388683033973901,307
18,"FCI_exCredit_AVG",-6.73980278906469,2.24870433175731,0.00295804881584664,-10.4385922650972,-3.04101331303219,306
18,"d_ToT",-0.172267769318846,0.060000458242542,0.00438858977276676,-0.270959740677842,-0.0735757979598508,306
18,"FCI_x_ToT",-0.155020333866435,0.078763277869562,0.049989954328713,-0.284574397140771,-0.0254662705920995,306
19,"FCI_exCredit_AVG",-5.58735724986832,2.13342071310376,0.00928020673217825,-9.09652204763043,-2.0781924521062,305
19,"d_ToT",-0.177261105456558,0.062735071605263,0.00504539476735934,-0.280451115523535,-0.0740710953895811,305
19,"FCI_x_ToT",-0.142363456900346,0.0783643746581404,0.0702903710012558,-0.271261382780572,-0.0134655310201195,305
20,"FCI_exCredit_AVG",-5.17985747801595,2.26882983734289,0.0231483034471952,-8.91175046490513,-1.44796449112678,304
