"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","fci_label","npl_type"
8,0.017768362372788,0.00625882569812035,0.00480964128653151,0.00747351022277765,0.0280632145227983,338,"FCI_COMP","Comprehensive","YoY Change"
9,0.0176975142941746,0.00638496664082883,0.00589591837684754,0.00719517875704311,0.028199849831306,337,"FCI_COMP","Comprehensive","YoY Change"
10,0.0173523667768026,0.00631496217521807,0.00633421132230128,0.00696517833883378,0.0277395552147714,336,"FCI_COMP","Comprehensive","YoY Change"
11,0.0174806068320946,0.00670110158427488,0.00951219099030558,0.00645827558662979,0.0285029380775594,335,"FCI_COMP","Comprehensive","YoY Change"
12,0.0115398824874654,0.00671819321281999,0.0868086339062161,0.000489438014797648,0.0225903269601331,334,"FCI_COMP","Comprehensive","YoY Change"
13,0.0102801271911124,0.00731961934563838,0.161145169745678,-0.00175957523746504,0.0223198296196898,333,"FCI_COMP","Comprehensive","YoY Change"
14,0.0113903229300205,0.00750106467397736,0.129874126322967,-0.000947830504968701,0.0237284763650097,332,"FCI_COMP","Comprehensive","YoY Change"
15,0.00924443600748696,0.0075930510651295,0.224316257812036,-0.00324502157661904,0.021733893591593,331,"FCI_COMP","Comprehensive","YoY Change"
16,0.00854115431905266,0.00780628734593996,0.274720009185446,-0.00429904573494206,0.0213813543730474,330,"FCI_COMP","Comprehensive","YoY Change"
17,0.00961567923986363,0.00749866071380031,0.200664558287721,-0.00271852003250932,0.0219498785122366,329,"FCI_COMP","Comprehensive","YoY Change"
18,0.0095562767429399,0.00734752869779057,0.194336333275128,-0.00252933248475093,0.0216418859706307,328,"FCI_COMP","Comprehensive","YoY Change"
19,0.00991059988680215,0.00689648845329904,0.151693121533187,-0.00143311415883571,0.02125431393244,327,"FCI_COMP","Comprehensive","YoY Change"
20,0.0106462382061441,0.0071795305227772,0.139111396913844,-0.00116303861405475,0.022455515026343,326,"FCI_COMP","Comprehensive","YoY Change"
21,0.00960907442824469,0.00716958990261674,0.181131611762652,-0.00218385152682911,0.0214020003833185,325,"FCI_COMP","Comprehensive","YoY Change"
22,0.00918498217467514,0.00742562638606995,0.217040208368799,-0.00302908631883857,0.0213990506681888,324,"FCI_COMP","Comprehensive","YoY Change"
23,0.00839489162856922,0.00736558799054228,0.255266808757356,-0.00372042249230445,0.0205102057494429,323,"FCI_COMP","Comprehensive","YoY Change"
24,0.00760919299497141,0.00703772897964992,0.280445804635193,-0.00396684104270725,0.0191852270326501,322,"FCI_COMP","Comprehensive","YoY Change"
