"sample","horizon","coef","se_nw","sd_boot","n_obs","lo95_pointwise","hi95_pointwise","lo95_supt","hi95_supt","crit_supt95","crit_supt90","block_L","B_effective","sig_pointwise95","sig_supt95"
"postIT",2,-2.03015943814492,0.869661087163301,0.926671506610643,172,-3.73466384774093,-0.325655028548897,-4.30176008316259,0.24144120687276,2.61205276233214,2.32789478451181,18,999,TRUE,FALSE
"postIT",3,-1.34144257864852,1.25415434768156,1.51902746954814,171,-3.79953993115871,1.11665477386166,-4.61735990690101,1.93447474960397,2.61205276233214,2.32789478451181,18,999,FALSE,FALSE
"postIT",4,-2.84459626826966,1.39777936585538,1.62075603160276,170,-5.58419348367944,-0.104999052859885,-6.49566972198307,0.80647718544375,2.61205276233214,2.32789478451181,18,999,TRUE,FALSE
"postIT",5,-3.44545183810167,1.49687566674867,1.94634845375549,169,-6.37927423426344,-0.511629441939904,-7.35537005830029,0.464466382096953,2.61205276233214,2.32789478451181,18,999,TRUE,FALSE
"postIT",6,-3.48306676207144,1.44105492930657,1.94382579401572,168,-6.30748252325623,-0.658651000886657,-7.24717827083902,0.281044746696129,2.61205276233214,2.32789478451181,18,999,TRUE,FALSE
"postIT",7,-4.97998467207948,1.57206696270232,2.08321857885925,167,-8.0611793002613,-1.89879004389766,-9.08630652457718,-0.873662819581785,2.61205276233214,2.32789478451181,18,999,TRUE,TRUE
"postIT",8,-6.34517301441884,2.12544036658567,2.74696683904233,166,-10.5109595842144,-2.17938644462332,-11.8969353951312,-0.793410633706498,2.61205276233214,2.32789478451181,18,999,TRUE,TRUE
"postIT",9,-5.6855453598389,2.20991831481032,2.98251608076733,165,-10.0169056656426,-1.35418505403521,-11.4579685985676,0.0868778788898039,2.61205276233214,2.32789478451181,18,999,TRUE,FALSE
"postIT",10,-5.47741002961714,2.07286567717737,2.91388136024581,164,-9.540152101674,-1.41466795756027,-10.8918445476318,-0.0629755116025139,2.61205276233214,2.32789478451181,18,999,TRUE,TRUE
"postIT",11,-5.85980605607468,2.38704307097754,3.31798658884538,163,-10.5383245047365,-1.18128760741282,-12.0948885034274,0.375276391278001,2.61205276233214,2.32789478451181,18,999,TRUE,FALSE
"postIT",12,-5.46007678971585,2.70602512069375,3.76777962358248,162,-10.7637885675362,-0.156365011895456,-12.5283571811641,1.60820360173242,2.61205276233214,2.32789478451181,18,999,TRUE,FALSE
"postIT",13,-5.19887067461122,3.10129159398372,4.19274840168385,161,-11.2772905043761,0.879549155153684,-13.2996079494739,2.90186660025141,2.61205276233214,2.32789478451181,18,999,FALSE,FALSE
"postIT",14,-4.85793742194274,2.96976787915689,4.12489412449635,160,-10.6785755075341,0.962700663648657,-12.6151278141798,2.89925297029428,2.61205276233214,2.32789478451181,18,999,FALSE,FALSE
"postIT",15,-5.76018472485869,3.00194779740149,4.09919143946159,159,-11.643894291235,0.123524841517573,-13.6014307614381,2.08106131172077,2.61205276233214,2.32789478451181,18,999,FALSE,FALSE
"postIT",16,-5.56443021737751,3.04322419005097,3.96107937407857,158,-11.5290400267585,0.400179592003455,-13.5134923693961,2.38463193464111,2.61205276233214,2.32789478451181,18,999,FALSE,FALSE
"postIT",17,-4.9817637399125,3.1778441655417,4.00364585847826,157,-11.210223852855,1.24669637302997,-13.2824603707768,3.31893289095179,2.61205276233214,2.32789478451181,18,999,FALSE,FALSE
"postIT",18,-5.05170220076695,2.72639066112121,3.66337485824593,156,-10.3953297043509,0.291925302816974,-12.1731784583452,2.06977405681127,2.61205276233214,2.32789478451181,18,999,FALSE,FALSE
