variant,param,h,b,se_bank,p_bank,p_wcb,n
gradient_exCOVID,shk_usd_fxsh,7,-0.0118343558383762,0.316334615271075,0.970547675801894,,23594
gradient_exCOVID,shk_usd_fxsh,8,0.106000700279761,0.355032530910414,0.768511876076469,,23210
gradient_exCOVID,shk_usd_fxsh,9,0.457306979447152,0.409425325025065,0.278704419627729,,22814
gradient_exCOVID,shk_usd_fxsh,10,0.712484852137868,0.537658118096805,0.201693162743587,,22452
gradient_exCOVID,shk_usd_fxsh,11,0.754273183342703,0.476964234762994,0.13119754180072,,22096
gradient_exCOVID,shk_usd_fxsh,12,0.886060749785819,0.498567171423128,0.0934277923839735,0.0810810810810811,21732
gradient_exCOVID,shk_usd_fxsh,13,0.815177414606559,0.502304369774501,0.123012835201531,,21396
gradient_exCOVID,shk_usd_fxsh,14,0.643673185846734,0.524864419023981,0.236778994051469,,21068
gradient_exCOVID,shk_usd_fxsh,15,0.639803224026031,0.597708496180301,0.299390304745688,,20738
gradient_exCOVID,shk_usd_fxsh,16,0.752519665703609,0.69197498127172,0.291996632352342,,20414
gradient_exCOVID,shk_usd_fxsh,17,0.909064861878316,0.65092666515819,0.180510977839868,,20092
gradient_exCOVID,shk_usd_fxsh,18,1.05417015696751,0.604492166817448,0.0992310251774728,0.0970970970970971,19774
gradient_tightening,shkpos_usd_fxsh,1,-0.201597348132204,0.194868252685111,0.313876568242477,,30626
gradient_tightening,shkpos_usd_fxsh,2,-0.397495402126694,0.237379583588835,0.110411511822118,,30278
gradient_tightening,shkpos_usd_fxsh,3,-0.195287901261339,0.326216238100327,0.55647976663305,,29932
gradient_tightening,shkpos_usd_fxsh,4,0.46067960851616,0.472393553431611,0.341713181059061,,29596
gradient_tightening,shkpos_usd_fxsh,5,0.249634866076765,0.401684051848268,0.541675423203441,,29180
gradient_tightening,shkpos_usd_fxsh,6,0.261796432683926,0.525002815681509,0.623744646249132,0.638638638638639,28772
