fecha,FCI_EXP,FCI_EXP_exCredit,FCI_EXP_ENDO_exCredit,FCI_EXP_PCA
2005-04-01,-0.709978828539623,-0.715745819243167,-0.501894134855183,-4.24358678950762
2005-05-01,-0.655435206812638,-0.685972339001758,-0.473580398787889,-4.04087573633068
2005-06-01,-0.632861527742516,-0.686966004457744,-0.51695036965478,-3.53766885746547
2005-07-01,-0.611967157256574,-0.678239503830884,-0.556150051291048,-3.29049479236304
2005-08-01,-0.590945003420062,-0.632575952205198,-0.546879257790914,-3.18815428962563
2005-09-01,-0.671215977949186,-0.698285080722398,-0.593090101503303,-3.55551222556126
2005-10-01,-0.672762729701154,-0.695518212538574,-0.601251743393094,-3.73963607752149
2005-11-01,-0.739786106302807,-0.758862791660045,-0.626474744852203,-3.87423048865734
2005-12-01,-0.778397761223831,-0.786119481482319,-0.628924163568849,-4.06823777945842
2006-01-01,-0.844896618436846,-0.877593926814528,-0.77315922371973,-4.07164845566704
2006-02-01,-0.723228314643156,-0.746763633821794,-0.671899371887072,-3.57164292359253
2006-03-01,-0.707139543085554,-0.729505830311377,-0.73946864781271,-3.04667286443078
2006-04-01,-0.631017765482259,-0.639793069764789,-0.672293122485897,-2.57131808549794
2006-05-01,-0.608864843106885,-0.595237881699527,-0.71386474429841,-2.25693742910206
2006-06-01,-0.62043294598096,-0.594110928851499,-0.7099749166717,-2.4745920576506
2006-07-01,-0.700475397793467,-0.66164151884016,-0.761823789408152,-2.63528853514622
2006-08-01,-0.727229593030431,-0.708387580081605,-0.754991113297337,-2.77962258971521
2006-09-01,-0.78809821458856,-0.780850204511236,-0.786761147748008,-3.08471814747039
2006-10-01,-0.772500110525108,-0.793136742742537,-0.802974730963582,-2.96510891329683
2006-11-01,-0.733574459008005,-0.764457657061255,-0.780884011469874,-2.80716911316007
2006-12-01,-0.677783289106649,-0.713476271536126,-0.711287069684863,-2.82067209018715
2007-01-01,-0.755662086310252,-0.788655202732644,-0.758691478330862,-3.0817829141653
2007-02-01,-0.746216176531401,-0.77560033889082,-0.718868673517279,-3.13080688841897
2007-03-01,-0.814031695052189,-0.835513475012896,-0.827070468127198,-3.61260255317688
2007-04-01,-0.877272861485115,-0.892013783298517,-0.877422928344591,-3.91538469526746
2007-05-01,-0.790406980593023,-0.800841446531222,-0.820446414393963,-3.5102905533564
2007-06-01,-0.869874088591154,-0.820441826788641,-0.909641187376755,-3.53943132399209
2007-07-01,-0.797842571248155,-0.741932996095566,-0.819651780055929,-3.44361242497848
2007-08-01,-0.77213002517388,-0.671051765290101,-0.846652109405915,-3.44731746424729
2007-09-01,-0.86914333157787,-0.758257024580998,-0.853463108742074,-3.81108945748543
2007-10-01,-0.898978129275133,-0.783116112948921,-0.829754958178725,-3.75522555972999
2007-11-01,-0.855491044448085,-0.723360898203237,-0.839626742897425,-3.66813779562787
2007-12-01,-0.895899286465969,-0.783935941825793,-0.84666785642741,-3.68637759075192
2008-01-01,-0.79570361876406,-0.648773152058883,-0.716603837892732,-3.52095077017321
2008-02-01,-0.876511847370774,-0.717768362912317,-0.722093001284562,-3.73783588672621
2008-03-01,-0.850196447720027,-0.689013006977281,-0.712718328810996,-3.5209877575686
2008-04-01,-0.98289458415011,-0.837762745043661,-0.805064829108328,-3.50572691632407
2008-05-01,-1.09414937005425,-0.940888644421236,-0.81943436552712,-3.7794784136414
2008-06-01,-1.07666002776695,-0.982906997225899,-0.919678342146225,-3.86585792025897
2008-07-01,-1.04835711145219,-0.943475550766658,-0.880827341126118,-3.94800244535307
2008-08-01,-1.06385806570129,-0.98552910254768,-0.896273112545152,-3.87991843577314
2008-09-01,-0.934641063418432,-0.84566112286625,-0.897788175704626,-3.56788889212439
2008-10-01,-0.449222623031266,-0.291999571342631,-0.734145214639396,-2.31970641427451
2008-11-01,-0.422002443807667,-0.277798125158193,-0.657147002436209,-2.34309127259686
2008-12-01,-0.491099919518609,-0.335615300817975,-0.582336199520165,-2.31157252813249
2009-01-01,-0.408761724931694,-0.280460274411043,-0.373721441954193,-2.30725718727182
2009-02-01,-0.365325573992323,-0.252235593291848,-0.365396722814211,-2.32228722276354
2009-03-01,-0.409933374155713,-0.321158112031892,-0.431788448254995,-2.52623449223044
2009-04-01,-0.493981670523881,-0.426448951177634,-0.430512685192983,-2.91194784615962
2009-05-01,-0.507653828172736,-0.465931166956064,-0.434219306681884,-2.79050670471606
2009-06-01,-0.548282008016618,-0.506537207036166,-0.45693357696526,-2.77651440983163
2009-07-01,-0.565791122412469,-0.538183138823841,-0.445680397246731,-2.78572457313066
2009-08-01,-0.566365872879089,-0.543001611012276,-0.429313846504524,-2.80657365849276
2009-09-01,-0.559712064003006,-0.553029168795067,-0.456519920834237,-2.78990395813516
2009-10-01,-0.53857173915685,-0.54601045506627,-0.45672468522174,-2.61208587241106
2009-11-01,-0.578120524655038,-0.595885734113926,-0.513897631632017,-2.71763592004425
2009-12-01,-0.606213132695233,-0.628846332540153,-0.542430752577219,-2.55831887747816
2010-01-01,-0.571518915665113,-0.574469197984343,-0.432043287532403,-2.65978305430058
2010-02-01,-0.608330197700038,-0.600681963828078,-0.476933509049688,-2.80565191636444
2010-03-01,-0.69885924952303,-0.680459980497229,-0.472471969602128,-3.18989885320607
2010-04-01,-0.72656007533943,-0.689389141403246,-0.450139326256284,-3.38945028874391
2010-05-01,-0.59926764896257,-0.526880628911411,-0.490327769859588,-3.03739911688513
2010-06-01,-0.598212625417605,-0.520642632714161,-0.482563083018635,-2.89850727230935
2010-07-01,-0.65432322069504,-0.564653893087149,-0.461075969834474,-3.04289282052532
2010-08-01,-0.71157453783768,-0.621270992138706,-0.492608902742617,-3.23853708489429
