horizon,coef,se,p_value,n_obs,outcome,shock,role
7,1.52011529567978,0.647287589549858,0.0258808901208362,35,PIB,shk_dxy,contrast
8,0.0621218451700715,0.74848089629443,0.93444425626784,34,PIB,shk_dxy,contrast
1,-4.25012857919129,1.73918276186977,0.0161861419477769,112,Cred,FCI,contrast
2,-7.0334709173503,2.10629300183911,0.00116343577018512,111,Cred,FCI,contrast
3,-9.42662929789349,2.58395584467306,0.000414824961427514,110,Cred,FCI,contrast
4,-9.92054057564051,3.18751412359186,0.00240275990686826,109,Cred,FCI,contrast
5,-8.09530201469153,3.53169157520457,0.0239488656106907,108,Cred,FCI,contrast
6,-5.66111118087415,3.70424240657308,0.129569437527797,107,Cred,FCI,contrast
7,-3.69326039278616,3.27757067450208,0.262511670018211,106,Cred,FCI,contrast
8,-2.68386775767086,2.64983387294027,0.313603807663668,105,Cred,FCI,contrast
1,1.07003787455211,0.595585611768417,0.0810319695533107,41,Cred,shk_dxy,contrast
2,0.583637730368321,0.800698503851073,0.471047735049572,40,Cred,shk_dxy,contrast
3,0.295894758898283,0.838669577937206,0.726471198393979,39,Cred,shk_dxy,contrast
4,0.0552057389750359,0.850107824244332,0.948626019335705,38,Cred,shk_dxy,contrast
5,-0.122358432494468,0.768740836698542,0.874569516013139,37,Cred,shk_dxy,contrast
6,-0.603283939013874,0.711451950939492,0.403174340104054,36,Cred,shk_dxy,contrast
7,-0.246874381202399,0.81198014305915,0.763268414564054,35,Cred,shk_dxy,contrast
8,-0.127657679691484,1.07344429798831,0.906185140119562,34,Cred,shk_dxy,contrast
