horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,variant
7,-7.44598040474577,2.76867049376271,0.00752468919379069,-12.0000381082449,-2.89192270124666,339,zs_exCredit_QtyLag1
8,-7.39192484634794,2.87250553733527,0.010512591739902,-12.116775997872,-2.66707369482385,338,zs_exCredit_QtyLag1
9,-10.398975201247,2.92553007864504,0.000434592913836669,-15.2110439618619,-5.58690644063207,337,zs_exCredit_QtyLag1
10,-10.6097845000143,3.43855754389605,0.00220644394494624,-16.265708347573,-4.95386065245549,336,zs_exCredit_QtyLag1
11,-10.8854099902057,3.68219145751722,0.00334276398307418,-16.9420759642326,-4.82874401617877,335,zs_exCredit_QtyLag1
12,-12.140791366752,4.07741785908497,0.00312515700435946,-18.8475469208646,-5.43403581263935,334,zs_exCredit_QtyLag1
13,-12.3944230443542,4.2333419956506,0.00365673868064333,-19.357650980026,-5.43119510868229,333,zs_exCredit_QtyLag1
14,-12.2033348180721,4.27648403884106,0.00460362726148134,-19.2375250999599,-5.1691445361843,332,zs_exCredit_QtyLag1
15,-9.88007861449309,4.14509406151009,0.0177289938078029,-16.698151615623,-3.06200561336322,331,zs_exCredit_QtyLag1
16,-9.17926468339645,3.73595749000417,0.0145421374644685,-15.3243679109663,-3.03416145582657,330,zs_exCredit_QtyLag1
17,-6.93921190582726,3.86997245923983,0.0739086057839762,-13.3047501416102,-0.57367367004432,329,zs_exCredit_QtyLag1
18,-6.72400771722577,3.79156647211764,0.0771205996673609,-12.9605795807161,-0.487435853735469,328,zs_exCredit_QtyLag1
1,0.632230892281816,0.985222395309693,0.521499114968697,-0.988315737997149,2.25277752256078,345,FCI_exCredit_AVG
2,0.695913520987735,1.041029719231,0.504286689559859,-1.01642798845365,2.40825503042912,344,FCI_exCredit_AVG
3,-0.245538929167303,1.16906503860226,0.833772957342215,-2.1684797980544,1.67740193971979,343,FCI_exCredit_AVG
4,-2.48161857406138,1.22890643081264,0.0442542455463826,-4.50298977396753,-0.460247374155228,342,FCI_exCredit_AVG
5,-3.01555763461934,1.39329863944418,0.0311558675171071,-5.30732995513564,-0.723785314103032,341,FCI_exCredit_AVG
6,-3.23940612126519,1.71866693416473,0.0603331327016335,-6.06636166144761,-0.41245058108277,340,FCI_exCredit_AVG
7,-4.19826897028938,1.75722414203249,0.0174521510622566,-7.08864547367822,-1.30789246690055,339,FCI_exCredit_AVG
8,-5.74198219306853,1.85143693010736,0.00209398410607431,-8.78732494262753,-2.69663944350953,338,FCI_exCredit_AVG
9,-5.71522151462666,1.94840978724343,0.00359164911842604,-8.92007041996177,-2.51037260929156,337,FCI_exCredit_AVG
10,-6.250382920102,2.22902769428903,0.00534939836634321,-9.9168072076286,-2.58395863257541,336,FCI_exCredit_AVG
11,-7.40519796608836,2.54796117756302,0.00390890188858955,-11.5962211503344,-3.21417478184229,335,FCI_exCredit_AVG
12,-7.65628048038673,2.74502470347937,0.00559825152330609,-12.1714443199762,-3.14111664079731,334,FCI_exCredit_AVG
13,-7.97473739828044,2.90221607837494,0.00633752809707411,-12.7484580409923,-3.20101675556854,333,FCI_exCredit_AVG
14,-7.97170165165561,2.90925482288054,0.00648531712719614,-12.7569999987967,-3.18640330451449,332,FCI_exCredit_AVG
15,-7.40133279660076,2.75508840436095,0.00759922505161104,-11.9330499510858,-2.86961564211572,331,FCI_exCredit_AVG
16,-6.10013547399511,2.6918115502566,0.0241098495536588,-10.5277714655046,-1.67249948248567,330,FCI_exCredit_AVG
17,-5.10677349376024,2.64292148595491,0.0542171825551658,-9.45399248568116,-0.759554501839328,329,FCI_exCredit_AVG
18,-4.28019524327447,2.57334561856582,0.0972446067241827,-8.51297211737214,-0.0474183691767927,328,FCI_exCredit_AVG
1,-0.920945751354987,0.767358030726201,0.23093113468003,-2.18313739136532,0.341245888655343,345,FCI_RATES_AVG
2,-1.33012036379888,1.0192029617349,0.192773705416359,-3.00656005200821,0.346319324410445,344,FCI_RATES_AVG
3,-1.93027785189559,1.3020273300236,0.139151312994234,-4.07192222807485,0.211366524283664,343,FCI_RATES_AVG
4,-2.3030144165845,1.55721248669501,0.140108980834719,-4.86440102325891,0.258372190089908,342,FCI_RATES_AVG
5,-2.19014637475527,1.62232073032995,0.177938565542749,-4.85862651211705,0.478333762606498,341,FCI_RATES_AVG
6,-2.42245961093675,1.69945219438818,0.154979358367324,-5.21780971670678,0.372890494833286,340,FCI_RATES_AVG
7,-2.43836103209895,1.75932908331716,0.166700417948111,-5.33219985579439,0.455477791596483,339,FCI_RATES_AVG
8,-3.54514386847618,1.83051902316117,0.0536447598788035,-6.55607972292649,-0.534208014025866,338,FCI_RATES_AVG
9,-4.84507670557627,1.97866319885737,0.0148651615307265,-8.09968804473221,-1.59046536642034,337,FCI_RATES_AVG
10,-4.93574445189043,2.10008295169854,0.0193577409524025,-8.39007351189073,-1.48141539189014,336,FCI_RATES_AVG
11,-5.45772908921463,2.44885129833137,0.0265202358756544,-9.4857310291398,-1.42972714928945,335,FCI_RATES_AVG
12,-5.43944476708963,2.31657066563663,0.0194743461879155,-9.24986442855142,-1.62902510562783,334,FCI_RATES_AVG
