sample,index,horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,sd_x,coef_per_sd
postIT,FCI_OS_EXP,16,-10.8190620200515,3.68489177929404,0.00385933482722538,-16.880169628147,-4.75795441195609,158,0.127763704053607,-1.38228343806748
postIT,FCI_OS_EXP,17,-10.021888957451,3.68350830606093,0.00730530596864349,-16.0807209545812,-3.96305696032083,157,0.127763704053607,-1.28043365481788
postIT,FCI_OS_EXP,18,-13.7784670678105,3.73060567791677,0.000312769943965182,-19.9147673478577,-7.64216678776338,156,0.127763704053607,-1.76038798876411
postIT,FCI_OS_ROLL,1,-1.71888627383379,0.657384907457216,0.00977232807950083,-2.80018822316795,-0.637584324499631,173,0.398898261206594,-0.685660745844179
postIT,FCI_OS_ROLL,2,-1.81594360643783,0.634315932070196,0.00475755726979434,-2.8593004679366,-0.772586744939064,172,0.398898261206594,-0.724376747057281
postIT,FCI_OS_ROLL,3,-1.82703084531205,0.954659607528241,0.0574305910069331,-3.39730616325895,-0.256755527365159,171,0.398898261206594,-0.728799427365791
postIT,FCI_OS_ROLL,4,-3.03746849887761,1.03004759864405,0.00367083348527498,-4.73174602743993,-1.34319097031529,170,0.398898261206594,-1.21164090267208
postIT,FCI_OS_ROLL,5,-2.92208304055249,1.39165624710074,0.0373427807021833,-5.21115386606582,-0.633012215039166,169,0.398898261206594,-1.16561384397766
postIT,FCI_OS_ROLL,6,-2.50645644366563,1.30926077168751,0.0573871992614606,-4.65999877260112,-0.35291411473015,168,0.398898261206594,-0.999821117168284
postIT,FCI_OS_ROLL,7,-3.36393618701427,1.51419637312787,0.0277501099483008,-5.85456758327041,-0.873304790758136,167,0.398898261206594,-1.34186829580993
postIT,FCI_OS_ROLL,8,-3.57097881539353,1.61425355800439,0.0284186247753664,-6.22618963509636,-0.915767995690692,166,0.398898261206594,-1.42445724026606
postIT,FCI_OS_ROLL,9,-3.11610410086849,1.5651617640492,0.0482593284532501,-5.69056610523058,-0.541642096506394,165,0.398898261206594,-1.24300850757517
postIT,FCI_OS_ROLL,10,-3.54036292735434,1.53197930432625,0.0221696251590527,-6.06024464248997,-1.02048121221872,164,0.398898261206594,-1.41224461576193
postIT,FCI_OS_ROLL,11,-3.39642585080974,1.85549679906142,0.069138750404945,-6.44844649054276,-0.344405211076718,163,0.398898261206594,-1.35482836620513
postIT,FCI_OS_ROLL,12,-1.69962184395403,1.96429781722756,0.388270492278457,-4.93060423303364,1.53136054512558,162,0.398898261206594,-0.677976198262006
postIT,FCI_OS_ROLL,13,-1.35076904666837,2.10302537228633,0.521660147281417,-4.8099379578445,2.10839986450777,161,0.398898261206594,-0.5388194240077
postIT,FCI_OS_ROLL,14,-1.04510549908853,1.97352674761346,0.597203537507158,-4.29126812778628,2.20105712960922,160,0.398898261206594,-0.416890766363865
postIT,FCI_OS_ROLL,15,-0.682189797601267,2.10568097089551,0.746413700304336,-4.14572677978144,2.78134718457891,159,0.398898261206594,-0.272124324076024
postIT,FCI_OS_ROLL,16,-0.0574001700699889,2.05030111262995,0.977703336035489,-3.429845391522,3.31504505138202,158,0.398898261206594,-0.0228968280338813
postIT,FCI_OS_ROLL,17,0.759554740800503,2.14225105049651,0.72343147435692,-2.76413466944929,4.2832441510503,157,0.398898261206594,0.302985065396546
postIT,FCI_OS_ROLL,18,0.640016551333574,2.04366107002035,0.754600325225926,-2.72150677194892,4.00153987461607,156,0.398898261206594,0.255301489470403
