fecha,BroadDollar,BRL,EUR,GBP,TED
1997-11-01,108.003929411765,1.10724444444444,,1.68890555555556,0.696111111111111
1997-12-01,112.239314285714,1.11362727272727,,1.6597,0.74952380952381
1998-01-01,115.9906,1.119865,,1.63496,0.6145
1998-02-01,114.447468421053,1.1273,,1.64081052631579,0.547368421052632
1998-03-01,114.178657142857,1.13343181818182,,1.66193181818182,0.658181818181818
1998-04-01,113.934509090909,1.14091363636364,,1.67228181818182,0.746
1998-05-01,114.82022,1.147495,,1.63824,0.690526315789474
1998-06-01,117.369263636364,1.15433636363636,,1.65036363636364,0.716363636363636
1998-07-01,117.685947826087,1.16137391304348,,1.64368695652174,0.727727272727273
1998-08-01,119.603942857143,1.17166666666667,,1.63420476190476,0.7775
1998-09-01,118.200657142857,1.18054285714286,,1.68225238095238,0.888095238095238
1998-10-01,115.069871428571,1.18889523809524,,1.69441904761905,1.30761904761905
1998-11-01,115.055594736842,1.19316315789474,,1.66108421052632,0.908421052631579
1998-12-01,114.300390909091,1.20524090909091,,1.67079545454545,0.84
1999-01-01,114.50226,1.51195263157895,1.15909473684211,1.64975263157895,0.671052631578947
1999-02-01,116.030855,1.92605263157895,1.12027894736842,1.62763684210526,0.556842105263158
1999-03-01,117.459643478261,1.90565217391304,1.08858695652174,1.62132173913043,0.564347826086957
1999-04-01,116.858731818182,1.70248181818182,1.07005,1.60885,0.711
1999-05-01,116.6886,1.685275,1.063005,1.61541,0.524736842105263
1999-06-01,117.267709090909,1.76693181818182,1.03771818181818,1.59501818181818,0.612272727272727
1999-07-01,117.344854545455,1.80228571428571,1.03704761904762,1.57508571428571,0.758095238095238
1999-08-01,116.290822727273,1.88588636363636,1.06050454545455,1.60582727272727,0.734285714285714
1999-09-01,115.630140909091,1.89869047619048,1.04974761904762,1.62468571428571,0.891428571428571
1999-10-01,115.113133333333,1.9688,1.07055,1.65717,1.321
1999-11-01,115.381636363636,1.93135,1.03279,1.620485,1.0325
1999-12-01,115.433273913043,1.84421739130435,1.01102608695652,1.61321304347826,0.932631578947368
2000-01-01,115.215126315789,1.805735,1.01311,1.6404,0.718947368421053
2000-02-01,116.686680952381,1.7765,0.98336,1.599985,0.5515
2000-03-01,116.673473913043,1.74237826086957,0.964339130434783,1.5799,0.502173913043478
2000-04-01,117.330745,1.769625,0.94492,1.582345,0.65
2000-05-01,119.914113043478,1.82775,0.905945454545455,1.50896363636364,0.959047619047619
2000-06-01,118.701022727273,1.80986363636364,0.950477272727273,1.50924545454545,1.10363636363636
2000-07-01,118.995833333333,1.79815,0.938615,1.507595,0.775
2000-08-01,119.815456521739,1.80911304347826,0.904504347826087,1.48891304347826,0.599090909090909
2000-09-01,121.20539047619,1.839725,0.869475,1.43355,0.6775
2000-10-01,122.9712,1.88133333333333,0.852538095238095,1.45064761904762,0.67
2000-11-01,123.973154545455,1.94827142857143,0.855152380952381,1.4257619047619,0.58
2000-12-01,122.953233333333,1.9632,0.89831,1.462915,0.768421052631579
2001-01-01,122.810056521739,1.95611904761905,0.937580952380953,1.47749523809524,0.550952380952381
2001-02-01,123.53702,2.006,0.920521052631579,1.45251052631579,0.46421052631579
2001-03-01,125.551359090909,2.09552272727273,0.908286363636364,1.44445909090909,0.539545454545455
2001-04-01,126.518,2.1934380952381,0.892519047619048,1.43477142857143,0.751052631578948
2001-05-01,126.399526086957,2.29256818181818,0.875313636363637,1.4265,0.484761904761905
2001-06-01,127.227014285714,2.37878571428571,0.852957142857143,1.40200952380952,0.35
2001-07-01,127.643527272727,2.47309523809524,0.861485714285714,1.41475714285714,0.234761904761905
2001-08-01,125.554960869565,2.51223913043478,0.901365217391304,1.43718260869565,0.205
2001-09-01,125.896135,2.67666666666667,0.911444444444444,1.46381111111111,0.346470588235294
2001-10-01,126.73567826087,2.74080454545455,0.905,1.4501,0.240909090909091
2001-11-01,127.273381818182,2.5481,0.88826,1.43561,0.2335
2001-12-01,127.390885714286,2.36354,0.89117,1.441265,0.235263157894737
2002-01-01,128.897943478261,2.37990476190476,0.883161904761905,1.4322380952381,0.168095238095238
