state,horizon,state_value,state_sd_units,marginal_effect,se,ci_lower,ci_upper
predetermined,12,0,0,-5.4664702475304,2.38456193079968,-9.38872558809665,-1.54421490696415
predetermined,12,1.39002295767307,0.1,-5.7564600950348,2.34858173509777,-9.61953328020234,-1.89338690986725
predetermined,12,2.78004591534614,0.2,-6.0464499425392,2.32429478885078,-9.8695746560848,-2.22332522899359
predetermined,12,4.17006887301921,0.3,-6.3364397900436,2.31206961377705,-10.1394558800291,-2.53342370005813
predetermined,12,5.56009183069228,0.4,-6.626429637548,2.31209754700179,-10.4294916735995,-2.8233676014965
predetermined,12,6.95011478836534,0.5,-6.9164194850524,2.32437814676969,-10.7396813101733,-3.09315765993153
predetermined,12,8.34013774603841,0.6,-7.20640933255679,2.34871922671433,-11.0697086713085,-3.34310999380508
predetermined,12,9.73016070371148,0.7,-7.49639918006119,2.38475151265763,-11.4189663550341,-3.57383200508828
predetermined,12,11.1201836613846,0.8,-7.78638902756559,2.43195540311422,-11.7865996929622,-3.78617836216895
predetermined,12,12.5102066190576,0.9,-8.07637887506999,2.48969554821031,-12.1715636275487,-3.98119412259133
predetermined,12,13.9002295767307,1,-8.36636872257439,2.55725835559263,-12.5726844038229,-4.16005304132589
predetermined,12,15.2902525344038,1.1,-8.65635857007879,2.6338880397896,-12.9887188653108,-4.32399827484678
predetermined,12,16.6802754920768,1.2,-8.94634841758319,2.71881806112018,-13.4184061664379,-4.4742906687285
predetermined,12,18.0702984497499,1.3,-9.23633826508759,2.81129625390639,-13.8605091047606,-4.61216742541458
predetermined,12,19.460321407423,1.4,-9.52632811259199,2.91060322603601,-14.313844385554,-4.73881183963001
predetermined,12,20.850344365096,1.5,-9.81631796009639,3.0160645195391,-14.7773026241799,-4.85533329601286
predetermined,12,22.2403673227691,1.6,-10.1063078076008,3.12705752538424,-15.249859719915,-4.96275589528663
predetermined,12,23.6303902804422,1.7,-10.3962976551052,3.24301432043247,-15.7305815223241,-5.06201378788628
predetermined,12,25.0204132381152,1.8,-10.6862875026096,3.36342155140063,-16.2186236403977,-5.15395136482152
predetermined,12,26.4104361957883,1.9,-10.976277350114,3.4878183319592,-16.7132279835849,-5.23932671664307
predetermined,12,27.8004591534614,2,-11.2662671976184,3.61579291933364,-17.2137172952898,-5.31881709994701
predetermined,18,-27.8004591534614,-2,-2.2362682275473,3.50151509733452,-7.99574803522332,3.52321158012873
predetermined,18,-26.4104361957883,-1.9,-2.39432495956233,3.37924276529158,-7.9526846784017,3.16403475927704
predetermined,18,-25.0204132381152,-1.8,-2.55238169157737,3.25980800760846,-7.9142887160576,2.80952533290286
predetermined,18,-23.6303902804422,-1.7,-2.71043842359241,3.14353427147534,-7.88109217147487,2.46021532429006
predetermined,18,-22.2403673227691,-1.6,-2.86849515560745,3.03078538916742,-7.853693495491,2.1167031842761
predetermined,18,-20.850344365096,-1.5,-3.02655188762248,2.92196942561354,-7.83276389518422,1.77966011993925
