horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,sample,fci,outcome
17,-6.55482789503644,3.11279057348892,0.0369356911269237,-11.67491275978,-1.43474303029283,157,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
18,-5.52572438965005,3.26006818644431,0.0922272009927154,-10.8880593702321,-0.163389409068018,156,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
1,-1.36698975888011,0.75471859929609,0.0719534496654131,-2.60839138426002,-0.125588133500201,173,post-IT,FCI_exCredit_AVG,USD (in dollars)
2,-2.09887067733329,0.929920625293675,0.0253502753131623,-3.62845399062458,-0.569287364042013,172,post-IT,FCI_exCredit_AVG,USD (in dollars)
3,-2.23764999986147,1.17037366318238,0.0576748397501239,-4.16274336463548,-0.312556635087462,171,post-IT,FCI_exCredit_AVG,USD (in dollars)
4,-2.74375866725174,1.49329894866189,0.0680203840348854,-5.20001685908106,-0.287500475422421,170,post-IT,FCI_exCredit_AVG,USD (in dollars)
5,-3.32395650503368,1.68988225666265,0.0509374822944733,-6.10356546402618,-0.544347546041175,169,post-IT,FCI_exCredit_AVG,USD (in dollars)
6,-3.81554854422945,1.98873344759694,0.0568518457407592,-7.08672396854897,-0.544373119909921,168,post-IT,FCI_exCredit_AVG,USD (in dollars)
7,-3.85415228101007,2.23001999460441,0.0859124327379811,-7.52220875730945,-0.186095804710702,167,post-IT,FCI_exCredit_AVG,USD (in dollars)
8,-4.04714191161409,2.31774259618093,0.0827649142744931,-7.85948922728221,-0.23479459594597,166,post-IT,FCI_exCredit_AVG,USD (in dollars)
9,-5.05660671395046,2.48327593993804,0.0434372711564139,-9.14123215047887,-0.971981277422052,165,post-IT,FCI_exCredit_AVG,USD (in dollars)
10,-5.12237040630938,2.65971684720513,0.0559702178311912,-9.49721530909867,-0.747525503520098,164,post-IT,FCI_exCredit_AVG,USD (in dollars)
11,-5.55923055100279,2.71127678519194,0.0420422221527542,-10.0188840047951,-1.09957709721049,163,post-IT,FCI_exCredit_AVG,USD (in dollars)
12,-5.55276181075408,2.79368111809628,0.0486626486230274,-10.1479583304006,-0.957565291107567,162,post-IT,FCI_exCredit_AVG,USD (in dollars)
13,-4.85672112602435,2.901758502779,0.0962703680419057,-9.62968912385766,-0.0837531281910451,161,post-IT,FCI_exCredit_AVG,USD (in dollars)
14,-4.26172357558705,2.95025579041211,0.1506904502154,-9.11446251288099,0.591015361706884,160,post-IT,FCI_exCredit_AVG,USD (in dollars)
15,-4.65022556063353,2.77893160056232,0.0963636310757669,-9.22116128286852,-0.0792898383985348,159,post-IT,FCI_exCredit_AVG,USD (in dollars)
16,-4.60869510441962,2.60825867425158,0.0793097457388419,-8.89889884478997,-0.318491364049264,158,post-IT,FCI_exCredit_AVG,USD (in dollars)
17,-4.03585567699648,2.55937212060698,0.116984489885005,-8.24564819229535,0.173936838302393,157,post-IT,FCI_exCredit_AVG,USD (in dollars)
18,-3.74168306850063,2.46641203259246,0.131429930073992,-7.79856984586708,0.31520370886582,156,post-IT,FCI_exCredit_AVG,USD (in dollars)
1,-0.808800545749699,0.863814733869891,0.350505998389636,-2.22964934376971,0.612048252270311,173,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
2,-1.01981317387009,0.800332218731309,0.204415525146405,-2.3362425266164,0.296616178876219,172,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
3,-1.75470476445407,1.01801417895317,0.0867018811668446,-3.42918907899321,-0.0802204499149268,171,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
4,-2.84611915178323,1.19988482146299,0.0188887543293324,-4.81975405229064,-0.872484251275812,170,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
5,-3.2244946985252,1.33356635484606,0.0167458233137608,-5.4180161540742,-1.03097324297619,169,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
6,-3.24528604047712,1.30226205652127,0.0137398231196812,-5.38731650738742,-1.10325557356682,168,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
7,-4.22722785310121,1.356204965966,0.00217594031172714,-6.45798651025999,-1.99646919594244,167,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
8,-4.99538700452495,1.36667247868628,0.000351394241081329,-7.24336318794683,-2.74741082110307,166,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
9,-4.67088222111638,1.20238301056166,0.000151770376560163,-6.64862627702356,-2.6931381652092,165,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
10,-5.26709570388141,1.26619740799409,5.29274810641389e-05,-7.34980510285704,-3.18438630490578,164,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
11,-5.09054192594879,1.5328509679515,0.00112338939202821,-7.61185740015989,-2.56922645173769,163,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
12,-4.12581230389781,1.65990503630363,0.0140243599302707,-6.85611312325685,-1.39551148453877,162,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
