variant,group,h,b,se_bank,p_bank,n
split_tightening,hedged,17,4.28368534076333,1.47427373771154,0.0103198211286712,4972
split_tightening,hedged,18,4.21931213528568,1.09962173910036,0.00145447996153492,4908
split_tightening,unhedged,1,1.05452648772868,0.337077539371826,0.005532734822308,14402
split_tightening,unhedged,2,1.5468691041001,0.55531204972372,0.0117878231920247,14224
split_tightening,unhedged,3,1.45018400029188,0.687312681965712,0.0483528276292314,14046
split_tightening,unhedged,4,1.35043361529137,0.783359516509814,0.100959485242578,13874
split_tightening,unhedged,5,1.22201146992338,0.82282842848704,0.153911193154049,13666
split_tightening,unhedged,6,0.746172765311473,0.963069091085735,0.448001431373641,13454
split_tightening,unhedged,7,1.68340183304742,1.31681913290776,0.216510156931308,13262
split_tightening,unhedged,8,2.2336914611859,1.42745239046327,0.13413083769971,13066
split_tightening,unhedged,9,1.16303170166854,1.43563270112301,0.428453260831167,12864
split_tightening,unhedged,10,1.91498907550341,1.38577471052531,0.183916309371864,12680
split_tightening,unhedged,11,2.15993565110411,1.5157997241537,0.171281317770157,12498
split_tightening,unhedged,12,1.44239934263449,1.67325047549593,0.400665513791181,12318
split_tightening,unhedged,13,2.22697901999263,1.87831629249164,0.252078812828774,12138
split_tightening,unhedged,14,1.69649443480624,1.72935610147686,0.340349706379117,11964
split_tightening,unhedged,15,1.89459776643756,1.96985627962427,0.349634541149822,11796
split_tightening,unhedged,16,1.97416054602094,1.79795489266192,0.287511882163793,11632
split_tightening,unhedged,17,1.72776035971939,1.7464072137386,0.336378423255917,11470
split_tightening,unhedged,18,2.49072570263782,1.92374182904846,0.212723472644427,11306
