sample,method,variable,effective_weight,weight_share_abs,R2,n
postIT,FCI_COMP_DFM,Ratio_Cred_Depo,-7e-04,3e-04,1,176
postIT,FCI_COMP_DFM,Morosidad,2.2808,0.9957,1,176
postIT,FCI_COMP_DFM,Rentabilidad,8e-04,3e-04,1,176
postIT,FCI_COMP_DFM,Liquidez,3e-04,1e-04,1,176
postIT,FCI_COMP_DFM,TCN,0.0014,6e-04,1,176
postIT,FCI_COMP_DFM,Commodities,1e-04,0,1,176
postIT,FCI_COMP_DFM,FFER,4e-04,2e-04,1,176
postIT,FCI_COMP_DFM,VIX,-4e-04,2e-04,1,176
postIT,FCI_COMP_AVG,TPM,0.1235,0.0894,0.996,176
postIT,FCI_COMP_AVG,Spread_activas_pasivas,0.107,0.0774,0.996,176
postIT,FCI_COMP_AVG,Spread_mercado_TPM,0.0306,0.0221,0.996,176
postIT,FCI_COMP_AVG,Crecimiento_creditos,0.1461,0.1057,0.996,176
postIT,FCI_COMP_AVG,Ratio_Cred_Depo,0.0549,0.0397,0.996,176
postIT,FCI_COMP_AVG,Morosidad,0.3305,0.2391,0.996,176
postIT,FCI_COMP_AVG,Rentabilidad,0.1192,0.0863,0.996,176
postIT,FCI_COMP_AVG,Liquidez,0.0687,0.0497,0.996,176
postIT,FCI_COMP_AVG,TCN,0.1201,0.0869,0.996,176
postIT,FCI_COMP_AVG,Commodities,0.1121,0.0811,0.996,176
postIT,FCI_COMP_AVG,FFER,0.1,0.0723,0.996,176
postIT,FCI_COMP_AVG,VIX,0.0693,0.0502,0.996,176
