horizon,gamma,coef,se,p_value,ci_lower,ci_upper,first_stage_F,eff_F,partial_R2,ar_lo,ar_hi,n_obs
18,-0.079121791615828,-138.362916231404,43.5208443026382,0.00163530374188425,-209.948334830588,-66.7774976322189,11.3218729478966,11.3128152079795,0.0373262661141532,-275,-90,306
18,-0.098902239519785,-134.519501891642,42.6493542169741,0.0017778583550295,-204.67144686257,-64.3675569207145,11.3218729478966,11.3128152079795,0.0373262661141532,-267,-87,306
18,-0.118682687423742,-130.676087551881,41.7909375773623,0.00194475406914394,-199.416062799708,-61.9361123040543,11.3218729478966,11.3128152079795,0.0373262661141532,-260,-84,306
18,-0.138463135327699,-126.83267321212,40.9464166224297,0.00214127769708484,-194.183535104189,-59.4818113200506,11.3218729478966,11.3128152079795,0.0373262661141532,-252,-82,306
18,-0.158243583231656,-122.989258872359,40.1166689420441,0.00237409334546862,-188.975307282892,-57.0032104618262,11.3218729478966,11.3128152079795,0.0373262661141532,-245,-79,306
18,-0.178024031135613,-119.145844532598,39.3026302165636,0.00265165216002438,-183.792918393045,-54.4987706721506,11.3218729478966,11.3128152079795,0.0373262661141532,-237,-76,306
18,-0.19780447903957,-115.302430192836,38.5052967660149,0.00298473599424242,-178.638007235259,-51.9668531504141,11.3218729478966,11.3128152079795,0.0373262661141532,-230,-73,306
18,-0.217584926943527,-111.459015853075,37.7257278033735,0.00338718132166175,-173.512316059838,-49.4057156463122,11.3218729478966,11.3128152079795,0.0373262661141532,-223,-71,306
18,-0.237365374847484,-107.615601513314,36.9650472704256,0.00387684589371781,-168.417693586506,-46.8135094401219,11.3218729478966,11.3128152079795,0.0373262661141532,-215,-68,306
18,-0.257145822751441,-103.772187173553,36.2244451065167,0.00447690207734865,-163.356097091311,-44.1882772557942,11.3218729478966,11.3128152079795,0.0373262661141532,-208,-65,306
18,-0.276926270655398,-99.9287728337917,35.5051777773403,0.00521756874886127,-158.329593276407,-41.5279523911767,11.3218729478966,11.3128152079795,0.0373262661141532,-200,-63,306
18,-0.296706718559355,-96.0853584940304,34.8085678659733,0.00613842918783801,-153.340357597363,-38.8303593906977,11.3218729478966,11.3128152079795,0.0373262661141532,-193,-60,306
18,-0.316487166463312,-92.2419441542691,34.1360025035274,0.00729152611394616,-148.390671681821,-36.0932166267176,11.3218729478966,11.3128152079795,0.0373262661141532,-186,-57,306
18,-0.336267614367269,-88.398529814508,33.48893039674,0.00874547583207213,-143.482918440311,-33.3141411887048,11.3218729478966,11.3128152079795,0.0373262661141532,-178,-54,306
18,-0.356048062271226,-84.5551154747468,32.8688571975173,0.0105908972994227,-138.619574449833,-30.4906564996604,11.3218729478966,11.3128152079795,0.0373262661141532,-171,-51,306
18,-0.375828510175183,-80.7117011349855,32.2773389544328,0.0129474990975916,-133.803199182526,-27.6202030874448,11.3218729478966,11.3128152079795,0.0373262661141532,-164,-49,306
18,-0.39560895807914,-76.8682867952243,31.7159733990426,0.0159731888468963,-129.036420672936,-24.7001529175127,11.3218729478966,11.3128152079795,0.0373262661141532,-157,-46,306
18,-0.415389405983097,-73.0248724554632,31.1863888495179,0.0198755326716402,-124.321917266112,-21.7278276448146,11.3218729478966,11.3128152079795,0.0373262661141532,-149,-43,306
18,-0.435169853887054,-69.1814581157019,30.6902305702167,0.0249257454174124,-119.6623951811,-18.7005210503041,11.3218729478966,11.3128152079795,0.0373262661141532,-142,-40,306
18,-0.454950301791011,-65.3380437759408,30.2291445064235,0.0314750629999544,-115.060561756972,-15.6155257949099,11.3218729478966,11.3128152079795,0.0373262661141532,-135,-37,306
18,-0.474730749694968,-61.4946294361795,29.8047584269264,0.0399727484439712,-110.519094435122,-12.4701644372371,11.3218729478966,11.3128152079795,0.0373262661141532,-128,-34,306
18,-0.494511197598925,-57.6512150964183,29.4186606483266,0.0509840296658075,-106.040605763873,-9.26182442896381,11.3218729478966,11.3128152079795,0.0373262661141532,-121,-31,306
18,-0.514291645502882,-53.8078007566572,29.0723766821404,0.0652049268470229,-101.627604986375,-5.98799652693915,11.3218729478966,11.3128152079795,0.0373262661141532,-114,-28,306
18,-0.534072093406839,-49.9643864168959,28.7673443285384,0.0834692923381919,-97.2824570734541,-2.64631576033764,11.3218729478966,11.3128152079795,0.0373262661141532,-107,-25,306
18,-0.553852541310796,-46.1209720771347,28.5048879254259,0.10674176797025,-93.0073403671167,0.765396212847222,11.3218729478966,11.3128152079795,0.0373262661141532,-100,-22,306
18,-0.573632989214753,-42.2775577373735,28.2861926339294,0.136089369240553,-88.8042042839402,4.24908880919326,11.3218729478966,11.3128152079795,0.0373262661141532,-93,-18,306
18,-0.59341343711871,-38.4341433976122,28.1122797716847,0.172624911594027,-84.6747287419423,7.80644194671784,11.3218729478966,11.3128152079795,0.0373262661141532,-86,-15,306
18,-0.613193885022667,-34.590729057851,27.9839842830439,0.217418440968469,-80.6202871023688,11.4388289866667,11.3218729478966,11.3128152079795,0.0373262661141532,-79,-12,306
18,-0.632974332926624,-30.7473147180899,27.9019354329768,0.271378769723198,-76.6419144139876,15.1472849778078,11.3218729478966,11.3128152079795,0.0373262661141532,-73,-8,306
18,-0.652754780830581,-26.9039003783287,27.8665417232964,0.335115715799753,-72.7402826024874,18.93248184583,11.3218729478966,11.3128152079795,0.0373262661141532,-66,-5,306
18,-0.672535228734538,-23.0604860385675,27.8779808537296,0.408802834811117,-68.9156839579083,22.7947118807734,11.3218729478966,11.3128152079795,0.0373262661141532,-60,-1,306
18,-0.692315676638495,-19.2170716988062,27.936195293971,0.492067166822709,-65.1680238513191,26.7338804537067,11.3218729478966,11.3128152079795,0.0373262661141532,-54,3,306
18,-0.712096124542452,-15.3736573590451,28.0408937212447,0.583933341003665,-61.4968230993952,30.749508381305,11.3218729478966,11.3128152079795,0.0373262661141532,-48,7,306
18,-0.731876572446409,-11.5302430192838,28.1915582404264,0.682842190904232,-57.9012298404628,34.8407438018951,11.3218729478966,11.3128152079795,0.0373262661141532,-42,12,306
18,-0.751657020350366,-7.68682867952262,28.3874569752105,0.786749569272963,-54.3800402451264,39.0063828860812,11.3218729478966,11.3128152079795,0.0373262661141532,-36,16,306
18,-0.771437468254323,-3.84341433976136,28.6276613289708,0.893293211662083,-50.9317269078574,43.2448982283346,11.3218729478966,11.3128152079795,0.0373262661141532,-31,21,306
18,-0.79121791615828,-1.73714216843022e-13,28.9110669982606,0.999999999999995,-47.5544734111261,47.5544734111258,11.3218729478966,11.3128152079795,0.0373262661141532,-26,26,306
