grid,lag_convention,candidate,N,coef,t_nw3,p_nw3,t_nw13,p_nw13,partial_R2_classical,F_classical,F_hac_nw3,F_hac_nw13,rank_partialR2,ratio_to_next
d12,lagmatched,FFER,322,0.10332105132797,0.402506618476089,0.687586850225686,0.340595125000255,0.733637617822419,0.00573561357481667,0.599944863685227,0.218598179521781,0.161681888021766,6,
d12,lagmatched,US10Y,322,0.0573224539383135,0.402211323983252,0.68780391498727,0.472797764303082,0.636688041863859,0.00499813116025749,0.522416748094063,0.252238699286796,0.163766379004713,7,
d12,lagmatched,Selic,322,-0.00703775735501837,-0.311329635713724,0.75575795588581,-0.291301199336124,0.771014535479196,0.017611735370417,1.86445679826397,0.491310215660086,0.246198997001229,4,
d12,lagmatched,ToT,322,0.00316799236781098,0.846913734073867,0.397692353118667,0.687726389505958,0.492136038359027,0.00613078095154984,0.641534325383013,0.28732392414017,0.334932504453168,5,
d12,lagmatched,SP500,322,0.00107440638958753,0.126083065158977,0.899747381365205,0.107285387804143,0.914631530687858,0.0198356467696219,2.10465444620777,0.626108970598605,0.361256883797601,2,
d12,lagmatched,VIX,322,-0.0089748768420164,-1.21888838208095,0.223807323889241,-1.16885195923089,0.243355550007195,0.0189281200224614,2.00650382761052,0.999087996422281,0.575454524539039,3,
ma12,contemp,DXY,325,0.0394583810455025,5.14603385410983,4.67438676165378e-07,3.01688447990102,0.00276065115696318,0.210282134143116,84.4091787780923,26.4816644276444,9.10159196506767,1,3.35113027986538
ma12,contemp,FFER,325,-0.112829399741688,-2.62292183323543,0.00913919992489095,-1.55891343279135,0.120014628713539,0.0627496147811847,21.223387260589,6.8797189432631,2.4302110909373,2,
ma12,contemp,US10Y,325,-0.174612701239355,-2.1863836323335,0.0295184343951761,-1.29906933084414,0.19486419942922,0.0519703721466263,17.377735343339,4.78027338773584,1.68758112633984,3,
ma12,contemp,Selic,325,0.0169199674143185,1.48762322112473,0.137844302678871,0.958442919071159,0.3385698729062,0.0112761130066633,3.6152942900793,2.21302284802953,0.918612829117644,5,
ma12,contemp,ToT,325,0.00748604667784933,1.84520991537652,0.0659395518827409,1.10016304818806,0.272095830996073,0.0336236401459019,11.0295474610532,3.40479963180383,1.21035873259845,4,
ma12,contemp,SP500,325,5.84809977621155e-06,0.100313925065847,0.920158514759734,0.0609123234876715,0.951467419483164,7.27494286006936e-05,0.0230632467040471,0.0100628835621164,0.00371031115266674,7,
ma12,contemp,VIX,325,0.0163402542455818,0.863451837090197,0.38854190409031,0.505731835249908,0.613396393630839,0.0105746333453604,3.38798547465277,0.745549074974436,0.25576468918524,6,
ma12,lagmatched,DXY,323,0.123879057453552,0.712136026602281,0.476911017487126,0.83290473493252,0.405533543764702,0.249831572080637,34.746544531839,12.3661229759625,5.54562440360988,1,3.6269673985774
ma12,lagmatched,FFER,323,-2.45330198269112,-0.607417156519155,0.544014513772279,-0.501800607590001,0.616160569866531,0.0688816701739938,7.71830391972088,2.9656036900864,1.14688036297138,2,
ma12,lagmatched,US10Y,323,-0.428126400993561,-0.227580582388883,0.82012090141431,-0.265291346857484,0.790959664594327,0.0599474642976725,6.65337152713951,1.91948430620741,0.717473875284472,3,
ma12,lagmatched,Selic,323,0.181355210994919,0.454162745049005,0.650026464942044,0.343186368444582,0.731688644430925,0.0428988484352253,4.67639167092319,1.23747625097694,0.606356265875472,4,
ma12,lagmatched,ToT,323,0.0442759930582744,1.20486957626756,0.229163854246275,0.946606452666617,0.344569562262375,0.03673771546878,3.97915331624837,1.50049803574255,1.05652562388814,6,
ma12,lagmatched,SP500,323,-0.00100682792259579,-0.333345752021898,0.739096495848458,-0.285912821344116,0.775134022633768,0.0409714230517855,4.45730736408888,4.06155835742676,2.23277834998351,5,
ma12,lagmatched,VIX,323,-0.0485548626624449,-0.506051692542335,0.613176587413547,-0.47709533147964,0.633627179611096,0.0266570089175436,2.85738390530838,0.840588460564586,0.487183779376215,7,
