date,micro,agg,ratio,micro_yoy,agg_yoy,gap,tcn_yoy
2018-04-01,74155616.6483533,78400732.7627262,0.945853616863245,7.67421623811453,9.47793292547923,-1.8037166873647,-0.424195834939622
2018-05-01,75867587.9048149,80210430.3191375,0.945856886728527,10.469187939738,11.9328028157279,-1.46361487598996,0.921106474256717
2018-06-01,76098178.6857998,80275493.2888501,0.947962766319987,10.4483972929779,11.6387502231058,-1.19035293012788,2.02639480841254
2018-07-01,77171495.77923,81582431.521461,0.945932774250904,11.8092301205893,12.8367289425281,-1.0274988219388,3.09919982973439
2018-08-01,79128335.5246876,83549260.0429325,0.947086012300131,12.4370003461228,13.2985253545554,-0.861525008432574,3.28691280653022
2018-09-01,80827734.4271042,85305670.5679332,0.947507169089504,13.7038636352337,14.2383540783783,-0.534490443144598,3.46757784553431
2018-10-01,82534632.1647105,87062964.3454922,0.947987847475398,15.5935497374975,15.4928087473191,0.100740990178382,5.52952315407471
2018-11-01,83405030.5535726,88125493.9688425,0.946434757949397,14.4658828187672,14.7061327850378,-0.240249966270589,4.96388961759593
2018-12-01,84542947.3350003,88997629.3372114,0.949946059963773,15.1990788516848,15.2478951809158,-0.0488163292309274,5.27310897936328
2019-01-01,85110000.6253263,89873034.744183,0.947002633966748,15.7890044182611,16.2458513272265,-0.456846908965325,7.45462218297608
2019-02-01,86766399.0626114,90021238.8633057,0.963843645768566,17.6288304004783,15.8994425632265,1.72938783725181,8.51327218579367
2019-03-01,88441241.9016759,92049720.7743014,0.960798589694008,19.2748926741793,17.5258786854223,1.749013988757,10.8054402599373
2019-04-01,89105420.6497204,92402399.2535985,0.96431933986011,20.160042727794,17.8591015638173,2.3009411639767,12.3352059293177
2019-05-01,88869532.6372155,92103637.2894368,0.964886243937815,17.1376803869304,14.8275067506546,2.31017363627575,11.9456695368395
2019-06-01,88161213.1794806,91776158.9066549,0.960611276716744,15.851935883364,14.3264963522837,1.52543953108029,9.65206838349122
2019-07-01,87530898.3026322,91655154.4128522,0.955002464000631,13.4238716235824,12.3466813914972,1.07719023208523,5.79906465969964
2019-08-01,89977114.5620084,94036759.3034907,0.956829172213598,13.7103592099899,12.5524741394108,1.1578850705791,6.28627864811724
2019-09-01,91612802.709781,95607847.6761368,0.958214256847528,13.343276734304,12.0767787646654,1.26649796963867,8.2602861547856
2019-10-01,92081070.0705507,96334225.4172111,0.95585000732356,11.566584420936,10.6489150023972,0.917669418538724,8.14646607071847
2019-11-01,93348155.3435422,97364786.9827252,0.958746567792567,11.9214928931451,10.4842453616763,1.43724753146888,8.73687551275697
2019-12-01,94132253.5762098,97770891.7917631,0.962784033684555,11.3425265424117,9.85786084403422,1.48466569837751,8.80506568497359
2020-01-01,93806950.9994531,97416957.946844,0.962942725543116,10.2184823290188,8.39397848769017,1.82450384132866,7.89943993374889
2020-02-01,93828011.9722542,97390407.370578,0.963421496074366,8.13864927660195,8.18603320763243,-0.0473839310304776,7.63355087151021
2020-03-01,93931452.5635027,98238588.3871048,0.956156375062822,6.20774939810378,6.72339640005863,-0.515647001954855,7.29462922161897
2020-04-01,92856571.4800922,97921700.4103327,0.94827368286074,4.20978971090633,5.97311455256318,-1.76332484165684,4.49726318878092
2020-05-01,93651155.4125835,98383455.0137265,0.9518994367449,5.38049726770549,6.81820817190462,-1.43771090419913,4.32267866852609
2020-06-01,95136072.7389173,99716876.240135,0.954061903321296,7.91148318845962,8.65226593494342,-0.740782746483792,7.6161118939718
2020-07-01,96243912.7572332,100959718.802908,0.953290222064889,9.95421573816873,10.1517088151361,-0.197493076967413,13.9691670977458
2020-08-01,97169368.0797314,101887972.533854,0.953688307493265,7.99342538681487,8.34908953532154,-0.355664148506674,13.1407712255692
2020-09-01,98142811.1281515,102956999.729833,0.953240783877593,7.12783391100562,7.68676654932259,-0.558932638316967,10.1935082761696
2020-10-01,99718623.2749827,104974528.568188,0.949931613269489,8.29437928835997,8.96908976384734,-0.674710475487371,8.99548988521339
2020-11-01,101385961.790188,106894572.583003,0.948466880406512,8.61056805789568,9.78771267888499,-1.1771446209893,8.93802452862229
2020-12-01,101921110.387563,107247528.828624,0.950335280455999,8.27437622647349,9.69269775818855,-1.41832153171506,7.6651131492615
2021-01-01,101644864.121083,110572779.887888,0.919257562522557,8.3553649682905,13.5046528020534,-5.14928783376289,5.94045423363905
2021-02-01,100310621.056707,107548631.197705,0.932700118445093,6.90903382496277,10.430415172692,-3.52138134772921,3.09292483104022
2021-03-01,99089677.8930211,106855650.198295,0.927322773378272,5.49147829480343,8.77156517888333,-3.2800868840799,-0.561186026954497
2021-04-01,101354771.818044,109216429.223671,0.928017630117479,9.15196437095902,11.5344492242357,-2.38248485327672,-1.52735932624414
2021-05-01,101875173.788375,110289598.258997,0.92370609193025,8.78154502158639,12.1017738639177,-3.32022884233134,1.93966672302681
2021-06-01,100597175.455507,109792240.370448,0.916250320752038,5.74030707739746,10.1039708725425,-4.36366379514508,0.536930116802359
2021-07-01,101502830.361273,111363451.358778,0.911455501089519,5.46415607323143,10.3048351156559,-4.84067904242449,-0.761559745391893
2021-08-01,103035621.674096,113213501.840864,0.910100120557402,6.03714288802546,11.1156685380576,-5.07852565003213,-0.352348397820912
2021-09-01,105247492.780066,115220498.851177,0.913444168611073,7.23912589240752,11.911282529137,-4.67215663672951,-1.23388216474923
2021-10-01,107512351.499783,117930182.24398,0.911661030738983,7.81571984132654,12.3417117014029,-4.52599186007634,-1.59047598508608
2021-11-01,109660126.992269,119832201.693059,0.9151140131194,8.16105608309294,12.103167445672,-3.94211136257905,-2.50548004583415
2021-12-01,111295721.897197,121394395.61983,0.916811038342671,9.19790951451198,13.190855720146,-3.992946205634,-1.84963622787925
2022-01-01,113015037.016899,123119115.975546,0.917932492622397,11.1861755083576,11.3466769130515,-0.160501404693902,1.21882767598642
2022-02-01,113339591.957454,123349403.773729,0.918849937575397,12.988625494982,14.6917467940412,-1.70312129905916,3.61436593713
2022-03-01,113880269.047914,124002543.365182,0.918370429810795,14.9264701121149,16.0467819297037,-1.12031181758878,6.47113153092538
2022-04-01,114000451.915273,124198312.9479,0.917890502772732,12.4766499597383,13.7176099152144,-1.24095995547608,6.88203850398006
2022-05-01,115352241.070382,125543354.333479,0.918823952751605,13.2290005315747,13.8306388954839,-0.601638363909185,2.01598962112315
2022-06-01,116031767.065427,126402202.47345,0.917956845647517,15.3429671757996,15.1285391817851,0.214427994014455,1.6843290632397
2022-07-01,116548759.480843,125414257.186769,0.929310288122004,14.8231621384525,12.6170710915949,2.20609104685758,0.295043295705266
2022-08-01,117953019.019812,126951460.461915,0.92911903959701,14.4779029847563,12.1345585090737,2.34334447568256,-0.750534495298549
2022-09-01,121110376.406016,129783888.71687,0.933169576003575,15.0719824358179,12.6395823754449,2.43240006037295,1.09410309170965
2022-10-01,123226783.860706,131772709.712566,0.935146466438296,14.6163972247917,11.7379005146858,2.87849671010592,3.90672966090402
2022-11-01,125155089.471724,132679449.590998,0.943289181991119,14.1299877215608,10.721031339177,3.40895638238381,4.75344111009493
2022-12-01,127016064.440811,133832328.933415,0.949068625294601,14.1248399090616,10.2458875882019,3.87895232085971,6.20815027835535
2023-01-01,127053916.883937,133879270.138784,0.949018595277879,12.422134467769,8.73962916154769,3.68250530622132,5.52760695414041
2023-02-01,127315782.592322,134660911.624207,0.945454631612901,12.3312519424941,9.17029795395483,3.16095398853928,4.67842716897025
2023-03-01,125996174.471066,134173351.250342,0.939055134994586,10.6391612212076,8.20209619024337,2.43706503096422,3.18491275382857
2023-04-01,126808231.410683,134503957.748265,0.942784387415683,11.2348497573752,8.29773332322792,2.93711643414731,4.6860774185095
