horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,fci_type,credit_measure,adjusted
2,-1.31026931761784,1.03302490516205,0.205547868013652,-3.00944407960484,0.388905444369154,344,FCI_ENDO,Real_MN,FALSE
3,-2.93786510766437,1.28611656529314,0.0229851666635462,-5.05333860476915,-0.822391610559584,343,FCI_ENDO,Real_MN,FALSE
4,-4.88199266032154,1.57126578236164,0.00205326571285107,-7.46649488134383,-2.29749043929926,342,FCI_ENDO,Real_MN,FALSE
5,-5.84920086652683,1.79374911902541,0.00122661767770539,-8.79965561079678,-2.89874612225688,341,FCI_ENDO,Real_MN,FALSE
6,-6.54887770273964,2.16992149968759,0.00274289849450439,-10.1180809517007,-2.97967445377854,340,FCI_ENDO,Real_MN,FALSE
7,-6.84866390736812,2.20317613831353,0.00204471671540503,-10.4725661692861,-3.22476164545017,339,FCI_ENDO,Real_MN,FALSE
8,-7.5569123817363,2.27392585533084,0.000990474694821295,-11.297187572296,-3.81663719117664,338,FCI_ENDO,Real_MN,FALSE
9,-8.28947429892355,2.64659232802926,0.00189273625785195,-12.6427312887444,-3.93621730910269,337,FCI_ENDO,Real_MN,FALSE
10,-9.23826950132358,2.83394009026039,0.00123270741327941,-13.8996861373516,-4.57685286529559,336,FCI_ENDO,Real_MN,FALSE
11,-10.0817763580949,3.09966572119043,0.00126429111883644,-15.1802727619321,-4.98327995425767,335,FCI_ENDO,Real_MN,FALSE
12,-10.3192362765822,3.27226505312204,0.00176447970625088,-15.7016333175565,-4.93683923560785,334,FCI_ENDO,Real_MN,FALSE
13,-10.6457073171619,3.52670724937147,0.00274227107957606,-16.4466245274866,-4.84479010683719,333,FCI_ENDO,Real_MN,FALSE
14,-10.2982386479843,3.53960293824165,0.00387359116547355,-16.1203673789192,-4.47610991704945,332,FCI_ENDO,Real_MN,FALSE
15,-9.29712235383288,3.35488904248438,0.0059114128394156,-14.8154237633831,-3.77882094428269,331,FCI_ENDO,Real_MN,FALSE
16,-8.13051489794781,2.99214616050371,0.00694138639087225,-13.0521573624213,-3.20887243347436,330,FCI_ENDO,Real_MN,FALSE
17,-7.19343680245563,2.82995503687659,0.0114997240511791,-11.8482986089717,-2.53857499593959,329,FCI_ENDO,Real_MN,FALSE
18,-6.09647095230683,2.82843919021537,0.0318815433973185,-10.7488394129443,-1.44410249166939,328,FCI_ENDO,Real_MN,FALSE
19,-5.84664606648819,2.89677282694663,0.044401368013946,-10.6114133573458,-1.08187877563056,327,FCI_ENDO,Real_MN,FALSE
20,-5.78395869431045,2.95552482856982,0.0512306142687546,-10.6453644281286,-0.922552960492247,326,FCI_ENDO,Real_MN,FALSE
21,-4.59520536811839,3.08889678660621,0.13784604194545,-9.67598845084636,0.485577714609581,325,FCI_ENDO,Real_MN,FALSE
22,-4.03788879866967,3.10741361737538,0.194750208698194,-9.14912935764794,1.07335176030861,324,FCI_ENDO,Real_MN,FALSE
23,-3.90933741969659,2.99495920167459,0.192750530586132,-8.83560692514273,1.01693208574954,323,FCI_ENDO,Real_MN,FALSE
24,-3.7311380483298,2.78713361024245,0.181645833146825,-8.31556487593544,0.853288779275846,322,FCI_ENDO,Real_MN,FALSE
1,-1.15523672743698,0.918832401116568,0.20952789189482,-2.6665815349741,0.356108080100134,345,FCI_ENDO,Total_FXadj,TRUE
2,-1.93874085119075,1.08027979582356,0.0736138531834844,-3.71564299147352,-0.161838710907985,344,FCI_ENDO,Total_FXadj,TRUE
3,-3.69705207967148,1.31323298307413,0.0051653109160583,-5.85712811491326,-1.5369760444297,343,FCI_ENDO,Total_FXadj,TRUE
4,-5.71830269507241,1.49487122492274,0.000156111267227357,-8.17714705121196,-3.25945833893285,342,FCI_ENDO,Total_FXadj,TRUE
5,-6.74244615824245,1.76809021799199,0.000163560190665746,-9.650695766084,-3.83419655040091,341,FCI_ENDO,Total_FXadj,TRUE
6,-7.33586007715254,2.13110164882864,0.000651304588486783,-10.8412103536306,-3.83050980067448,340,FCI_ENDO,Total_FXadj,TRUE
7,-7.3076614837826,2.25208941604798,0.00129632079416174,-11.0120189279881,-3.60330403957705,339,FCI_ENDO,Total_FXadj,TRUE
8,-7.82516756638017,2.49035603283059,0.00183028877809262,-11.921438719382,-3.7288964133783,338,FCI_ENDO,Total_FXadj,TRUE
9,-8.35527628733275,2.87197221470597,0.00387189823793913,-13.0792502011957,-3.63130237346979,337,FCI_ENDO,Total_FXadj,TRUE
10,-9.0390067015051,3.16388735875892,0.0045531813716228,-14.2431382988256,-3.83487510418458,336,FCI_ENDO,Total_FXadj,TRUE
11,-9.70399970578215,3.40388250912524,0.00463966201971493,-15.3028881966335,-4.10511121493083,335,FCI_ENDO,Total_FXadj,TRUE
12,-9.65979023269827,3.53022832142238,0.00655696909293123,-15.4664990911567,-3.85308137423986,334,FCI_ENDO,Total_FXadj,TRUE
13,-9.81316112938444,3.79907533332279,0.0102341513254076,-16.0620839704623,-3.56423828830658,333,FCI_ENDO,Total_FXadj,TRUE
14,-9.28384477408846,3.85585832625198,0.0166160278166532,-15.6261673270351,-2.94152222114186,332,FCI_ENDO,Total_FXadj,TRUE
15,-8.06671018012042,3.65056438470666,0.0278325566723908,-14.071354248725,-2.06206611151579,331,FCI_ENDO,Total_FXadj,TRUE
16,-7.07958585343679,3.53842858926706,0.0462641036965928,-12.8997829522015,-1.25938875467208,330,FCI_ENDO,Total_FXadj,TRUE
17,-6.44384175136445,3.54063175235314,0.0697036644112972,-12.2676627309221,-0.620020771806838,329,FCI_ENDO,Total_FXadj,TRUE
18,-5.94934163803795,3.49748854259272,0.0899175156810771,-11.7021983525428,-0.196484923533088,328,FCI_ENDO,Total_FXadj,TRUE
