variant,param,h,b,se_bank,p_bank,p_wcb,se_dk,p_dk,n
gradient_fxshare,shk_usd,11,1.90109840502675,0.783586452622102,0.0259911767485118,,1.93784839335407,0.326575149665346,26852
gradient_fxshare,shk_usd_fxsh,11,0.906964942881813,0.467102371859908,0.0679943361116077,,0.698365753961586,0.194048212632153,26852
gradient_fxshare,shk_usd,12,1.94303401778137,0.75824969414518,0.0201825461224083,,1.91818304681791,0.311081429184756,26482
gradient_fxshare,shk_usd_fxsh,12,1.07442629941914,0.471353943985287,0.0358251232967682,0.042042042042042,0.708777222794649,0.129547884683256,26482
gradient_fxshare,shk_usd,13,1.93704217496821,0.793649961499029,0.0258996954411574,,2.20299195513528,0.379250606984253,26128
gradient_fxshare,shk_usd_fxsh,13,1.06450554869217,0.510447984648408,0.0524152334293486,,0.711191986432307,0.134447727850344,26128
gradient_fxshare,shk_usd,14,1.50129668686448,0.853951136951594,0.0967266356379496,,2.19882552516343,0.494750871977657,25782
gradient_fxshare,shk_usd_fxsh,14,1.02403102423279,0.521050362469475,0.0659325369453013,,0.808161854344535,0.205115492807459,25782
gradient_fxshare,shk_usd,15,1.36367243937135,0.801903922832,0.107248250296097,,2.19414712270787,0.534267695945779,25438
gradient_fxshare,shk_usd_fxsh,15,1.01112910329782,0.600536909099522,0.110509291079077,,0.712861527468773,0.156071431698731,25438
gradient_fxshare,shk_usd,16,1.22020855571905,0.867238062272031,0.177445390500067,,2.29006217146754,0.594152858347573,25102
gradient_fxshare,shk_usd_fxsh,16,0.955738072332208,0.713386683979439,0.197971793913371,,0.553882838818044,0.0844331017027324,25102
gradient_fxshare,shk_usd,17,1.18994913640725,0.882385942631232,0.195171594530585,,2.41339398434891,0.621969871441414,24770
gradient_fxshare,shk_usd_fxsh,17,1.01098800926312,0.639645428202103,0.132407705841122,,0.517366026625926,0.0506886935417355,24770
gradient_fxshare,shk_usd,18,1.46164195284556,0.854658824413616,0.105414463429188,,2.52458663088756,0.562614218531311,24434
gradient_fxshare,shk_usd_fxsh,18,1.18694233166606,0.608326089137135,0.0677172202292003,,0.575238034728549,0.0390752718945202,24434
sharp_moyFE,shk_usd,1,0.323435670251569,0.371591312374035,0.394942312242665,,0.355318426461433,0.362680185893937,20468
sharp_moyFE,shk_usd_unh,1,0.260307884192421,0.438938188742641,0.560147923323369,,0.42085506272223,0.536231661908765,20468
sharp_moyFE,shk_usd,2,0.475944347266948,0.461522147018501,0.315373316612263,,0.545091025643838,0.382583205213591,20232
sharp_moyFE,shk_usd_unh,2,0.520150280170785,0.622240136633534,0.413582887212606,,0.736842200223349,0.480239041977076,20232
sharp_moyFE,shk_usd,3,0.76214802211753,0.56412599555735,0.192557936449666,,0.749982005049704,0.309523803542885,19994
sharp_moyFE,shk_usd_unh,3,0.30903608333986,0.741304554025617,0.681437336288534,,0.866958401881576,0.721496023739464,19994
sharp_moyFE,shk_usd,4,1.13677316046609,0.599528367045481,0.0732577381917398,,0.994087320485642,0.252816733458221,19762
sharp_moyFE,shk_usd_unh,4,-0.321682621261914,0.911449310976814,0.728022235240451,,1.13698543641214,0.777233644525716,19762
sharp_moyFE,shk_usd,5,1.08649689481543,0.646198862748867,0.109056467604272,,1.19600952159828,0.363648447599866,19478
sharp_moyFE,shk_usd_unh,5,-0.278472059859563,0.95487337778199,0.773727829757364,,1.32441513663172,0.833464438582386,19478
sharp_moyFE,shk_usd,6,1.43133025325313,0.694682626643272,0.0533212332931871,,1.41907616952146,0.313149593294332,19190
sharp_moyFE,shk_usd_unh,6,-0.972205247403777,1.16656224759973,0.414977303074043,,1.53528879345134,0.526577365519254,19190
sharp_moyFE,shk_usd,7,1.44529849929969,0.664398951648493,0.042434441105189,,1.6084884519641,0.368895316403177,18924
sharp_moyFE,shk_usd_unh,7,-0.44460631883801,1.24728508346211,0.725424476871549,,1.25096856585148,0.722282709325136,18924
sharp_moyFE,shk_usd,8,1.85960928801744,0.772298555600025,0.026368576752064,,1.75195873272502,0.28848733932126,18652
sharp_moyFE,shk_usd_unh,8,-0.600919741032,1.33002192062851,0.656519788069259,,0.914872864338045,0.511287562676584,18652
sharp_moyFE,shk_usd,9,2.35713855832181,1.0175994935014,0.0325308618222795,,2.10445943111478,0.262684605128039,18372
sharp_moyFE,shk_usd_unh,9,-1.32464001759559,1.4609197087835,0.376535360232039,,1.22652021832897,0.280142840303387,18372
sharp_moyFE,shk_usd,10,2.66350913426895,1.35108043166965,0.0642508289199135,,2.32607554696353,0.252181976534323,18116
sharp_moyFE,shk_usd_unh,10,-1.32525794859107,1.75282783467118,0.459389408574305,,1.61676632053002,0.412389056068856,18116
sharp_moyFE,shk_usd,11,2.60992193195873,1.28892801760589,0.0579738756716022,,2.5463251125198,0.305374548521976,17866
sharp_moyFE,shk_usd_unh,11,-1.43361051202236,1.81034131731689,0.438730726779183,,1.96182703067535,0.464930184513509,17866
sharp_moyFE,shk_usd,12,2.478430733097,1.29521340208679,0.0726723479959658,,3.0144571308385,0.410973634941623,17616
