draw,beta12_perm,beta12_obs,p_perm
248,0.598721992963108,1.3473959804755,0.182
249,-1.92144400623826,1.3473959804755,0.182
250,-1.96361793482978,1.3473959804755,0.182
251,-0.0178122673605229,1.3473959804755,0.182
252,-1.75582447313856,1.3473959804755,0.182
253,1.67283369397098,1.3473959804755,0.182
254,-2.08079206050069,1.3473959804755,0.182
255,0.148171440571993,1.3473959804755,0.182
256,2.2828338679642,1.3473959804755,0.182
257,1.59929510614806,1.3473959804755,0.182
258,-2.55893587704868,1.3473959804755,0.182
259,-0.811317707530118,1.3473959804755,0.182
260,1.00039049171054,1.3473959804755,0.182
261,-0.820993803777279,1.3473959804755,0.182
262,-0.27198959535698,1.3473959804755,0.182
263,0.25311780363644,1.3473959804755,0.182
264,-0.631372066132967,1.3473959804755,0.182
265,-0.728337043766219,1.3473959804755,0.182
266,0.00310171042741675,1.3473959804755,0.182
267,0.127577365814643,1.3473959804755,0.182
268,-0.74330213886921,1.3473959804755,0.182
269,-0.395122732109451,1.3473959804755,0.182
270,-1.36208319234521,1.3473959804755,0.182
271,-1.1662193718806,1.3473959804755,0.182
272,1.04884135529078,1.3473959804755,0.182
273,-0.611212475298105,1.3473959804755,0.182
274,0.5926058121074,1.3473959804755,0.182
275,0.706390582605642,1.3473959804755,0.182
276,-0.0224353215671259,1.3473959804755,0.182
277,0.584637027413767,1.3473959804755,0.182
278,0.396441269467372,1.3473959804755,0.182
279,0.473665661412429,1.3473959804755,0.182
280,-1.10061973538946,1.3473959804755,0.182
281,-1.28303535586831,1.3473959804755,0.182
282,2.43069979345032,1.3473959804755,0.182
283,-1.86724867704355,1.3473959804755,0.182
284,1.45282659628412,1.3473959804755,0.182
285,-0.44294096913298,1.3473959804755,0.182
286,-1.4497981834822,1.3473959804755,0.182
287,0.0267236491845221,1.3473959804755,0.182
288,-0.658905633999,1.3473959804755,0.182
289,-0.966046656564255,1.3473959804755,0.182
290,0.406860393541482,1.3473959804755,0.182
291,0.592581751392604,1.3473959804755,0.182
292,-0.320145411453623,1.3473959804755,0.182
293,0.25653866436167,1.3473959804755,0.182
294,0.0777233110382794,1.3473959804755,0.182
295,-0.95782529955034,1.3473959804755,0.182
296,0.560651443540567,1.3473959804755,0.182
297,-0.481566787344259,1.3473959804755,0.182
298,0.0618781014632041,1.3473959804755,0.182
299,-0.197447791627155,1.3473959804755,0.182
300,0.800423193347902,1.3473959804755,0.182
301,0.278440705350338,1.3473959804755,0.182
302,0.0771248398953922,1.3473959804755,0.182
303,1.05426549089183,1.3473959804755,0.182
304,-1.41837358896709,1.3473959804755,0.182
305,-1.43601894208597,1.3473959804755,0.182
306,2.08297568719562,1.3473959804755,0.182
307,-0.0936981741010781,1.3473959804755,0.182
308,-0.228441928507688,1.3473959804755,0.182
309,-1.34769334285688,1.3473959804755,0.182
310,0.834030480061989,1.3473959804755,0.182
311,1.03313402701232,1.3473959804755,0.182
312,0.604003949895413,1.3473959804755,0.182
313,0.724307826770325,1.3473959804755,0.182
314,-0.568574508158206,1.3473959804755,0.182
315,1.33263331952131,1.3473959804755,0.182
316,0.221886798758032,1.3473959804755,0.182
317,2.03995213575789,1.3473959804755,0.182
318,0.656683440934175,1.3473959804755,0.182
319,1.54033125321197,1.3473959804755,0.182
320,-1.37024628543357,1.3473959804755,0.182
321,0.669822925869752,1.3473959804755,0.182
322,-0.524585125341671,1.3473959804755,0.182
323,0.370158643427143,1.3473959804755,0.182
324,-0.534467522554365,1.3473959804755,0.182
325,0.26540836436948,1.3473959804755,0.182
326,-0.337601707437548,1.3473959804755,0.182
327,0.238658793624764,1.3473959804755,0.182
328,-0.560688506252865,1.3473959804755,0.182
329,0.0723971042401478,1.3473959804755,0.182
330,1.84926198518535,1.3473959804755,0.182
331,0.631746279721709,1.3473959804755,0.182
332,0.213625611705724,1.3473959804755,0.182
333,0.512119419331504,1.3473959804755,0.182
334,-0.451708996571998,1.3473959804755,0.182
335,0.446895676183887,1.3473959804755,0.182
336,1.35678160550396,1.3473959804755,0.182
337,-1.13496786285688,1.3473959804755,0.182
338,1.0897234081108,1.3473959804755,0.182
339,1.60528379726767,1.3473959804755,0.182
340,-0.267398429321865,1.3473959804755,0.182
341,-0.382665891571889,1.3473959804755,0.182
342,-1.73408253049866,1.3473959804755,0.182
343,-2.34244435127508,1.3473959804755,0.182
344,1.54554802111249,1.3473959804755,0.182
345,1.24410718830571,1.3473959804755,0.182
346,-1.27466835099596,1.3473959804755,0.182
347,0.703629955520968,1.3473959804755,0.182
348,2.11489592068641,1.3473959804755,0.182
349,0.0481496994841484,1.3473959804755,0.182
350,1.73343107032375,1.3473959804755,0.182
351,-0.77451325457597,1.3473959804755,0.182
352,0.605096719932071,1.3473959804755,0.182
353,-1.14967581745565,1.3473959804755,0.182
354,-0.460924630775768,1.3473959804755,0.182
355,-0.307145863838562,1.3473959804755,0.182
356,0.0310132765690891,1.3473959804755,0.182
357,-0.422739084959741,1.3473959804755,0.182
358,-0.00744608098214634,1.3473959804755,0.182
359,0.106142119805478,1.3473959804755,0.182
360,-0.152423592814393,1.3473959804755,0.182
361,-1.7361877415459,1.3473959804755,0.182
362,-0.913575794765821,1.3473959804755,0.182
363,-0.881720902243078,1.3473959804755,0.182
364,0.731237164352262,1.3473959804755,0.182
365,-0.0595016770121688,1.3473959804755,0.182
366,-1.14893405116381,1.3473959804755,0.182
367,1.03901247910915,1.3473959804755,0.182
368,0.5860087207774,1.3473959804755,0.182
369,-1.1762422744759,1.3473959804755,0.182
370,-0.0112229107385,1.3473959804755,0.182
371,1.62817891223028,1.3473959804755,0.182
372,0.982748719748995,1.3473959804755,0.182
373,0.0365727812304546,1.3473959804755,0.182
374,-0.0427298600463838,1.3473959804755,0.182
375,0.213194389921922,1.3473959804755,0.182
376,1.36242428835907,1.3473959804755,0.182
377,-0.116851175820284,1.3473959804755,0.182
378,-1.81592924694104,1.3473959804755,0.182
379,0.0707480878529375,1.3473959804755,0.182
380,0.422482497243824,1.3473959804755,0.182
381,0.134354878893009,1.3473959804755,0.182
382,-0.86586785124877,1.3473959804755,0.182
383,-0.370529956570441,1.3473959804755,0.182
384,-0.488893744246581,1.3473959804755,0.182
385,0.532858002828465,1.3473959804755,0.182
386,-0.336986801769679,1.3473959804755,0.182
387,1.07445162890683,1.3473959804755,0.182
388,0.30676886443164,1.3473959804755,0.182
389,-1.26658295163249,1.3473959804755,0.182
390,0.462798840333908,1.3473959804755,0.182
391,-0.945322302208723,1.3473959804755,0.182
392,1.34201329099953,1.3473959804755,0.182
393,-0.50793721667808,1.3473959804755,0.182
394,-0.430410400736516,1.3473959804755,0.182
395,-0.564134373636191,1.3473959804755,0.182
396,0.493007075171023,1.3473959804755,0.182
397,0.961476784199091,1.3473959804755,0.182
398,-0.0342727316104381,1.3473959804755,0.182
399,-0.573792948777316,1.3473959804755,0.182
400,-0.356731656046741,1.3473959804755,0.182
401,-0.0830952700892905,1.3473959804755,0.182
402,-0.0985400644577459,1.3473959804755,0.182
403,-0.252804537315089,1.3473959804755,0.182
404,0.456518229813606,1.3473959804755,0.182
405,2.24268666489447,1.3473959804755,0.182
406,0.0604754417311634,1.3473959804755,0.182
407,-0.41603225004997,1.3473959804755,0.182
408,0.559327568521906,1.3473959804755,0.182
409,-0.0748541626132999,1.3473959804755,0.182
410,-0.105460083466229,1.3473959804755,0.182
411,-1.95473598677825,1.3473959804755,0.182
412,0.431283846317179,1.3473959804755,0.182
413,-2.03577695579435,1.3473959804755,0.182
414,-0.780308914276231,1.3473959804755,0.182
415,-0.37050066864072,1.3473959804755,0.182
416,-0.274572809544309,1.3473959804755,0.182
417,-1.02739456720347,1.3473959804755,0.182
418,-0.243200221252659,1.3473959804755,0.182
419,0.449696476415924,1.3473959804755,0.182
420,0.389891199198123,1.3473959804755,0.182
421,0.690942044491882,1.3473959804755,0.182
422,0.38468713754005,1.3473959804755,0.182
423,-2.13687661791587,1.3473959804755,0.182
424,1.05302013656867,1.3473959804755,0.182
425,1.34890993179743,1.3473959804755,0.182
426,-0.44122704793403,1.3473959804755,0.182
427,2.09159654414023,1.3473959804755,0.182
428,0.145776193723749,1.3473959804755,0.182
429,-1.37101435733501,1.3473959804755,0.182
430,1.12582090620875,1.3473959804755,0.182
431,-0.10066340519424,1.3473959804755,0.182
432,1.04609875429726,1.3473959804755,0.182
433,2.31589307866038,1.3473959804755,0.182
434,-0.366881048885206,1.3473959804755,0.182
435,1.6520609151287,1.3473959804755,0.182
436,-1.17062155821326,1.3473959804755,0.182
437,-0.467297927170496,1.3473959804755,0.182
438,0.209962842588406,1.3473959804755,0.182
439,1.2072148479359,1.3473959804755,0.182
440,0.246577312371923,1.3473959804755,0.182
441,-1.71060570369344,1.3473959804755,0.182
442,-0.691725299058706,1.3473959804755,0.182
443,0.458361857051531,1.3473959804755,0.182
444,-0.600802304992776,1.3473959804755,0.182
445,-0.150862531707232,1.3473959804755,0.182
446,0.316614497127014,1.3473959804755,0.182
447,0.77887655521655,1.3473959804755,0.182
448,0.271192455590115,1.3473959804755,0.182
449,0.309143024827622,1.3473959804755,0.182
450,-0.921691063843459,1.3473959804755,0.182
451,2.14350832366988,1.3473959804755,0.182
452,-0.558565040126284,1.3473959804755,0.182
453,0.823238694196554,1.3473959804755,0.182
454,-0.561563380324883,1.3473959804755,0.182
455,2.03495259409965,1.3473959804755,0.182
456,1.12655581538334,1.3473959804755,0.182
457,-0.281784883996057,1.3473959804755,0.182
458,1.25911855602496,1.3473959804755,0.182
459,-0.240030049988847,1.3473959804755,0.182
460,-0.896597843327156,1.3473959804755,0.182
461,0.914954354212269,1.3473959804755,0.182
462,0.399397605739533,1.3473959804755,0.182
463,1.06685456699701,1.3473959804755,0.182
464,0.177181513803062,1.3473959804755,0.182
465,0.259020597000779,1.3473959804755,0.182
466,-0.807575886015096,1.3473959804755,0.182
467,0.606904384976286,1.3473959804755,0.182
468,-0.379021084262257,1.3473959804755,0.182
469,-1.53569513778669,1.3473959804755,0.182
470,-0.670039002604821,1.3473959804755,0.182
471,1.77940252534293,1.3473959804755,0.182
472,-0.792366869942484,1.3473959804755,0.182
473,-1.11324672528875,1.3473959804755,0.182
474,-0.951247594914858,1.3473959804755,0.182
475,0.361594453490687,1.3473959804755,0.182
476,0.326673754671382,1.3473959804755,0.182
477,1.59240495757727,1.3473959804755,0.182
478,-0.411495482018677,1.3473959804755,0.182
479,0.794324076275234,1.3473959804755,0.182
480,-0.831367000298019,1.3473959804755,0.182
481,-1.22495720426644,1.3473959804755,0.182
482,0.928509527000113,1.3473959804755,0.182
483,-0.0624883766965781,1.3473959804755,0.182
484,-0.323428145168307,1.3473959804755,0.182
485,1.7213495720896,1.3473959804755,0.182
486,-0.112084688685521,1.3473959804755,0.182
487,-0.337725042623657,1.3473959804755,0.182
488,-0.469155416194803,1.3473959804755,0.182
489,0.646454192804649,1.3473959804755,0.182
490,1.11631155149353,1.3473959804755,0.182
491,0.295293573427578,1.3473959804755,0.182
492,-0.794763222315601,1.3473959804755,0.182
493,0.419247805245718,1.3473959804755,0.182
494,-0.393587661534548,1.3473959804755,0.182
495,-0.24919266400868,1.3473959804755,0.182
496,-0.943788797689587,1.3473959804755,0.182
497,-0.720405324514132,1.3473959804755,0.182
498,-0.973746261106902,1.3473959804755,0.182
499,-0.122156656416864,1.3473959804755,0.182
500,-0.0613057204346838,1.3473959804755,0.182
