fecha,Cred_Total,Cred_Total_FXadj,gap,tcn_yoy,fx_share
2000-10-01,-7.25738383051353,-6.34999696465713,-0.907386865856397,5.74668570755728,0.44280936242317
2000-11-01,-5.73819022094057,-5.43346970594429,-0.304720514996271,6.85763391578345,0.443345533743654
2000-12-01,-3.14016549644468,-4.22693651325611,1.08677101681143,5.94918380466587,0.441045924888083
2001-01-01,-3.14357184745422,-4.04526675512387,0.901694907669648,6.79526536483022,0.442310203864601
2001-02-01,-1.72255338406464,-2.59939998830087,0.876846604236226,7.2562618215166,0.450308155101499
2001-03-01,-0.131012436574218,-1.98495283892989,1.85394040235567,8.25966297599634,0.455587220533506
2001-04-01,0.816084370879211,-1.2568190877211,2.07290345860031,8.4924838940587,0.458426982432811
2001-05-01,1.74956525329839,-1.17108773969701,2.9206529929954,10.2558970693352,0.465771769814652
2001-06-01,2.91521221584323,-1.8309292110633,4.74614142690654,14.419202743249,0.470407191613556
2001-07-01,3.27536413044796,-4.82662804357115,8.1019921740191,21.956652103144,0.482053626329311
2001-08-01,3.78590061583677,-5.65811043419157,9.44401105002833,23.9154075091575,0.486112045751623
2001-09-01,7.4794566549788,-4.93920750982374,12.4186641648025,27.8535534816942,0.488984317176502
2001-10-01,10.6774586868542,-4.06652649583591,14.7439851826901,30.6948445543339,0.489191199457629
2001-11-01,10.3210335633025,-5.24429638332078,15.5653299466233,32.7415149497161,0.491856633777761
2001-12-01,3.8221724646579,-6.76378997896497,10.5859624436229,32.7511412288412,0.491897897197373
2002-01-01,5.47812386417219,-7.26567526736899,12.7437991315412,34.2701709960625,0.49388938117054
2002-02-01,4.82300519231236,-7.28701139055924,12.1100165828716,30.8715865975525,0.493560228282621
2002-03-01,4.08433744343661,-6.91581583011324,11.0001532735499,27.6770613107822,0.493036342569851
2002-04-01,3.21730484396952,-7.63271800562245,10.850022849592,27.1779578263968,0.498437217547309
2002-05-01,4.02586365070972,-9.30751875609566,13.3333824068054,36.1392043981121,0.51687582452555
2002-06-01,-0.829518276107366,-16.9530082000995,16.1234899239922,48.8649134636997,0.52349837368293
2002-07-01,-2.81329317570408,-17.2306324340749,14.4173392583708,40.1189472698323,0.527353974520963
2002-08-01,-5.41090602929798,-20.6621325781151,15.2512265488171,41.7357566799843,0.53803560494788
2002-09-01,-10.574596556824,-23.6702471160436,13.0956505592196,35.0881527231892,0.524774795742246
2002-10-01,-9.56845613245323,-24.8648127090134,15.2963565765601,41.6572002796225,0.542098268503796
2002-11-01,-10.0957240464404,-26.6613544715187,16.5656304250783,48.2388078738149,0.544628820350466
2002-12-01,-10.6005900407879,-29.4502469634402,18.8496569226524,51.7212729602734,0.544345098977896
2003-01-01,-15.9776982496906,-31.6336506962468,15.6559524465561,46.9110088700987,0.541089322022065
2003-02-01,-18.2063081610827,-33.601739653336,15.3954314922533,41.7470396080033,0.54425647928976
2003-03-01,-18.0710516962418,-34.1350291944186,16.0639774981768,41.8053111998841,0.544297321065065
2003-04-01,-18.9058143965424,-35.0504767441325,16.1446623475901,42.2532113137853,0.551234437737008
2003-05-01,-28.2946562496365,-37.5244634554356,9.2298072057991,23.0945940797745,0.520310142771091
2003-06-01,-26.7753902717602,-32.3276072488473,5.5522169770871,4.43689499555422,0.515940794383837
2003-07-01,-26.0309688016589,-31.379815889321,5.34884708766209,0.441663046021201,0.494946371367747
2003-08-01,-24.1886378118223,-28.8725008224502,4.68386301062799,1.47133104133741,0.497278053721035
2003-09-01,-22.3836279180555,-26.999857887646,4.61622996959047,3.37949724014097,0.494388832155493
2003-10-01,-25.5081863138336,-25.993287103808,0.485100789974421,-4.28776312745779,0.492796601090833
2003-11-01,-27.0027925246833,-24.8593325344627,-2.14345999022057,-11.7273372577419,0.487343255222689
2003-12-01,-23.4803093964756,-20.6238520202566,-2.856457376219,-15.7797676949261,0.493247243202563
2004-01-01,-19.3468799245046,-17.2307204667187,-2.11615945778596,-12.6718223879218,0.499857730877839
2004-02-01,-17.4182975364625,-12.972722001571,-4.4455755348915,-13.0267890193683,0.495073655141595
2004-03-01,-18.1581782289917,-11.9747767336363,-6.18340149535536,-12.7922714852582,0.494396590413033
2004-04-01,-17.0181922647543,-9.59004349639941,-7.42814876835486,-16.4045724022033,0.485561552408656
2004-05-01,-6.4689595811118,-4.43723256685593,-2.03172701425587,-10.9144417567839,0.503160916862966
2004-06-01,-5.22573585615538,-2.66782035804907,-2.55791549810631,-4.86568676401243,0.499226303476319
2004-07-01,-4.80153085003586,-0.541574391706878,-4.25995645832898,-1.78385475550664,0.500675873805625
2004-08-01,-5.75827586388777,-0.569399353924016,-5.18887650996376,-5.11885506747091,0.492447355105721
2004-09-01,-2.47605938659445,2.57752496769679,-5.05358435429124,-4.8043310330483,0.49420597772007
2004-10-01,3.46127664907165,6.72021267550174,-3.25893602643008,-3.40709518791711,0.485431432342218
2004-11-01,8.19590652543549,11.2904509172644,-3.09454439182886,-0.904047501076244,0.472254648520188
2004-12-01,7.62651872831186,8.83910264348478,-1.21258391517292,3.38590648185377,0.466121277121167
2005-01-01,8.82862527679889,9.71380766771506,-0.885182390916173,1.39230769230769,0.465615687321998
2005-02-01,7.2231005102368,7.39777917984017,-0.174678669603368,4.51530633368387,0.45312754004491
2005-03-01,7.70782268907286,6.65617452988778,1.05164815918508,4.81391031785883,0.450343636894809
2005-04-01,5.04117491585991,3.47427536687377,1.56689954898614,9.37527266381641,0.441596267414964
2005-05-01,0.377745567678311,0.856195814918936,-0.478450247240625,8.4389534118638,0.437469573261755
2005-06-01,-2.10365953873463,-1.05991832193416,-1.04374121680046,3.49604727914652,0.421382688077107
2005-07-01,-3.78060556872206,-2.43157246335621,-1.34903310536585,1.98304230258033,0.413905818876099
2005-08-01,0.359363364961895,1.39321487946296,-1.03385151450106,1.48929950613106,0.414819669015172
2005-09-01,0.361722372930462,1.67034382869622,-1.30862145576576,3.22510578733126,0.418533913925877
2005-10-01,-0.298526866454485,0.501480342425831,-0.800007208880316,2.06521307438738,0.420103028687691
2005-11-01,-0.516904626046533,0.213063783239797,-0.72996840928633,0.450819672131142,0.418915093427821
2005-12-01,1.84027385662298,5.45260255241495,-3.61232869579198,-1.22393987909329,0.419504785347563
2006-01-01,-1.70329486536099,2.71735480540385,-4.42064967076484,-2.40187321971709,0.416993398173259
2006-02-01,-2.45509514849535,2.31061243050539,-4.76570757900073,-3.99302804626842,0.410832023980235
