outcome,param,h,b,se_bank,p_bank,p_wcb,se_dk,p_dk,n
deposits,shk_usd,18,-1.41808314857376,1.09213788471713,0.211472660871813,,1.33261651988475,0.287267796218105,3264
npl_pp,shk_usd,1,0.0080606081191084,0.0151492418270112,0.600837780450786,,0.018957157702915,0.670689935840883,36630
npl_pp_triple,shk_usd,1,0.0497266403263538,0.0245825750452091,0.0573923858068474,,,,23744
npl_pp_triple,shk_usd_unh,1,-0.0309852985736219,0.0328365746528273,0.357208508708117,,,,23744
npl_pp,shk_usd,2,0.0335391820226129,0.0201414324036431,0.112279655480821,,0.0272197388716841,0.217887832283075,36046
npl_pp_triple,shk_usd,2,0.111633815671646,0.0383508811276319,0.00896227568052767,,,,23386
npl_pp_triple,shk_usd_unh,2,-0.0811257930449985,0.0518565078558728,0.134220221772718,,,,23386
npl_pp,shk_usd,3,0.02612559346487,0.0268622559601129,0.342983990421155,0.338833883388339,0.0321409409906725,0.416307104827078,35468
npl_pp_triple,shk_usd,3,0.0542504830639623,0.0442339035192596,0.235013772391338,,,,23028
npl_pp_triple,shk_usd_unh,3,0.0068041936927682,0.0602304906362105,0.911240007600879,,,,23028
npl_pp,shk_usd,4,0.036876550799787,0.031255575692981,0.25262624494626,,0.0398319720541834,0.354548477773116,34914
npl_pp_triple,shk_usd,4,0.0380499282650458,0.0540263937581954,0.489798932916945,,,,22680
npl_pp_triple,shk_usd_unh,4,0.0295639578579819,0.0760603734488302,0.701826359544632,,,,22680
npl_pp,shk_usd,5,0.0538478347939731,0.034338579979067,0.133351557373847,,0.0506969036450727,0.288166532639175,34386
npl_pp_triple,shk_usd,5,0.0737682735077043,0.0554460732168285,0.199118705329194,,,,22344
npl_pp_triple,shk_usd_unh,5,0.0153586827465827,0.0869715019199467,0.861695741451986,,,,22344
npl_pp,shk_usd,6,0.0620806491168548,0.0307064077688878,0.0575147920744721,0.0551055105510551,0.0558051319026642,0.265942944598829,33866
npl_pp_triple,shk_usd,6,0.0579877606438875,0.0503225852765601,0.263482249396581,,,,22008
npl_pp_triple,shk_usd_unh,6,0.0309425107856064,0.0770835256364732,0.692593308888629,,,,22008
npl_pp,shk_usd,7,0.0262341468947629,0.033679643679674,0.445613597335216,,0.060578673828063,0.664971823919331,33362
npl_pp_triple,shk_usd,7,-0.0112704530526409,0.0440939810830114,0.801005795537383,,,,21692
npl_pp_triple,shk_usd_unh,7,0.0909577568034509,0.0672997134485467,0.192398093083952,,,,21692
npl_pp,shk_usd,8,0.0175464530126952,0.04072599334423,0.671431696957744,,0.0688800261084285,0.798924422428817,32906
npl_pp_triple,shk_usd,8,-0.0101949893470642,0.059892411217343,0.866635248548341,,,,21402
npl_pp_triple,shk_usd_unh,8,0.0747371537630402,0.0802083363685243,0.363136053700641,,,,21402
npl_pp,shk_usd,9,0.0291976469962981,0.0513669821848947,0.576778075427817,,0.0794090285180009,0.713106827309006,32426
npl_pp_triple,shk_usd,9,0.0152149164874518,0.0937092877139038,0.872828819876045,,,,21098
npl_pp_triple,shk_usd_unh,9,0.0800784975046615,0.103339213800299,0.448454081164615,,,,21098
npl_pp,shk_usd,10,0.0332949917139944,0.0633992524405476,0.605878394191948,,0.106393902391652,0.754325647996875,31988
npl_pp_triple,shk_usd,10,0.000637927334829085,0.110619283943331,0.995462160688447,,,,20830
npl_pp_triple,shk_usd_unh,10,0.125850363132569,0.105136782985774,0.246828224736574,,,,20830
npl_pp,shk_usd,11,0.0187850526169982,0.0593376228854432,0.755205008519292,,0.0981632122419879,0.848239244160089,31564
npl_pp_triple,shk_usd,11,-0.0357987762201169,0.109908821126552,0.748397126056174,,,,20564
npl_pp_triple,shk_usd_unh,11,0.177068412522441,0.11231209228322,0.132305668736826,,,,20564
npl_pp,shk_usd,12,-0.00340727139251753,0.0492991759117858,0.945705207829413,0.944894489448945,0.0961551387260334,0.971732759736511,31126
npl_pp_triple,shk_usd,12,-0.0612417990571975,0.104624166712326,0.566001970195614,,,,20288
npl_pp_triple,shk_usd_unh,12,0.186401687361818,0.120287378664543,0.139644008791288,,,,20288
npl_pp,shk_usd,13,-0.0449328759109102,0.0546632279640321,0.422459628313764,,0.118963727951608,0.705651744972896,30746
npl_pp_triple,shk_usd,13,-0.110983521963258,0.113130482875165,0.34033796385491,,,,20040
npl_pp_triple,shk_usd_unh,13,0.175095086820731,0.129587861592189,0.194350734091193,,,,20040
npl_pp,shk_usd,14,-0.053182384720164,0.0578236673347654,0.370578969782927,,0.13477246635635,0.693131708443725,30370
npl_pp_triple,shk_usd,14,-0.12763998010961,0.108777361385097,0.256811916509514,,,,19794
