horizon,fci_type,credit_measure,coef_pub,n_pub,coef_rep,n_rep,dcoef,dn
9,FCI_COMP,USD,-2.61436147701684,337,-2.61436147701677,337,6.92779167366098e-14,0
9,FCI_ENDO,Real_MN,-8.28947429892355,337,-8.28947429892355,337,3.5527136788005e-15,0
9,FCI_ENDO,Total,-6.15751714886956,337,-6.15751714886955,337,8.88178419700125e-15,0
9,FCI_ENDO,USD,-2.87280094097962,337,-2.87280094097958,337,4.2632564145606e-14,0
9,FCI_EXO,Real_MN,-1.60208108549465,337,-1.60208108549465,337,3.10862446895044e-15,0
9,FCI_EXO,Total,-2.02003033877922,337,-2.02003033877922,337,3.10862446895044e-15,0
9,FCI_EXO,USD,-1.75825196087494,337,-1.75825196087494,337,1.11022302462516e-15,0
10,FCI_COMP,Real_MN,-7.44786881506594,336,-7.44786881506593,336,5.32907051820075e-15,0
10,FCI_COMP,Total,-6.25038292010198,336,-6.25038292010198,336,3.5527136788005e-15,0
10,FCI_COMP,USD,-4.07481079728464,336,-4.07481079728468,336,3.90798504668055e-14,0
10,FCI_ENDO,Real_MN,-9.23826950132359,336,-9.23826950132358,336,8.88178419700125e-15,0
10,FCI_ENDO,Total,-7.4925833724874,336,-7.4925833724874,336,2.66453525910038e-15,0
10,FCI_ENDO,USD,-5.51860601846522,336,-5.51860601846528,336,5.95079541199084e-14,0
10,FCI_EXO,Real_MN,-1.35020870541624,336,-1.35020870541624,336,2.44249065417534e-15,0
10,FCI_EXO,Total,-1.49443033670664,336,-1.49443033670664,336,5.10702591327572e-15,0
10,FCI_EXO,USD,-1.37892218321349,336,-1.37892218321351,336,1.79856129989275e-14,0
11,FCI_COMP,Real_MN,-8.84868883832223,335,-8.84868883832223,335,0,0
11,FCI_COMP,Total,-7.40519796608836,335,-7.40519796608835,335,1.4210854715202e-14,0
11,FCI_COMP,USD,-5.65284829142357,335,-5.65284829142354,335,2.75335310107039e-14,0
11,FCI_ENDO,Real_MN,-10.0817763580949,335,-10.0817763580949,335,1.24344978758018e-14,0
11,FCI_ENDO,Total,-8.34936088187737,335,-8.34936088187737,335,1.77635683940025e-15,0
11,FCI_ENDO,USD,-6.84082824029065,335,-6.84082824029071,335,5.77315972805081e-14,0
11,FCI_EXO,Real_MN,-1.97322550655201,335,-1.97322550655201,335,3.33066907387547e-15,0
11,FCI_EXO,Total,-1.87029350886833,335,-1.87029350886833,335,4.2188474935756e-15,0
11,FCI_EXO,USD,-2.10074326601825,335,-2.10074326601825,335,2.22044604925031e-15,0
12,FCI_COMP,Real_MN,-9.0641538250687,334,-9.06415382506872,334,1.77635683940025e-14,0
12,FCI_COMP,Total,-7.65628048038672,334,-7.65628048038673,334,7.99360577730113e-15,0
12,FCI_COMP,USD,-7.33488422012626,334,-7.33488422012626,334,5.32907051820075e-15,0
12,FCI_ENDO,Real_MN,-10.3192362765822,334,-10.3192362765822,334,1.95399252334028e-14,0
12,FCI_ENDO,Total,-7.94846064735573,334,-7.94846064735573,334,3.5527136788005e-15,0
12,FCI_ENDO,USD,-6.79588735224136,334,-6.79588735224134,334,1.59872115546023e-14,0
