level,spec,exposure,h,b,se_bank,p_bank,p_wcb,se_twoway,p_twoway,se_dk,p_dk,n
bank_sector,single,size,14,-0.274024106878579,0.567220658318657,0.635187904841707,,0.603423421142089,0.649745485051455,0.602681262921269,0.649343064675708,16765
bank_sector,single,liquidity,14,-0.229463933839769,0.364988704517144,0.537909824194322,,0.266537458005079,0.389289327016776,0.467531232701584,0.623568507912696,16765
bank_sector,single,fc_dep_share,15,0.089769209061679,0.553580865326531,0.873090919605639,,0.949759730551009,0.924697836026071,1.03006078739414,0.930552736456051,16552
bank_sector,single,ext_fund_share,15,0.139118025740462,0.508743364716937,0.787798543568194,,0.741153954124915,0.851108203736234,0.647630289816409,0.829914777998986,16552
bank_sector,single,tier1,15,-0.122254553093021,0.383599935126312,0.75383384927893,,0.328401160404729,0.709690352006902,0.606502547748144,0.84025053542459,16552
bank_sector,single,size,15,-0.00527328359060788,0.566519600894781,0.992681592416029,,0.627314898817182,0.993292966549715,0.626843214824143,0.993287919792177,16552
bank_sector,single,liquidity,15,-0.490070672581248,0.440570529685038,0.281468938451509,,0.352859632073937,0.164877011898424,0.505084636930778,0.331909754386178,16552
bank_sector,single,fc_dep_share,16,0.0538518728917188,0.519473656993095,0.918647391782685,,0.948359594352977,0.954717073310878,1.04566058365467,0.958926832982481,16339
bank_sector,single,ext_fund_share,16,0.303785453795962,0.557739236924008,0.593052320212256,,0.76653008432261,0.691874507169425,0.682345549616056,0.656169703944726,16339
bank_sector,single,tier1,16,-0.104144587970626,0.41734767159584,0.805933983959375,,0.418331947653232,0.803397887113115,0.637652974983669,0.870262654950557,16339
bank_sector,single,size,16,0.255426393926551,0.608663170990244,0.67999559986229,,0.70622227644316,0.717591257982308,0.689126963411146,0.710896630696597,16339
bank_sector,single,liquidity,16,-0.540668972751861,0.498032840915226,0.292807143976127,,0.482294345116198,0.26227284844611,0.667407617837526,0.417880929141783,16339
bank_sector,single,fc_dep_share,17,-0.11811699935494,0.540562281592276,0.829635209842013,,1.00612678153148,0.906544883532457,1.08228258513028,0.913093883459798,16127
bank_sector,single,ext_fund_share,17,0.266760757456261,0.493132859192157,0.59555928293788,,0.686963006114107,0.697780010799906,0.604676090566457,0.659094950190127,16127
bank_sector,single,tier1,17,-0.129236332532205,0.379780423906177,0.737805141932833,,0.331860663592548,0.696958452592791,0.592725378098377,0.827399929085027,16127
bank_sector,single,size,17,0.183331779808018,0.607555083684007,0.766500283100252,,0.671534716979127,0.784850008071607,0.721892103299705,0.799526394986878,16127
bank_sector,single,liquidity,17,-0.373389590200814,0.571188660941448,0.522045978903964,,0.537980568707547,0.487645984853197,0.683757878914911,0.585007843025919,16127
bank_sector,single,fc_dep_share,18,-0.0349041833595925,0.509802849885993,0.946213515633152,,0.968020233243966,0.971236680209377,1.06582156736633,0.973875053110548,15915
bank_sector,single,ext_fund_share,18,0.585679879473252,0.472834312457491,0.232303726526588,,0.697129910291448,0.400835398221489,0.554112380671215,0.290525512764893,15915
bank_sector,single,tier1,18,-0.0142867721465884,0.345075120195896,0.967457855743693,,0.326198668493838,0.965065609819634,0.520578487329685,0.978105579797482,15915
bank_sector,single,size,18,-0.037644950031167,0.615492173682641,0.951943223937264,,0.670322456059333,0.955214772985478,0.63595400628499,0.952797227140688,15915
bank_sector,single,liquidity,18,-0.335196451854121,0.518898441181179,0.526918862339059,,0.486174563948341,0.490535729888778,0.713480319594787,0.638494511764974,15915
bank_sector,joint,fc_dep_share,1,0.0560627071305247,0.0880509542140774,0.531912255213958,,0.0926253878605757,0.545004354941773,0.102719506094724,0.585214126887157,19712
bank_sector,joint,ext_fund_share,1,0.180409017039547,0.0671699786813595,0.0146285111104928,,0.0873892021792641,0.0389768275031208,0.109026955294381,0.0979814318390659,19712
bank_sector,joint,tier1,1,0.151146633800427,0.0729716623466141,0.0521900575286631,,0.0757171993960884,0.0459122144192338,0.111032169925664,0.173423054286289,19712
bank_sector,joint,size,1,0.14344394441079,0.0966015196882993,0.153972017504684,,0.0823109566281955,0.0813846721558675,0.0940779345066266,0.127325142036717,19712
bank_sector,joint,liquidity,1,-0.0594236890990188,0.133178947274838,0.660500301247998,,0.149038927382183,0.690105027850949,0.155566268568112,0.702473883070114,19712
bank_sector,joint,fc_dep_share,2,0.134341555876646,0.179865868479481,0.464267946581808,,0.220492120103286,0.542338509937661,0.266483906098625,0.614172599380908,19510
bank_sector,joint,ext_fund_share,2,0.164668253599757,0.140589084797484,0.255968777611921,,0.145213383660406,0.256805303887055,0.167708130258728,0.326161923460922,19510
bank_sector,joint,tier1,2,0.183640751693262,0.102621118219493,0.0894869517806496,,0.122764097479026,0.134684093469706,0.201184876181764,0.361349838662609,19510
bank_sector,joint,size,2,0.241536782615785,0.146257518490495,0.115078638395118,,0.123299952292516,0.0501202184646651,0.145599702296209,0.0971339562937829,19510
bank_sector,joint,liquidity,2,0.0056080592056638,0.27044352964377,0.983672055224456,,0.278658613559113,0.98394350073904,0.278194262617296,0.983916703488015,19510
bank_sector,joint,fc_dep_share,3,-0.0827294378555712,0.271970722465431,0.764293265073926,,0.286126423212995,0.772477336660914,0.325489771062578,0.799364931739831,19309
bank_sector,joint,ext_fund_share,3,0.340080474337485,0.209417801257241,0.120864480711271,,0.211118524981608,0.107212215283279,0.221359017914032,0.124457493704744,19309
bank_sector,joint,tier1,3,0.293827735866275,0.185008692252685,0.1287471224819,,0.200904451545682,0.143597462939415,0.267870068757596,0.272683382903521,19309
bank_sector,joint,size,3,0.135994021263685,0.248841254145805,0.591076828552854,,0.233036323041077,0.559506719960024,0.194453369883951,0.484323504484807,19309
bank_sector,joint,liquidity,3,0.0106795426831281,0.36678817544591,0.977075438815219,,0.378558544427251,0.977493805865382,0.352214933075977,0.975810972392676,19309
bank_sector,joint,fc_dep_share,4,0.079993501775229,0.304945507819063,0.795897326942361,,0.351192000302693,0.819819516138879,0.437318084561974,0.854862085810473,19109
bank_sector,joint,ext_fund_share,4,0.22677909344258,0.181863897666625,0.227561395165583,,0.185887440270314,0.222472183311744,0.24195875939906,0.348623076233308,19109
bank_sector,joint,tier1,4,0.272275734068788,0.15307049497029,0.0912842994297394,,0.149884198019233,0.0692823706844503,0.24675834733705,0.269848969440682,19109
bank_sector,joint,size,4,0.130543840215581,0.231477280529887,0.579378309565916,,0.199973593438843,0.513881746526369,0.222486726890333,0.557372366880745,19109
bank_sector,joint,liquidity,4,-0.02071422836405,0.196185629350168,0.917018502011998,,0.198379812639348,0.916838418504978,0.347994573486176,0.952534293817376,19109
bank_sector,joint,fc_dep_share,5,0.41121339136049,0.332165794425857,0.230804628239444,,0.459263892942054,0.370586679652264,0.580376556230983,0.478617055360403,18862
bank_sector,joint,ext_fund_share,5,0.208290689569664,0.18420566657724,0.272231981092281,,0.200155074424593,0.298039613975865,0.304254762683769,0.49360076717475,18862
bank_sector,joint,tier1,5,0.0882719336956251,0.207676273398513,0.675578187199125,,0.161622697464039,0.584955613635203,0.225049472444423,0.694885721923572,18862
bank_sector,joint,size,5,0.156516245138403,0.275702704632814,0.576886610788032,,0.215851087899859,0.468383234843518,0.252826132358666,0.535872404574546,18862
bank_sector,joint,liquidity,5,-0.000152747528626831,0.220133065759506,0.999453591856153,,0.204195565889599,0.999403146278447,0.330325973722376,0.999631046602011,18862
bank_sector,joint,fc_dep_share,6,0.217403090036455,0.394311090284978,0.587820410333376,,0.529550761911456,0.681408038750139,0.735259794597906,0.767472941195873,18618
bank_sector,joint,ext_fund_share,6,0.124998703416348,0.257201307969463,0.632528025486914,,0.278329971711907,0.653357672262342,0.313060663169204,0.689687274351384,18618
bank_sector,joint,tier1,6,0.133362906567601,0.256881129581093,0.6096427245323,,0.205813850328126,0.516998992764611,0.248459317164767,0.591433728943927,18618
bank_sector,joint,size,6,0.36941198923188,0.34159212337513,0.293036239335972,,0.296600487757894,0.212952868537357,0.355152865090743,0.298270561499816,18618
bank_sector,joint,liquidity,6,-0.125535855572055,0.336762178143771,0.713443396578821,,0.333299616110159,0.706436946911398,0.372098359169489,0.735835906134558,18618
bank_sector,joint,fc_dep_share,7,0.321162996479784,0.420531043604296,0.454420920692436,,0.606880098006715,0.596664375243704,0.838044006589781,0.701549774121359,18377
bank_sector,joint,ext_fund_share,7,-0.135741790267045,0.260186713658785,0.607901641135603,,0.308843619462376,0.660287508209479,0.466434357987342,0.771035919448001,18377
bank_sector,joint,tier1,7,-0.028526303677467,0.259445033741001,0.913601086831514,,0.161270891820388,0.85959919853259,0.235459730519142,0.903571024540634,18377
bank_sector,joint,size,7,0.168095909110949,0.309231579605473,0.593043627385857,,0.268144754479419,0.530734657867357,0.390001196660133,0.666458315210202,18377
bank_sector,joint,liquidity,7,0.250152726335296,0.400257703532141,0.53941879144749,,0.304293342698941,0.411032760417832,0.375764122261712,0.505591729473843,18377
bank_sector,joint,fc_dep_share,8,0.4337113757918,0.439202848638459,0.335808726438905,,0.73749691731987,0.556474784731392,1.03103035540999,0.674004686747084,18132
