"horizon","coef_fci_low","se_fci_low","p_fci_low","ci_fci_low_lo","ci_fci_low_hi","coef_fci_high","se_fci_high","ci_fci_high_lo","ci_fci_high_hi","coef_interact","se_interact","p_interact","n_obs","target_var","stance_type","stance_label"
18,2.64612912075681,1.27181530243715,0.0382639446869793,0.554179107730679,4.73807913378294,2.30916031290639,1.46795128796686,-0.105404687293981,4.72372531310676,-0.336968807850422,0.820324997355167,0.681511767687379,328,"IMAEP_yoy","TPM_std","Level (Standardized)"
19,1.03537588264686,1.60897952371231,0.520361584711824,-1.61115992262199,3.6819116879157,0.554565436542653,1.7445347502135,-2.3149388746889,3.4240697477742,-0.480810446104202,0.827117421865493,0.561441729206334,327,"IMAEP_yoy","TPM_std","Level (Standardized)"
20,1.27490791130848,1.24513513975052,0.306653007595246,-0.773157139354893,3.32297296197186,0.506675390153019,1.60049770431981,-2.12590906372493,3.13925984403097,-0.768232521155464,0.86918016188538,0.377438087898566,326,"IMAEP_yoy","TPM_std","Level (Standardized)"
21,2.41473552979111,1.20508310090888,0.0459403066764324,0.432550220483214,4.39692083909901,1.30313370229088,1.43195142895197,-1.0522167992391,3.65848420382086,-1.11160182750023,0.856805789471097,0.195441216200523,325,"IMAEP_yoy","TPM_std","Level (Standardized)"
22,2.12248120760516,1.2690383620258,0.0954101198503927,0.0350988550864595,4.20986356012386,0.785784917186555,1.27676334168079,-1.31430389613578,2.88587373050889,-1.3366962904186,0.85839761088657,0.120420904764355,324,"IMAEP_yoy","TPM_std","Level (Standardized)"
23,2.13057921338049,0.970411583018062,0.0288514865069766,0.534394201417513,3.72676422534347,0.930675367772575,1.18824100593177,-1.02380716052675,2.8851578960719,-1.19990384560792,0.84726378093033,0.157698837091466,323,"IMAEP_yoy","TPM_std","Level (Standardized)"
24,1.82316940109165,1.174182708081,0.121495681278169,-0.108189284999088,3.75452808718239,0.853456197616898,1.51072786338126,-1.63147000780241,3.3383824030362,-0.969713203474755,0.803514873999226,0.228399602973411,322,"IMAEP_yoy","TPM_std","Level (Standardized)"
1,-1.8546776989254,1.29394304642561,0.15268120280132,-3.9830246119072,0.273669214056402,-2.06292250302064,1.30588898508683,-4.2109187365367,0.0850737304954126,-0.208244804095242,0.291937548427651,0.47614015910007,345,"IMAEP_yoy","TPM_hp_std","HP Deviation"
2,-2.36350813902083,1.38886892745768,0.0897244649404879,-4.64799423170979,-0.0790220463318714,-2.42333051906512,1.44573726938835,-4.80135671023746,-0.0453043278927767,-0.0598223800442883,0.344245159962591,0.862143942988625,344,"IMAEP_yoy","TPM_hp_std","HP Deviation"
3,-1.53097987592864,1.31737120282333,0.246000298712801,-3.69786267693402,0.635902925076731,-1.5395435876986,1.35103603493065,-3.76180010989642,0.682712934499208,-0.00856371176996248,0.367185278739947,0.981406796644559,343,"IMAEP_yoy","TPM_hp_std","HP Deviation"
4,-0.711729293309564,1.36506335144619,0.602440176677346,-2.95705869795437,1.53360011133524,-0.727760047362506,1.35852995150484,-2.96234296541744,1.50682287069243,-0.0160307540529419,0.395044248396743,0.967655187753499,342,"IMAEP_yoy","TPM_hp_std","HP Deviation"
5,-1.49420110522664,1.35987206462519,0.272655164886632,-3.73099160291537,0.742589392462088,-1.52343282511204,1.36178340888224,-3.76336720433433,0.716501554110247,-0.029231719885398,0.406455822759577,0.942709760383332,341,"IMAEP_yoy","TPM_hp_std","HP Deviation"
6,-1.204556617097,1.33585990753269,0.367863300116642,-3.4018506311012,0.992737396907196,-1.13951744021191,1.34675121797291,-3.35472606569596,1.07569118527214,0.0650391768850917,0.431321718238259,0.880232354721955,340,"IMAEP_yoy","TPM_hp_std","HP Deviation"
7,-0.933237791370408,1.43808663483368,0.516823171589398,-3.29867980854703,1.43220422580621,-0.680262115839372,1.45931593375758,-3.0806232223486,1.72009899066986,0.252975675531036,0.502066731021868,0.614687878483268,339,"IMAEP_yoy","TPM_hp_std","HP Deviation"
8,-0.365389065937197,1.25427404328675,0.770992748505435,-2.42848627522849,1.6977081433541,-0.0258586648952041,1.33983475808298,-2.22969072624365,2.17797339645324,0.339530401041993,0.55757633635966,0.542982060510945,338,"IMAEP_yoy","TPM_hp_std","HP Deviation"
9,-1.31477787444485,1.29895978332349,0.312194740611633,-3.45137658530859,0.821820836418896,-0.927293706969327,1.53606997035516,-3.45390396895925,1.59931655502059,0.387484167475519,0.59060772408842,0.512231731945172,337,"IMAEP_yoy","TPM_hp_std","HP Deviation"
10,-0.796324841866269,1.1026473953438,0.470688482946783,-2.6100184093461,1.01736872561357,-0.372670619751224,1.30470240838559,-2.51871510827658,1.77337386877413,0.423654222115045,0.586028466815426,0.470239991672031,336,"IMAEP_yoy","TPM_hp_std","HP Deviation"
11,-0.851648655526324,1.29112631388124,0.509962615489806,-2.97536245576637,1.27206514471372,-0.307184062443323,1.36341626724383,-2.54980425466397,1.93543612977732,0.544464593083001,0.6013012119474,0.365877220832852,335,"IMAEP_yoy","TPM_hp_std","HP Deviation"
12,0.700372852190961,1.33728702419513,0.600823436425451,-1.49926855983154,2.90001426421346,1.46904819538104,1.51867708122049,-1.02895330983256,3.96704970059464,0.768675343190083,0.590539200368881,0.193952307649352,334,"IMAEP_yoy","TPM_hp_std","HP Deviation"
13,1.73947891067518,1.72796623778813,0.314843555784205,-1.10277262280032,4.58173044415068,2.50794493459345,1.90752871634089,-0.629660592993943,5.64555046218084,0.768466023918272,0.56975243546082,0.178346441201861,333,"IMAEP_yoy","TPM_hp_std","HP Deviation"
14,2.85408031821633,1.72872992056141,0.0997107397048103,0.010572638361364,5.69758799807129,3.41415117840762,1.87733768897451,0.3262054716852,6.50209688513004,0.560070860191294,0.522561380183723,0.284614067209785,332,"IMAEP_yoy","TPM_hp_std","HP Deviation"
15,4.03774983891827,1.599701333338,0.0120781367335426,1.40647529873815,6.66902437909839,4.23786572365445,1.74225424992602,1.37211250159202,7.10361894571687,0.200115884736178,0.47792861082119,0.675701846956305,331,"IMAEP_yoy","TPM_hp_std","HP Deviation"
16,2.04318496300509,1.500059901399,0.174125257716929,-0.424194006455532,4.51056393246571,1.93476582737003,1.53970130358982,-0.597817446261601,4.46734910100166,-0.108419135635057,0.421870313955003,0.797345211563964,330,"IMAEP_yoy","TPM_hp_std","HP Deviation"
17,0.423201581494632,1.32242907281487,0.749161962798659,-1.75200067531099,2.59840383830025,0.145334948848472,1.27430730607886,-1.95071404540609,2.24138394310304,-0.27786663264616,0.400783208716204,0.488615394609566,329,"IMAEP_yoy","TPM_hp_std","HP Deviation"
18,1.9158878093801,1.27591340005941,0.134188269266539,-0.182802974383598,4.0145785931438,1.59952772409759,1.17519772919971,-0.333500523161689,3.53255597135686,-0.316360085282515,0.390143514417921,0.418034625292763,328,"IMAEP_yoy","TPM_hp_std","HP Deviation"
19,0.166346385356797,1.6135531617138,0.91795356497381,-2.48771238496717,2.82040515568076,-0.205150572794382,1.47130960283849,-2.62523950939181,2.21493836380305,-0.371496958151179,0.436695415543058,0.395571898614953,327,"IMAEP_yoy","TPM_hp_std","HP Deviation"
20,0.320807736822895,1.24965116725035,0.797562096372818,-1.73468551805299,2.37630099169878,-0.332894768835985,1.13677180628906,-2.20271799742672,1.53692845975475,-0.65370250565888,0.516531233704597,0.206593355848776,326,"IMAEP_yoy","TPM_hp_std","HP Deviation"
21,1.53162118082895,1.35732531651891,0.259996859802191,-0.700980289000228,3.76422265065814,0.716919332450337,1.22871005164988,-1.3041288524777,2.73796751737838,-0.814701848378617,0.588189202484938,0.166992251495773,325,"IMAEP_yoy","TPM_hp_std","HP Deviation"
