"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
7,0.607106925052262,0.50397302283123,1.20464171205364,0.231334169441894,-0.221854929437384,1.43606877954191,106,0.133539028902609,"Consumo_Privado","Private Consumption","Demand","FCI_EXO","Exogenous (External)"
8,-0.111446919549052,0.726482143370412,-0.153406275110919,0.878406742325613,-1.30640370798735,1.08350986888925,105,0.227077878286749,"Consumo_Privado","Private Consumption","Demand","FCI_EXO","Exogenous (External)"
1,-2.8820172376797,1.48492990534766,-1.94084395990728,0.0550647905624635,-5.3245095782595,-0.439524897099888,112,0.274711324227463,"Consumo_Publico","Public Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
2,-3.30901408635784,1.51287088410504,-2.18724156907503,0.0310553769698665,-5.79746524718729,-0.820562925528381,111,0.26309402772068,"Consumo_Publico","Public Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
3,-1.79822104531541,1.8092626377429,-0.993897186512806,0.322695991970073,-4.77419325711461,1.17775116648379,110,0.225915757278677,"Consumo_Publico","Public Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
4,-4.27475775069287,2.44873807397195,-1.7456982419353,0.0839974378896893,-8.30257345311978,-0.246942048265948,109,0.155567251238337,"Consumo_Publico","Public Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
5,-4.43829649067341,1.66958328265846,-2.65832590489668,0.00918613233810575,-7.18451660865171,-1.6920763726951,108,0.143212676428787,"Consumo_Publico","Public Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
6,-2.36161598114082,1.47843563032563,-1.59737490946472,0.113468716679624,-4.79342618989621,0.0701942276145733,107,0.125749372207095,"Consumo_Publico","Public Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
7,-3.52233348178943,1.73810404633852,-2.02653776061885,0.0455128614777848,-6.38126022642837,-0.663406737150478,106,0.0934709441214085,"Consumo_Publico","Public Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
8,-0.273366491117684,1.68788656041877,-0.161957857552856,0.871686662313305,-3.04969282190514,2.50295983966977,105,0.0866130580597215,"Consumo_Publico","Public Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
