"horizon","response","shock","contribution"
20,"VIX","FFER",0.0120997135547564
20,"VIX","Selic_rate",0.0156482958442984
20,"VIX","d_ToT",0.0564620273911091
20,"VIX","FCI_ENDO_AVG",0.0183140623790774
20,"VIX","Cred_Real_Total",0.00122718421820345
20,"VIX","IMAEP_yoy",0.0103157733871264
20,"VIX","IPC_yoy",0.0133682389079297
21,"VIX","VIX",0.785511599103983
21,"VIX","SP500",0.0319406924375066
21,"VIX","DXY",0.0326627380646935
21,"VIX","US_10Y",0.0204901964096767
21,"VIX","FFER",0.0121669776042128
21,"VIX","Selic_rate",0.0162548533250485
21,"VIX","d_ToT",0.0566665532916819
21,"VIX","FCI_ENDO_AVG",0.0188694741433044
21,"VIX","Cred_Real_Total",0.0012325664317658
21,"VIX","IMAEP_yoy",0.010308403460319
21,"VIX","IPC_yoy",0.0138959457278074
22,"VIX","VIX",0.783765701920784
22,"VIX","SP500",0.0318992277977236
22,"VIX","DXY",0.0326609623450349
22,"VIX","US_10Y",0.0204939677128051
22,"VIX","FFER",0.012342657854407
22,"VIX","Selic_rate",0.0167772536779042
22,"VIX","d_ToT",0.0567249529247373
22,"VIX","FCI_ENDO_AVG",0.0193733114460589
22,"VIX","Cred_Real_Total",0.00123152893643203
22,"VIX","IMAEP_yoy",0.0102932625855623
22,"VIX","IPC_yoy",0.0144371727985507
23,"VIX","VIX",0.782190125637976
23,"VIX","SP500",0.0318665558488266
23,"VIX","DXY",0.0326243310872521
23,"VIX","US_10Y",0.0204786314216894
23,"VIX","FFER",0.0126423638094573
23,"VIX","Selic_rate",0.0172122220178601
23,"VIX","d_ToT",0.0566889152324186
23,"VIX","FCI_ENDO_AVG",0.0198291600107788
23,"VIX","Cred_Real_Total",0.00122901820022392
23,"VIX","IMAEP_yoy",0.010273819718913
23,"VIX","IPC_yoy",0.0149648570146046
24,"VIX","VIX",0.780727087306037
24,"VIX","SP500",0.0318401372234028
24,"VIX","DXY",0.0325691975247531
24,"VIX","US_10Y",0.0204522223284837
24,"VIX","FFER",0.0130680488755793
24,"VIX","Selic_rate",0.0175606976494302
24,"VIX","d_ToT",0.0566009174598765
24,"VIX","FCI_ENDO_AVG",0.0202412455639353
24,"VIX","Cred_Real_Total",0.00123031483490733
24,"VIX","IMAEP_yoy",0.0102534195374187
24,"VIX","IPC_yoy",0.0154567116961759
1,"SP500","VIX",0.277503078433748
1,"SP500","SP500",0.722496921566252
1,"SP500","DXY",0
1,"SP500","US_10Y",0
1,"SP500","FFER",0
1,"SP500","Selic_rate",0
1,"SP500","d_ToT",0
1,"SP500","FCI_ENDO_AVG",0
1,"SP500","Cred_Real_Total",0
1,"SP500","IMAEP_yoy",0
1,"SP500","IPC_yoy",0
2,"SP500","VIX",0.254886043490379
2,"SP500","SP500",0.727941754134446
2,"SP500","DXY",0.00175854686019594
2,"SP500","US_10Y",0.00141641626336716
2,"SP500","FFER",0.000561679721722366
2,"SP500","Selic_rate",0.000158846311203671
2,"SP500","d_ToT",0.00943597451454386
2,"SP500","FCI_ENDO_AVG",0.00134114095346647
2,"SP500","Cred_Real_Total",0.000966067517791799
2,"SP500","IMAEP_yoy",4.44486102480737e-05
2,"SP500","IPC_yoy",0.00148908162263582
3,"SP500","VIX",0.219214481867564
3,"SP500","SP500",0.754541644449193
3,"SP500","DXY",0.00422876454101834
3,"SP500","US_10Y",0.00144210284533595
3,"SP500","FFER",0.000942788861377815
3,"SP500","Selic_rate",0.000121769799924949
3,"SP500","d_ToT",0.00809696192661405
3,"SP500","FCI_ENDO_AVG",0.000995202680198452
3,"SP500","Cred_Real_Total",0.00123956095197861
3,"SP500","IMAEP_yoy",0.00201269884608613
3,"SP500","IPC_yoy",0.0071640232307082
4,"SP500","VIX",0.19338398245082
4,"SP500","SP500",0.768498736776373
4,"SP500","DXY",0.00742995287910067
4,"SP500","US_10Y",0.00110998037051095
4,"SP500","FFER",0.000943657657164346
4,"SP500","Selic_rate",0.000122494033594555
4,"SP500","d_ToT",0.00720172545198434
4,"SP500","FCI_ENDO_AVG",0.000788503017274226
4,"SP500","Cred_Real_Total",0.00138346856427496
4,"SP500","IMAEP_yoy",0.00453015550778321
4,"SP500","IPC_yoy",0.0146073432911196
5,"SP500","VIX",0.172136112716705
5,"SP500","SP500",0.776642419063483
5,"SP500","DXY",0.0115470599933279
5,"SP500","US_10Y",0.00112718037400765
5,"SP500","FFER",0.000775598978716315
5,"SP500","Selic_rate",0.000171574219264903
5,"SP500","d_ToT",0.00624232319399756
5,"SP500","FCI_ENDO_AVG",0.00084089740795617
5,"SP500","Cred_Real_Total",0.00150430811392817
5,"SP500","IMAEP_yoy",0.00679887381017612
5,"SP500","IPC_yoy",0.0222136521284366
6,"SP500","VIX",0.155140843511566
