"horizon","credit_type","method","coef","se","p_value","ci_lower","ci_upper","first_stage_F","wu_hausman_p","AR_F","AR_p","AR_CI_lower","AR_CI_upper","n_obs"
7,"Cred_Real_Total","2SLS_DXY",-82.765822500251,32.0677398275289,0.0103224553487297,-135.512560663698,-30.019084336804,11.984851562627,1.09160387179398e-10,48.4624753969796,2.09171596270907e-11,-161,-52,317
7,"Cred_Real_Total","OLS",-4.70340138392966,1.81556984862426,0.0100444258616576,-7.68974803442301,-1.71705473343631,NA,NA,NA,NA,NA,NA,317
8,"Cred_Real_Total","2SLS_DXY",-99.792675183154,35.3925385175669,0.00512631924256757,-158.008220530793,-41.5771298355144,12.02056496051,3.63182761782156e-14,68.1769591313968,4.7215023100623e-15,-193,-65,316
8,"Cred_Real_Total","OLS",-5.40973735574849,1.92750938543447,0.00533225045272933,-8.58020815936338,-2.23926655213361,NA,NA,NA,NA,NA,NA,316
9,"Cred_Real_Total","2SLS_DXY",-114.905577356112,37.4377350237554,0.00234148764389598,-176.485171594784,-53.3259831174402,12.295702939491,4.80676393677317e-18,89.7946707413963,8.1837840250427e-19,-220,-75,315
9,"Cred_Real_Total","OLS",-4.94833776709987,1.92079401699498,0.0104661010180961,-8.10776277258076,-1.78891276161899,NA,NA,NA,NA,NA,NA,315
10,"Cred_Real_Total","2SLS_DXY",-128.1524822563,40.2405639190178,0.00160167323435102,-194.342319769069,-61.9626447435309,12.2325205338924,6.87080841705205e-21,108.519784153319,6.81090387161045e-22,-245,-85,314
10,"Cred_Real_Total","OLS",-5.96687264728811,2.11437154960606,0.00509034486923491,-9.44470435938064,-2.48904093519559,NA,NA,NA,NA,NA,NA,314
11,"Cred_Real_Total","2SLS_DXY",-138.898959957411,42.8827437429327,0.0013343889464846,-209.434796536604,-68.3631233782176,12.2420393661739,9.00926939031632e-23,121.359756261351,6.47907050803188e-24,-250,-92,313
11,"Cred_Real_Total","OLS",-6.70043513860957,2.24314004350498,0.00304978760772209,-10.3900721749288,-3.01079810229033,NA,NA,NA,NA,NA,NA,313
12,"Cred_Real_Total","2SLS_DXY",-149.585672762961,44.4899047232405,0.00087407141496746,-222.765053909708,-76.406291616213,12.0527353998938,7.34170435351029e-25,134.261270093785,7.03444888200194e-26,-250,-99,312
12,"Cred_Real_Total","OLS",-6.36816907791279,2.40448837314971,0.00851696363697732,-10.3232004994507,-2.41313765637485,NA,NA,NA,NA,NA,NA,312
13,"Cred_Real_Total","2SLS_DXY",-157.489204000082,46.1132198181398,0.000725917867756415,-233.338700868359,-81.6397071318038,11.9885178998224,1.17665750030188e-26,146.944157529366,9.51633501845115e-28,-250,-104,311
13,"Cred_Real_Total","OLS",-6.73511401899459,2.49746741430882,0.00740116607882302,-10.8430823536136,-2.62714568437561,NA,NA,NA,NA,NA,NA,311
14,"Cred_Real_Total","2SLS_DXY",-159.841716611074,45.6816935081788,0.000538723340169185,-234.981415863287,-84.7020173588603,12.0480398258407,3.59924753351664e-27,151.102206085143,2.45273477064723e-28,-250,-106,310
14,"Cred_Real_Total","OLS",-7.06910007984089,2.60436006617302,0.0070305502314189,-11.3528911805732,-2.78530897910863,NA,NA,NA,NA,NA,NA,310
