"horizon","variable","coef","se","p_value","ci_lower","ci_upper","n_obs"
8,"d_ToT",-0.0173145261105361,0.0358150675677695,0.629130734151798,-0.0762250698988938,0.0415960176778216,316
8,"FCI_x_ToT",-0.143217287383157,0.051299664550916,0.00557493368916641,-0.227597726681125,-0.0588368480851894,316
9,"FCI_ENDO_exCredit_exTCN_AVG",-4.8135681276099,1.72820205981753,0.00568572479294825,-7.65620755380576,-1.97092870141403,315
9,"d_ToT",-0.0243952840882128,0.0398529046923032,0.540910255397289,-0.089947478915899,0.0411569107394735,315
9,"FCI_x_ToT",-0.152164334442544,0.0566106169121987,0.00758887636748518,-0.245280512994534,-0.0590481558905533,315
10,"FCI_ENDO_exCredit_exTCN_AVG",-5.31185693295764,1.8962408973445,0.00542006005228947,-8.43089565052844,-2.19281821538683,314
10,"d_ToT",-0.0465190356721514,0.044488644708164,0.296566981457301,-0.11969634427853,0.0266582729342275,314
10,"FCI_x_ToT",-0.16141964372046,0.0622123072050782,0.0099320977806849,-0.263749782867752,-0.0590895045731679,314
11,"FCI_ENDO_exCredit_exTCN_AVG",-5.43036762659928,2.07564870883248,0.00934078824216276,-8.84450593359952,-2.01622931959904,313
11,"d_ToT",-0.0633885629463226,0.0471343497835678,0.179689966129471,-0.140917669141823,0.0141405432491782,313
11,"FCI_x_ToT",-0.171873635633163,0.0672242867885706,0.0110586638615752,-0.282447747576569,-0.0612995236897564,313
12,"FCI_ENDO_exCredit_exTCN_AVG",-4.52277012559951,2.2016570973351,0.0408198672623707,-8.14417378745461,-0.901366463744419,312
12,"d_ToT",-0.090031541384509,0.0492817182214806,0.0687153871116639,-0.171092754343512,-0.00897032842550627,312
12,"FCI_x_ToT",-0.180576492790176,0.0699892524878524,0.010355398550606,-0.295698568592442,-0.0654544169879097,312
13,"FCI_ENDO_exCredit_exTCN_AVG",-5.02746047590047,2.25632963283408,0.0266160530778232,-8.7387924560657,-1.31612849573525,311
13,"d_ToT",-0.121616974356393,0.0522994564257251,0.0207220047566298,-0.207641924945837,-0.0355920237669486,311
13,"FCI_x_ToT",-0.19291708706262,0.0728973926146637,0.00856707481757211,-0.312822627700155,-0.073011546425085,311
14,"FCI_ENDO_exCredit_exTCN_AVG",-5.41289427464253,2.2703490266645,0.0177455932127768,-9.14728610559738,-1.67850244368768,310
14,"d_ToT",-0.138861708399465,0.0539429855179345,0.0105308513112102,-0.22759002377723,-0.0501333930216995,310
14,"FCI_x_ToT",-0.193583413496311,0.0747895270828903,0.0101173393281388,-0.316601238376589,-0.0705655886160336,310
15,"FCI_ENDO_exCredit_exTCN_AVG",-5.14427023596144,2.30342605517785,0.0262755700858917,-8.93306893723524,-1.35547153468763,309
15,"d_ToT",-0.149661262026022,0.0570214514823648,0.00912411639352715,-0.243453203310827,-0.0558693207412172,309
15,"FCI_x_ToT",-0.189744347910724,0.0787387849319178,0.0165715321790007,-0.31925812388774,-0.0602305719337067,309
16,"FCI_ENDO_exCredit_exTCN_AVG",-4.57371122157456,2.28322519048771,0.0460724979600027,-8.32928245729523,-0.818139985853894,308
16,"d_ToT",-0.157890626269328,0.0559135788272983,0.00506839512914335,-0.249860279199247,-0.0659209733394094,308
16,"FCI_x_ToT",-0.184518691773916,0.0778898980099089,0.0184817711656646,-0.312636173018395,-0.0564012105294374,308
17,"FCI_ENDO_exCredit_exTCN_AVG",-4.51767880747014,2.08295206932034,0.0308930364887185,-7.94383007345778,-1.0915275414825,307
