"shock","response","horizon","irf_val","lower","upper"
"SP500","Cred_Real_Total",22,0.066062230061229,-0.20034351680176,0.336364259073297
"SP500","Cred_Real_Total",23,0.0763376954629816,-0.191974863019988,0.337409240007182
"SP500","Cred_Real_Total",24,0.0868680059061489,-0.183346297289242,0.353451841857712
"SP500","IMAEP_yoy",0,0.552959641065499,0.244136826446805,0.793519186979088
"SP500","IMAEP_yoy",1,0.414229337124797,-0.0596695490614743,0.701173610976207
"SP500","IMAEP_yoy",2,0.319532313271509,0.0624297807630882,0.448585314312653
"SP500","IMAEP_yoy",3,0.270514016867338,0.0420241778631004,0.356485293323882
"SP500","IMAEP_yoy",4,0.213193683580898,0.00944614392152113,0.285616635921718
"SP500","IMAEP_yoy",5,0.177607032386808,-0.012226862601582,0.254755306420261
"SP500","IMAEP_yoy",6,0.148428088814296,-0.0319126349474902,0.226573822134636
"SP500","IMAEP_yoy",7,0.12463647511751,-0.0450623828859981,0.192908403936398
"SP500","IMAEP_yoy",8,0.104516268835139,-0.0569504364403828,0.173450824653192
"SP500","IMAEP_yoy",9,0.0877581099747813,-0.066054470675866,0.155403650444681
"SP500","IMAEP_yoy",10,0.0738665202282353,-0.0741917298978313,0.142625031042561
"SP500","IMAEP_yoy",11,0.0625029200442535,-0.0824731383800276,0.129220451641335
"SP500","IMAEP_yoy",12,0.0533393925840124,-0.0909210931709787,0.118789481421194
"SP500","IMAEP_yoy",13,0.046085687419145,-0.0939126609826681,0.110007772145905
"SP500","IMAEP_yoy",14,0.0404699853316181,-0.0937734750160703,0.103359232412106
"SP500","IMAEP_yoy",15,0.0362420881396736,-0.0912488584958729,0.101407429465397
"SP500","IMAEP_yoy",16,0.0331718703310304,-0.0913132138946405,0.099178595525431
"SP500","IMAEP_yoy",17,0.0310499048311223,-0.0909415467552539,0.0962639901048417
"SP500","IMAEP_yoy",18,0.0296873235442882,-0.088970695708174,0.0928671103875318
"SP500","IMAEP_yoy",19,0.0289156928975108,-0.0866545303974698,0.0915009941056327
"SP500","IMAEP_yoy",20,0.0285865800818967,-0.0830831653670307,0.0884369805692199
"SP500","IMAEP_yoy",21,0.0285709090806787,-0.0803313012565725,0.0868436565571785
"SP500","IMAEP_yoy",22,0.0287580956879271,-0.0756458610316891,0.0836494592439553
"SP500","IMAEP_yoy",23,0.0290550038112698,-0.0722716592287634,0.0810679460722357
"SP500","IMAEP_yoy",24,0.0293847558124451,-0.0728759151139762,0.0807288718887641
"SP500","IPC_yoy",0,-0.0567252230851352,-0.125050595179295,0.0332540033972828
"SP500","IPC_yoy",1,-0.0240798627276192,-0.158079712359507,0.105534439328587
"SP500","IPC_yoy",2,-0.0942952013845569,-0.209958740803033,0.0364302598417864
"SP500","IPC_yoy",3,-0.0747103903966709,-0.188889539868327,0.0522219421843414
"SP500","IPC_yoy",4,-0.067027437969661,-0.183466335155309,0.0586845986697926
"SP500","IPC_yoy",5,-0.0550425181546527,-0.163759714730214,0.0651436408640682
"SP500","IPC_yoy",6,-0.048149293005284,-0.157222580581359,0.0653786248707947
"SP500","IPC_yoy",7,-0.0429058636165381,-0.147970705150391,0.0706668182401628
"SP500","IPC_yoy",8,-0.0398110124229702,-0.143227408741533,0.0695320232448613
"SP500","IPC_yoy",9,-0.0382138473127723,-0.13977317320158,0.0702989153600328
"SP500","IPC_yoy",10,-0.0379181915281403,-0.137105169924981,0.0646701429925966
"SP500","IPC_yoy",11,-0.0386252622017133,-0.135128070589864,0.0588986515499362
"SP500","IPC_yoy",12,-0.0401173205249694,-0.131194784738461,0.0554545342626316
"SP500","IPC_yoy",13,-0.0421918961766372,-0.137313323282732,0.0490880614963948
"SP500","IPC_yoy",14,-0.0446779725791208,-0.134928869075282,0.0442879771401348
"SP500","IPC_yoy",15,-0.0474263988702546,-0.132772577770267,0.0395911173410333
"SP500","IPC_yoy",16,-0.0503101922428015,-0.129025471493128,0.0335222613689857
"SP500","IPC_yoy",17,-0.0532222342313558,-0.126776336661591,0.0286464666147271
"SP500","IPC_yoy",18,-0.056074104830357,-0.127902195414519,0.02550798391539
"SP500","IPC_yoy",19,-0.0587945980581573,-0.128455526128837,0.0212640687886344
"SP500","IPC_yoy",20,-0.0613283092948835,-0.130113767264859,0.0173906286109196
"SP500","IPC_yoy",21,-0.0636341381422225,-0.126795746518345,0.0131193613283812
"SP500","IPC_yoy",22,-0.0656837700686525,-0.124104216690514,0.00920837656658956
