"horizon","method","coef","se","p_value","ci_lower","ci_upper","first_stage_F","wu_hausman_p","AR_F","AR_p","AR_CI_lower","AR_CI_upper","n_obs"
18,"OLS",-4.46922137762325,2.17393153926875,0.0406883210368352,-8.04502055473364,-0.893422200512858,NA,NA,NA,NA,NA,NA,306
19,"2SLS_DXY",-193.221629983266,70.874782187269,0.00679459818128298,-309.800272523391,-76.6429874431411,7.20413555397768,1.19275126653668e-26,143.29182721992,4.04240071829948e-27,-300,-117,305
19,"OLS",-4.11100286708922,1.97582974813973,0.0383408689349688,-7.36095359455547,-0.861052139622966,NA,NA,NA,NA,NA,NA,305
20,"2SLS_DXY",-189.423421086747,72.5970558994471,0.00954501099657659,-308.834951788951,-70.0118903845425,7.26970126569605,1.15134140285505e-25,136.532084498216,4.1623018056742e-26,-300,-115,304
20,"OLS",-4.00536017807351,2.01465788721162,0.0477395862366702,-7.31917751091994,-0.691542845227092,NA,NA,NA,NA,NA,NA,304
21,"2SLS_DXY",-192.67139644964,80.9319177633118,0.0179297505845833,-325.792554918762,-59.5502379805182,6.69678895416846,1.11492452200187e-24,128.454232523368,7.0065917502965e-25,-300,-114,303
21,"OLS",-2.89968292223439,1.92233577912776,0.132540381372424,-6.06164390075126,0.262278056282484,NA,NA,NA,NA,NA,NA,303
22,"2SLS_DXY",-188.051422639368,82.711922138283,0.023727930167865,-324.100427760651,-52.0024175180857,6.75254389598933,3.34100906411503e-24,124.333386912317,3.05864108230383e-24,-300,-112,302
22,"OLS",-2.19535302936412,1.82161029738092,0.229126373737875,-5.19163533390328,0.800929275175031,NA,NA,NA,NA,NA,NA,302
23,"2SLS_DXY",-188.8987202425,86.4931121598221,0.0297735640791196,-331.167229484904,-46.6302110000967,6.42518466708214,1.38803878762119e-23,120.741726245705,1.11986302069901e-23,-300,-111,301
23,"OLS",-2.32935499088362,1.77241302785698,0.189818842119099,-5.2447149882102,0.58600500644297,NA,NA,NA,NA,NA,NA,301
24,"2SLS_DXY",-178.126771422136,81.2166100507242,0.0290957956266486,-311.716207032773,-44.5373358114986,6.9613442472216,1.42773673214023e-22,114.0027313172,1.28111042986343e-22,-300,-106,300
24,"OLS",-2.1957937332229,2.06273128860967,0.287996583929631,-5.5886847747188,1.19709730827299,NA,NA,NA,NA,NA,NA,300
