"horizon","coef_base","se_base","p_base","ci_base_lo","ci_base_hi","coef_regime1","se_regime1","ci_regime1_lo","ci_regime1_hi","coef_interact","se_interact","p_interact","n_obs","analysis","type","regime","coef","se","p_value","ci_lower","ci_upper"
19,-7.71582847930652,2.80006415991652,0.00619430076012853,-12.321524168442,-3.11013279017101,-0.770678378059829,2.27508550498824,-4.51286102256445,2.97150426644479,6.94515010124669,2.45267332556923,0.00492390169310466,327,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
20,-7.34526356833237,2.9217722078699,0.0124298888984351,-12.1511511815732,-2.53937595509157,0.178160386145525,2.25533125293093,-3.53152940521491,3.88785017750597,7.5234239544779,2.33158508637767,0.00138208071523601,326,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
21,-6.76301547440081,2.71035789170132,0.0130935792569041,-11.2211574829023,-2.30487346589935,1.4836836600886,2.15163952982617,-2.05544842443812,5.02281574461533,8.24669913448941,2.17289896557523,0.000176580993320905,325,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
22,-5.98898139139294,2.38964228346547,0.0127033586457335,-9.91959316846771,-2.05836961431818,3.08438137183803,2.0572371338837,-0.299472589329829,6.46823533300589,9.07336276323097,2.02001112795738,9.90836645900554e-06,324,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
23,-4.65991849216177,2.05522249501759,0.0240437157155556,-8.04045866728371,-1.27937831703984,4.97862318752278,2.11237005916192,1.50408363424661,8.45316274079895,9.63854167968455,1.87854046247406,5.04424498548488e-07,323,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
24,-3.81310009300069,1.90587261880416,0.0462814100097094,-6.94798158254821,-0.678218603453158,5.77401315017659,2.11524236890469,2.29474906780228,9.2532772325509,9.58711324317727,1.85569576937349,4.24469402066329e-07,322,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
1,0.0176179106219677,0.00260511280362688,5.9640706065653e-11,0.0133328813783043,0.0219029398656311,0.0117147119504468,0.00303308824560876,0.00672572574879337,0.0167036981521002,-0.00590319867152088,0.00163206234936182,0.000343473323319531,345,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
2,0.0179231893586946,0.00293074641605112,2.66486721428979e-09,0.0131025404865779,0.0227438382308113,0.00985587287339157,0.00284260700401411,0.00518020043284131,0.0145315453139418,-0.008067316485303,0.00236609378730384,0.000729662389776266,344,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
3,0.0226671177616171,0.00382903990965869,7.95872709028766e-09,0.016368907578473,0.0289653279447611,0.0115728948717953,0.00280550798059026,0.0069582448944801,0.0161875448491105,-0.0110942228898218,0.00317869192072828,0.000547050674217026,343,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
4,0.0245249346983063,0.00421790638433,1.41888407638074e-08,0.0175870960838993,0.0314627733127133,0.0102661107234338,0.0030396364242994,0.00526635372631112,0.0152658677205565,-0.0142588239748725,0.00374857022991437,0.000169325388335191,342,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
5,0.0247115422914531,0.00463118767462047,1.75794684251485e-07,0.0170939164477607,0.0323291681351455,0.00840739309492831,0.0026784230465439,0.00400177923231017,0.0128130069575465,-0.0163041491965248,0.00405490506168639,7.17329782158803e-05,341,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
6,0.0299275849208398,0.00546381344429812,8.52123602126981e-08,0.0209404115599998,0.0389147582816798,0.0105004557449901,0.00291910594293761,0.00569895374729353,0.0153019577426866,-0.0194271291758497,0.00433971635855682,1.04302824941531e-05,340,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
7,0.0313462048367692,0.00578149930683973,1.13749624108425e-07,0.0218364847326964,0.0408559249408419,0.00923808215529041,0.00333526550037275,0.00375205860015619,0.0147241057104246,-0.0221081226814787,0.00452691621152469,1.62140561102745e-06,339,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
8,0.0310092579715662,0.0057778520212697,1.50930665145199e-07,0.0215055371183919,0.0405129788247406,0.0067591836160536,0.00319352731314431,0.00150629863225958,0.0120120685998476,-0.0242500743555127,0.00462181822382765,2.7683543873828e-07,338,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
9,0.0339883675674666,0.00586313919423003,1.57900841498479e-08,0.024344361798516,0.0436323733364172,0.00721334895092262,0.00282160229224534,0.00257222618670828,0.011854471715137,-0.026775018616544,0.0048269307779613,5.96737242453002e-08,337,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
10,0.0351053016178779,0.00603517419974755,1.42172883349591e-08,0.0251783234461392,0.0450322797896166,0.00559068710392582,0.00314435325270994,0.000418686251789207,0.0107626879560624,-0.0295146145139521,0.0051247202604137,1.93970034481019e-08,336,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
11,0.0353978707242061,0.0063412791985493,4.98494019316997e-08,0.0249673946349603,0.0458283468134518,0.00459206173063041,0.00353485540636073,-0.00122225800527105,0.0104063814665319,-0.0308058089935757,0.00529544440245701,1.42035301352676e-08,335,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
