"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","variable"
13,-0.500440682318874,0.857824837976025,0.560043677206148,-1.9114369783528,0.91055561371505,333,"IPC"
14,-0.517871757992476,0.794149942087678,0.514797977394388,-1.82413217057869,0.788388654593743,332,"IPC"
15,-0.596254012854276,0.741273374338524,0.421783643280793,-1.81554021119755,0.623032185489001,331,"IPC"
16,-0.855231794758008,0.76750573909294,0.265989259473644,-2.1176663934111,0.407202803895084,330,"IPC"
17,-0.962660921734933,0.799321774553724,0.229351035098397,-2.27742824171091,0.352106398241047,329,"IPC"
18,-0.95383871687107,0.797403551024316,0.23251998748116,-2.2654508399174,0.35777340617526,328,"IPC"
19,-1.13241787967456,0.684055634132872,0.0988265727538872,-2.25758927051461,-0.00724648883452073,327,"IPC"
20,-0.912828490456179,0.60588904436883,0.13291703915541,-1.90942728261641,0.0837703017040522,326,"IPC"
21,-0.919460231932332,0.591079492587885,0.120819806434905,-1.89169947913215,0.0527790152674864,325,"IPC"
22,-1.1528437169717,0.553513085407642,0.0380832243429082,-2.06329172306956,-0.242395710873841,324,"IPC"
23,-1.17468152938683,0.584640079198169,0.0453727771846321,-2.13632888411713,-0.213034174656526,323,"IPC"
24,-0.724096359836757,0.576536925586436,0.210080055915109,-1.67241521295906,0.224222493285543,322,"IPC"
1,0.632230892281841,0.985222395309699,0.521499114968684,-0.988315737997134,2.25277752256082,345,"Creditos"
2,0.695913520987755,1.04102971923102,0.504286689559853,-1.01642798845366,2.40825503042917,344,"Creditos"
3,-0.245538929167265,1.16906503860236,0.833772957342255,-2.16847979805452,1.67740193971999,343,"Creditos"
4,-2.48161857406135,1.22890643081268,0.0442542455463934,-4.50298977396758,-0.46024737415512,342,"Creditos"
5,-3.01555763461931,1.39329863944425,0.0311558675171167,-5.30732995513573,-0.723785314102895,341,"Creditos"
6,-3.23940612126516,1.71866693416456,0.0603331327016109,-6.0663616614473,-0.412450581083017,340,"Creditos"
7,-4.19826897028935,1.75722414203241,0.0174521510622525,-7.08864547367805,-1.30789246690064,339,"Creditos"
8,-5.74198219306852,1.85143693010761,0.00209398410607712,-8.78732494262792,-2.69663944350913,338,"Creditos"
9,-5.71522151462667,1.94840978724331,0.00359164911842401,-8.92007041996158,-2.51037260929175,337,"Creditos"
10,-6.25038292010198,2.22902769428874,0.00534939836633736,-9.91680720762808,-2.58395863257587,336,"Creditos"
11,-7.40519796608836,2.54796117756312,0.00390890188859103,-11.5962211503346,-3.21417478184211,335,"Creditos"
12,-7.65628048038672,2.74502470347948,0.00559825152330819,-12.1714443199763,-3.1411166407971,334,"Creditos"
13,-7.97473739828041,2.90221607837489,0.00633752809707336,-12.7484580409922,-3.2010167555686,333,"Creditos"
14,-7.9717016516556,2.90925482288089,0.00648531712720251,-12.7569999987973,-3.18640330451391,332,"Creditos"
15,-7.40133279660075,2.75508840436102,0.00759922505161275,-11.9330499510859,-2.86961564211558,331,"Creditos"
16,-6.10013547399513,2.69181155025633,0.0241098495536442,-10.5277714655041,-1.67249948248614,330,"Creditos"
17,-5.10677349376023,2.64292148595488,0.054217182555163,-9.45399248568108,-0.759554501839378,329,"Creditos"
18,-4.28019524327448,2.57334561856574,0.09724460672417,-8.51297211737201,-0.0474183691769525,328,"Creditos"
19,-3.54790071812134,2.37833853706991,0.136760737946203,-7.45991948693923,0.364118050696556,327,"Creditos"
20,-2.99921766486709,2.46562045505725,0.224737563730222,-7.05480241305374,1.05636708331956,326,"Creditos"
21,-2.1243696669872,2.35218545393334,0.367140101021262,-5.99337044215194,1.74463110817755,325,"Creditos"
22,-1.04228156277425,2.38685544040029,0.662647696971032,-4.96830939092552,2.88374626537702,324,"Creditos"
23,-0.313002233132228,2.33790787341161,0.89358272401863,-4.15851847819172,3.53251401192727,323,"Creditos"
24,-0.159731522181859,2.10312260553242,0.93950795264341,-3.61906036781549,3.29959732345177,322,"Creditos"
