"proxy","response","horizon","ci_lower","ci_upper","n_boot_valid"
"VIX","Cred_Real_Total",8,-25.0418686646656,35.2170854097983,500
"VIX","Cred_Real_Total",9,-23.5991449886034,33.6297590979484,500
"VIX","Cred_Real_Total",10,-22.4586702570057,31.9753846395734,500
"VIX","Cred_Real_Total",11,-21.5621601931776,30.2670854889742,500
"VIX","Cred_Real_Total",12,-20.6080794531457,28.5176207415434,500
"VIX","Cred_Real_Total",13,-19.6082979005636,26.739170858935,500
"VIX","Cred_Real_Total",14,-18.7185774435338,24.9431982679325,500
"VIX","Cred_Real_Total",15,-17.9135043066712,23.1403648234397,500
"VIX","Cred_Real_Total",16,-16.6202840900704,21.6623562000423,500
"VIX","Cred_Real_Total",17,-15.7752245704016,20.2882928199782,500
"VIX","Cred_Real_Total",18,-14.9085089607318,18.9287054518144,500
"VIX","Cred_Real_Total",19,-14.0256943056332,17.5891530163911,500
"VIX","Cred_Real_Total",20,-13.1282699238617,16.2743037863549,500
"VIX","Cred_Real_Total",21,-12.2271077510981,14.9880882081218,500
"VIX","Cred_Real_Total",22,-11.3271928543437,13.4561348590469,500
"VIX","Cred_Real_Total",23,-9.15712813620805,11.978554814537,500
"VIX","Cred_Real_Total",24,-8.44599116055063,10.6654935328811,500
"VIX","IMAEP_yoy",0,-34.8623879004731,28.4805657360279,500
"VIX","IMAEP_yoy",1,-20.7698657214204,17.1142234650851,500
"VIX","IMAEP_yoy",2,-14.9854723107854,11.6510608010915,500
"VIX","IMAEP_yoy",3,-11.2927167546841,8.14044336266462,500
"VIX","IMAEP_yoy",4,-8.28527475012261,8.00860099408726,500
"VIX","IMAEP_yoy",5,-6.18402573138899,5.62126421952836,500
"VIX","IMAEP_yoy",6,-4.56979793281609,5.68524602307182,500
"VIX","IMAEP_yoy",7,-3.39175279100003,5.26305039429393,500
"VIX","IMAEP_yoy",8,-2.90443889509497,4.22823753244436,500
"VIX","IMAEP_yoy",9,-2.78830087613419,3.61259102790754,500
"VIX","IMAEP_yoy",10,-2.63384968397471,3.23906059267033,500
"VIX","IMAEP_yoy",11,-2.34612164981024,2.65031968216375,500
"VIX","IMAEP_yoy",12,-2.14973615328144,2.2341910939382,500
"VIX","IMAEP_yoy",13,-1.76343630040742,1.93676965722236,500
"VIX","IMAEP_yoy",14,-1.59310121069105,1.81274046544029,500
"VIX","IMAEP_yoy",15,-1.41673876989941,1.59113696562498,500
"VIX","IMAEP_yoy",16,-1.29531867323107,1.49231340090037,500
"VIX","IMAEP_yoy",17,-1.19061402861535,1.42462942803665,500
"VIX","IMAEP_yoy",18,-1.03537411021175,1.38560033937304,500
"VIX","IMAEP_yoy",19,-0.901841645710776,1.16393046040707,500
"VIX","IMAEP_yoy",20,-0.817826699979557,1.06525581955926,500
