"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","credit_type"
10,-7.560442268729,2.53326338567377,0.0030574094931977,-11.7272897366779,-3.39359480078013,334,"Purged","Real_MN"
11,-9.06831949058061,2.85529273122436,0.0016379093083143,-13.7648580955432,-4.37178088561805,333,"Purged","Real_MN"
12,-9.24006516510924,3.05441629348334,0.00268581099926992,-14.264132883665,-4.2159974465535,332,"Purged","Real_MN"
13,-9.82278354337864,3.15342507273974,0.0020061798617394,-15.0097062115943,-4.63586087516297,331,"Purged","Real_MN"
14,-10.1211551192236,3.08521405067639,0.0011507259570954,-15.1958806404003,-5.04642959804689,330,"Purged","Real_MN"
15,-9.74457107212489,2.85645219378195,0.000729705770576725,-14.4430168232806,-5.04612532096916,329,"Purged","Real_MN"
16,-9.2115634142821,2.81488527884473,0.00118380824576286,-13.8416376746422,-4.58148915392205,328,"Purged","Real_MN"
17,-8.54197608624493,2.69887724161082,0.00170178742272573,-12.9812341058053,-4.10271806668459,327,"Purged","Real_MN"
18,-7.94768282081735,2.71254908858095,0.00363758369943725,-12.4094290274536,-3.48593661418106,326,"Purged","Real_MN"
19,-7.29660912034962,2.57313389518256,0.00486946091709564,-11.5290377404724,-3.06418050022683,325,"Purged","Real_MN"
20,-6.73168974184727,2.41851898664873,0.00570637920498194,-10.7097994688874,-2.75358001480711,324,"Purged","Real_MN"
21,-6.23170441896595,2.40177486328315,0.00991653038445949,-10.1822725139581,-2.28113632397378,323,"Purged","Real_MN"
22,-5.78954865528649,2.16191131731486,0.00780031854510028,-9.34557632671927,-2.2335209838537,322,"Purged","Real_MN"
23,-4.84721198469334,1.9705255085554,0.0144447361838386,-8.08843801444108,-1.60598595494559,321,"Purged","Real_MN"
24,-4.29984265203183,1.93000403228001,0.0266072993627022,-7.47441678455857,-1.12526851950509,320,"Purged","Real_MN"
