"credit_type","horizon","first_stage_F","wu_hausman_p","sargan_p","n_instruments","instruments","er_controls","n_obs"
"Cred_Real_Total",20,4.79104076890362,7.72918937971697e-30,0.163733437549993,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",304
"Cred_Real_Total",21,4.66413895503126,6.31500486397539e-27,0.135646614783369,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",303
"Cred_Real_Total",22,4.66582235976062,7.96109689595398e-25,0.11706305884393,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",302
"Cred_Real_Total",23,4.54788907723969,6.25897941136074e-22,0.0924951293280974,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",301
"Cred_Real_Total",24,4.6572622068313,3.7167452148297e-20,0.105952318986848,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",300
"Cred_Real_MN",1,3.97161191311856,4.32994094595908e-06,0.621729371413964,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",323
"Cred_Real_MN",2,3.95896769371506,6.20616059248554e-09,0.658329533162595,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",322
"Cred_Real_MN",3,3.94160481567268,3.02899481040786e-11,0.710445265959236,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",321
"Cred_Real_MN",4,3.92754518329852,7.36188438417259e-15,0.855391654562987,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",320
"Cred_Real_MN",5,3.86321851030286,2.74916530103801e-18,0.942674138095124,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",319
"Cred_Real_MN",6,3.83392169565097,9.497937063884e-21,0.844298217009996,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",318
"Cred_Real_MN",7,3.82095701188012,1.22861656625948e-22,0.621514003168641,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",317
"Cred_Real_MN",8,3.80790673827922,7.97610767089401e-26,0.509816022451343,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",316
"Cred_Real_MN",9,3.73703290390624,6.08905734089916e-31,0.547754184411658,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",315
"Cred_Real_MN",10,3.67841379594332,2.26064924297522e-35,0.623964344386646,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",314
"Cred_Real_MN",11,3.74060248800194,2.22347182953839e-38,0.641981998328112,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",313
"Cred_Real_MN",12,3.49265457080385,1.49106778726263e-40,0.693448637808207,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",312
"Cred_Real_MN",13,3.73376228656962,1.15976810821829e-42,0.680617477108467,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",311
"Cred_Real_MN",14,3.64960435769527,9.515497989945e-43,0.701777563996512,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",310
"Cred_Real_MN",15,3.63533475428274,1.51351248966431e-41,0.675337353272659,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",309
"Cred_Real_MN",16,3.62164884789374,2.64395664227322e-37,0.534316107872573,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",308
"Cred_Real_MN",17,3.5594416938323,2.20793439159771e-32,0.375109676694025,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",307
"Cred_Real_MN",18,3.55819618409043,1.37317834205612e-30,0.363101245669263,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",306
"Cred_Real_MN",19,3.5905951614484,4.90387719484806e-27,0.291647675350285,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",305
"Cred_Real_MN",20,3.5913622233887,1.07226495210166e-24,0.299394247943994,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",304
"Cred_Real_MN",21,3.52614506486066,1.0249807379836e-20,0.194069974280408,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",303
"Cred_Real_MN",22,3.52064518876696,4.65386413822601e-18,0.15808758634585,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",302
"Cred_Real_MN",23,3.44362100228413,5.8637488874041e-14,0.0842917101963559,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",301
"Cred_Real_MN",24,3.51034638509981,4.88948779574538e-12,0.0906934064309274,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",300
"Cred_USD",1,5.6365075345224,0.074171973105318,0.0144025460986688,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",323
"Cred_USD",2,5.62434118838255,0.200409183360056,0.00085690761976947,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",322
"Cred_USD",3,5.61594171619648,0.499388815434795,0.000250180204832468,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",321
"Cred_USD",4,5.60051540036051,0.864876220431036,2.97769742451841e-05,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",320
"Cred_USD",5,5.41581992266012,0.159890100190829,7.27075099357959e-05,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",319
"Cred_USD",6,5.43018321018154,0.0245663327526676,0.000962055948343167,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",318
"Cred_USD",7,5.4146299332766,0.000701571048760222,0.0183132677468428,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",317
"Cred_USD",8,5.40075291919911,4.07828752061257e-06,0.1121572739323,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",316
"Cred_USD",9,5.38748321018871,3.11029978426561e-08,0.188511463759808,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",315
"Cred_USD",10,5.33573619631557,7.6200877469064e-11,0.195886073978609,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",314
"Cred_USD",11,5.41353902243481,3.01816550665606e-12,0.143911278547921,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",313
"Cred_USD",12,5.20572127671256,1.05119547016361e-14,0.129681317960125,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",312
"Cred_USD",13,5.33818558429757,1.14097448092755e-17,0.158098250483641,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",311
"Cred_USD",14,5.29730662020516,5.49636788670247e-19,0.160810428633012,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",310
"Cred_USD",15,5.27924716199623,4.34431482521529e-20,0.160113447048345,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",309
