"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side"
1,-6.67207245687416,2.18895029671991,-3.04806941796354,0.00293995102611728,-10.2725752916504,-3.07156962209792,112,0.172073729813298,"Construccion","Construction","Supply"
2,-5.83525065156851,3.28950789888086,-1.77389774730553,0.0791238743035148,-11.2460096499282,-0.424491653208821,111,0.231116850769532,"Construccion","Construction","Supply"
3,-4.98745888362031,2.32308302566632,-2.14691374717001,0.034242609306516,-8.80859042409695,-1.16632734314367,110,0.214205604118168,"Construccion","Construction","Supply"
4,-1.20447997047592,2.12369111536609,-0.56716344564463,0.571900018299777,-4.69764100411045,2.28868106315861,109,0.0994184822862154,"Construccion","Construction","Supply"
5,4.66205606891898,2.66671285153003,1.7482407474971,0.0835862875508468,0.27570376304171,9.04840837479624,108,0.0695086673359851,"Construccion","Construction","Supply"
6,0.10925528017106,2.35808780874704,0.0463321508918329,0.963141760053996,-3.76945400471656,3.98796456505868,107,0.0758487407431712,"Construccion","Construction","Supply"
7,2.7708222646697,2.70926560624014,1.02272079130513,0.30903716793315,-1.68552309412927,7.22716762346867,106,0.110672303942069,"Construccion","Construction","Supply"
8,1.45875192992078,2.11977172242682,0.688164633242075,0.49304388157065,-2.02796227602215,4.9454661358637,105,0.0966308852180716,"Construccion","Construction","Supply"
1,-1.26477608286875,1.36340523655258,-0.927659692775406,0.355795693958628,-3.5073781312169,0.977825965479398,112,0.227675065218549,"Servicios","Services","Supply"
2,-1.687078428646,0.884454182653759,-1.90747973352787,0.0593277537901303,-3.14187609885643,-0.232280758435563,111,0.246942701674709,"Servicios","Services","Supply"
3,-2.02914623459477,0.747933522473801,-2.71300346036549,0.00786450647664687,-3.25938740175439,-0.798905067435149,110,0.244346430646162,"Servicios","Services","Supply"
4,-2.28787074971363,0.760016837618631,-3.01028955737644,0.00331897758858099,-3.53798720161482,-1.03775429781244,109,0.163821078221783,"Servicios","Services","Supply"
5,0.874138874077838,0.92464096819456,0.945381941906239,0.346812921277298,-0.646760176084904,2.39503792424058,108,0.0941672936474593,"Servicios","Services","Supply"
6,-0.246639431400902,0.7904553502662,-0.312021964704068,0.755700511969201,-1.54682278122946,1.05354391842765,107,0.0920000814743897,"Servicios","Services","Supply"
7,0.444872642878299,0.741416146886433,0.6000309606778,0.54991421268424,-0.774648395408235,1.66439368116483,106,0.0935510986573783,"Servicios","Services","Supply"
8,0.786191054300814,0.517255972914385,1.51992648798459,0.13188604755461,-0.0646193088097243,1.63700141741135,105,0.155542963330264,"Servicios","Services","Supply"
1,-1.90305825583716,1.20944189306051,-1.57350118823936,0.118730244853007,-3.89241314022479,0.0862966285504618,112,0.204674215542056,"PIB","GDP","Supply"
