"specification","horizon","coef","se","p_value","ci_lower","ci_upper","n_obs"
"Exclude GFC",9,-5.36452820821956,2.14532105859049,0.0129022555334905,-8.8932673324175,-1.83578908402162,327
"Exclude GFC",10,-5.51010381764311,2.38524061576856,0.0215255321148277,-9.43347549564199,-1.58673213964424,326
"Exclude GFC",11,-6.57735014356466,2.6039195527168,0.0120272070252149,-10.8604166641408,-2.29428362298858,325
"Exclude GFC",12,-6.33440141676271,2.69899311349351,0.0195468241129923,-10.7738500286096,-1.89495280491588,324
"Exclude GFC",13,-6.3204229990685,2.7919806149838,0.0242698839377599,-10.9128224400028,-1.7280235581342,323
"Exclude GFC",14,-6.15893754715204,2.81347558384408,0.029328983590676,-10.7866930655774,-1.5311820287267,322
"Exclude GFC",15,-5.91970344007637,2.63658419603633,0.0254542886215956,-10.2564985176897,-1.58290836246309,321
"Exclude GFC",16,-5.23939494560882,2.61817674334389,0.0462436026393313,-9.54591245789801,-0.932877433319631,320
"Exclude GFC",17,-4.55087551309662,2.56551325794729,0.07706698403868,-8.7707693004233,-0.330981725769941,319
"Exclude GFC",18,-4.03312820983565,2.55956851978072,0.116116738449365,-8.24324377302777,0.176987353356468,318
