"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","sample","fci_variant","fci_col","comparison_to"
17,-5.10677349376023,2.64292148595488,0.054217182555163,-9.45399248568108,-0.759554501839378,329,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
18,-4.28019524327448,2.57334561856574,0.09724460672417,-8.51297211737201,-0.0474183691769525,328,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
1,0.237633325706772,1.00919562519221,0.813989782726295,-1.4223457586942,1.89761241010774,345,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
2,0.406640257919873,1.16466764855262,0.727199598476602,-1.50906754799495,2.3223480638347,344,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
3,-0.840231681657499,1.37401619326339,0.541277105903919,-3.10028720063684,1.41982383732184,343,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
4,-3.15268543483402,1.30658858290544,0.0163685820608195,-5.30183240435942,-1.00353846530861,342,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
5,-4.00247754513901,1.47556588552032,0.00702778485745209,-6.42956744374297,-1.57538764653504,341,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
6,-4.41055175507,1.77783128414571,0.0136059649668551,-7.33482399090487,-1.48627951923514,340,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
7,-4.81073590313019,1.79950173437753,0.00788498565834662,-7.77065285762653,-1.85081894863384,339,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
8,-5.94331823965064,1.95001263731502,0.00249283695353554,-9.15080359873945,-2.73583288056182,338,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
9,-6.15751714886956,2.15468465536632,0.00454108968886576,-9.70165801918554,-2.61337627855359,337,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
10,-7.4925833724874,2.35666627662148,0.00161833249018137,-11.3689544451025,-3.61621229987234,336,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
11,-8.34936088187737,2.60759193657077,0.00150046260724222,-12.6384679363552,-4.06025382739953,335,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
12,-7.94846064735573,2.78870955530668,0.0046495589709702,-12.5354796739161,-3.36144162079531,334,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
