"horizon","impulse","response","irf","lower","upper","output_var","method"
0,"Credit_yoy","IMAEP_SANB_yoy",0.296690896248597,-0.0847462815792133,0.678090994528693,"IMAEP_SANB","SVAR"
1,"Credit_yoy","IMAEP_SANB_yoy",0.187691543495676,-0.213241904050714,0.585334588159277,"IMAEP_SANB","SVAR"
2,"Credit_yoy","IMAEP_SANB_yoy",0.102435933452591,-0.180076977975383,0.359910028755591,"IMAEP_SANB","SVAR"
3,"Credit_yoy","IMAEP_SANB_yoy",0.0597346596336205,-0.186018976651726,0.249884169682942,"IMAEP_SANB","SVAR"
4,"Credit_yoy","IMAEP_SANB_yoy",0.0295959721124868,-0.207108866543287,0.208037800982327,"IMAEP_SANB","SVAR"
5,"Credit_yoy","IMAEP_SANB_yoy",0.00767788522827628,-0.228168151848713,0.183873932596667,"IMAEP_SANB","SVAR"
6,"Credit_yoy","IMAEP_SANB_yoy",-0.00911621298447999,-0.242099822037339,0.16315178933492,"IMAEP_SANB","SVAR"
7,"Credit_yoy","IMAEP_SANB_yoy",-0.0223099958589396,-0.24892972899888,0.14893312791286,"IMAEP_SANB","SVAR"
8,"Credit_yoy","IMAEP_SANB_yoy",-0.0329399474118422,-0.257012712082384,0.135267455286741,"IMAEP_SANB","SVAR"
9,"Credit_yoy","IMAEP_SANB_yoy",-0.0416894691774574,-0.26314632132703,0.127797495115793,"IMAEP_SANB","SVAR"
10,"Credit_yoy","IMAEP_SANB_yoy",-0.049023131775201,-0.25599409140486,0.119742198012539,"IMAEP_SANB","SVAR"
11,"Credit_yoy","IMAEP_SANB_yoy",-0.0552577860384942,-0.254109674570454,0.111367585148137,"IMAEP_SANB","SVAR"
12,"Credit_yoy","IMAEP_SANB_yoy",-0.060611829945889,-0.257875858492108,0.103359965434153,"IMAEP_SANB","SVAR"
13,"Credit_yoy","IMAEP_SANB_yoy",-0.0652376248760245,-0.257901732447108,0.0905683087702639,"IMAEP_SANB","SVAR"
14,"Credit_yoy","IMAEP_SANB_yoy",-0.0692432696536715,-0.243044790743274,0.0849005457466401,"IMAEP_SANB","SVAR"
15,"Credit_yoy","IMAEP_SANB_yoy",-0.0727071642161835,-0.232615935087099,0.0786453647655529,"IMAEP_SANB","SVAR"
16,"Credit_yoy","IMAEP_SANB_yoy",-0.0756877611495475,-0.227190877709422,0.0695573547921898,"IMAEP_SANB","SVAR"
17,"Credit_yoy","IMAEP_SANB_yoy",-0.0782300893718739,-0.224076026520505,0.0628598148722401,"IMAEP_SANB","SVAR"
18,"Credit_yoy","IMAEP_SANB_yoy",-0.0803701154007067,-0.223687693161971,0.0555058190592899,"IMAEP_SANB","SVAR"
19,"Credit_yoy","IMAEP_SANB_yoy",-0.0821376557233626,-0.221892322545875,0.0487233188880334,"IMAEP_SANB","SVAR"
20,"Credit_yoy","IMAEP_SANB_yoy",-0.0835583187237771,-0.218647633483895,0.0442472280547012,"IMAEP_SANB","SVAR"
21,"Credit_yoy","IMAEP_SANB_yoy",-0.0846547968850945,-0.221657469719691,0.0418457951951563,"IMAEP_SANB","SVAR"
22,"Credit_yoy","IMAEP_SANB_yoy",-0.0854477242638374,-0.218452227881838,0.0391234097482572,"IMAEP_SANB","SVAR"
23,"Credit_yoy","IMAEP_SANB_yoy",-0.0859562433453325,-0.213761285043681,0.0359757695055838,"IMAEP_SANB","SVAR"
24,"Credit_yoy","IMAEP_SANB_yoy",-0.0861983778657844,-0.20443180346788,0.0298184721506188,"IMAEP_SANB","SVAR"
