"output_var","output_label","horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","r_squared"
"IMAEP","Aggregate GDP (IMAE-P)",13,-0.157502674933227,0.0857202705217444,0.0670604451112172,-0.298512519941496,-0.0164928299249571,335,0.0408541615953288
"IMAEP","Aggregate GDP (IMAE-P)",14,-0.141784176296124,0.109797827481433,0.197510268724146,-0.322401602503081,0.0388332499108321,334,0.0180659881405271
"IMAEP","Aggregate GDP (IMAE-P)",15,-0.00524046947550987,0.116376336398113,0.964110842145666,-0.196679542850406,0.186198603899386,333,0.0177634116763536
"IMAEP","Aggregate GDP (IMAE-P)",16,-0.0700824228994531,0.085642581029561,0.413781863894999,-0.210964468693081,0.0707996228941748,332,0.0238136814148687
"IMAEP","Aggregate GDP (IMAE-P)",17,0.0131532959495294,0.124948843170852,0.916227548380101,-0.192387551066522,0.218694142965581,331,0.0284652654854431
"IMAEP","Aggregate GDP (IMAE-P)",18,-0.0769351852872281,0.0979645424959917,0.432835227872882,-0.238086857693135,0.0842164871186783,330,0.0427788108427695
"IMAEP","Aggregate GDP (IMAE-P)",19,-0.104273167005232,0.157368459659685,0.508060360713715,-0.363144283145414,0.15459794913495,329,0.045321406770962
"IMAEP","Aggregate GDP (IMAE-P)",20,-0.0750144047111989,0.148033672822721,0.61268818291289,-0.318529796504576,0.168500987082178,328,0.0644666584545708
"IMAEP","Aggregate GDP (IMAE-P)",21,-0.178134905679349,0.160493746656246,0.267872939544244,-0.442147118928874,0.0858773075701748,327,0.0736477380320832
"IMAEP","Aggregate GDP (IMAE-P)",22,-0.137403317653183,0.168908816973638,0.416555613491961,-0.415258321574818,0.140451686268451,326,0.0798105426645465
"IMAEP","Aggregate GDP (IMAE-P)",23,-0.0488359968243678,0.163796283982832,0.765783995222772,-0.318280883976127,0.220608890327391,325,0.0813996290362097
"IMAEP","Aggregate GDP (IMAE-P)",24,-0.0223466546986366,0.096911318729003,0.817784035387819,-0.181765774007847,0.137072464610573,324,0.0934464146639374
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",0,-3.44727483326319e-17,8.13143029679885e-18,2.89286507401986e-05,-4.7848951170866e-17,-2.10965454943978e-17,348,1
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",1,0.0109796422923994,0.0682692703619729,0.872324582056756,-0.101323307453046,0.123282592037845,347,0.404870539966923
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",2,0.241172219064296,0.0926908501954421,0.00968000537740312,0.088695770492794,0.393648667635798,346,0.250157613978398
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",3,0.045342661789015,0.0949519014055277,0.633293147533905,-0.110853216023078,0.201538539601108,345,0.177283088795956
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",4,0.114118001111526,0.101757016023003,0.262888742567429,-0.0532722902463147,0.281508292469367,344,0.145230694981142
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",5,0.0775799267678785,0.119569466816636,0.516895913810785,-0.119111846145488,0.274271699681245,343,0.110745442165033
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",6,0.0369641080693213,0.122211788636693,0.762490688720184,-0.164074284238038,0.238002500376681,342,0.0894207486757589
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",7,-0.127134331568497,0.128963306285301,0.32494037952584,-0.339278970407817,0.0850103072708221,341,0.0518833754462732
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",8,0.00812078838981287,0.100920125362955,0.935914087780596,-0.157892817832248,0.174134394611874,340,0.0295528456297812
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",9,0.0162720825582247,0.090752169433121,0.857810294284764,-0.133015236159259,0.165559401275709,339,0.0291287609833202
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",10,-0.0623550960682906,0.106337543852188,0.55801667440133,-0.237280355705139,0.112570163568558,338,0.0872365013694828
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",11,-0.145726150161586,0.101979053081949,0.153961274049291,-0.313481692481393,0.0220293921582204,337,0.0689732097730222
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",12,-0.13185124734106,0.0820493864313805,0.109025160532279,-0.266822488020681,0.00311999333856089,336,0.0607842744120791
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",13,-0.119616392088987,0.0833772380197415,0.152348058989639,-0.256771948631462,0.0175391644534877,335,0.036898884911519
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",14,-0.26454933243763,0.113255808337305,0.0201064848370064,-0.450855137152496,-0.0782435277227644,334,0.0300203805084548
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",15,-0.118289161434562,0.0955241171082844,0.216494922761476,-0.27542633407769,0.0388480112085661,333,0.0393249776002837
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",16,-0.271646994139177,0.0717248998471151,0.000181552476330019,-0.389634454387681,-0.153659533890672,332,0.0441310800513641
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",17,-0.117014724848109,0.118821307946341,0.3254637673372,-0.31247577641984,0.0784463267236214,331,0.0396602865115066
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",18,-0.179621861316014,0.130568462709484,0.169876451398721,-0.394406982473114,0.0351632598410872,330,0.0402421067155365
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",19,-0.0567685011678871,0.128670582688881,0.659371555217199,-0.268431609691095,0.154894607355321,329,0.034051855339459
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",20,-0.0413326489767864,0.13019156962373,0.751090436111094,-0.255497781007822,0.17283248305425,328,0.0409250628913435
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",21,-0.0809011019551228,0.127168630916373,0.525122029731808,-0.290093499812556,0.12829129590231,327,0.0443417479617112
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",22,-0.00550279204298901,0.148268700386851,0.970417752115822,-0.249404804179359,0.238399220093381,326,0.0432782217705267
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",23,0.0470213317134779,0.152594461678385,0.75817446666206,-0.203996557747466,0.298039221174421,325,0.0596189294854395
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",24,0.00870069327238586,0.0850653905143687,0.918597595232427,-0.131231874123751,0.148633260668522,324,0.0747894053593458
