"horizon","credit_type","method","coef","se","p_value","ci_lower","ci_upper","first_stage_F","wu_hausman_p","AR_F","AR_p","AR_CI_lower","AR_CI_upper","n_obs"
18,"Cred_Real_MN","OLS",-7.83367469617153,2.21497472694309,0.00047108081632477,-11.4769839093897,-4.19036548295334,NA,NA,NA,NA,NA,NA,306
19,"Cred_Real_MN","2SLS_GFC_PCA",1753.08455390404,10188.7705087379,0.863509593023844,-15005.9515715697,18512.1206793777,0.0236945841987038,5.54478501130402e-07,25.5771943688928,7.53519023760199e-07,-600,200,305
19,"Cred_Real_MN","OLS",-7.37042968545851,2.05268784056052,0.000387076891465034,-10.7468007250037,-3.99405864591335,NA,NA,NA,NA,NA,NA,305
20,"Cred_Real_MN","2SLS_GFC_PCA",1523.49049657561,7733.48519002257,0.843966148064246,-11196.9606672085,14243.9416603597,0.0315297094453696,4.67402999317466e-07,25.8669047199241,6.57710520307569e-07,-600,200,304
20,"Cred_Real_MN","OLS",-7.51799175637682,1.9957462382451,0.000200081250893023,-10.800702194829,-4.23528131792461,NA,NA,NA,NA,NA,NA,304
21,"Cred_Real_MN","2SLS_GFC_PCA",1976.57038523833,13098.8240575391,0.880162409650226,-19569.0778746041,23522.2186450808,0.0176234588019843,1.00455459191387e-06,24.5468767466151,1.23656481948746e-06,-600,200,303
21,"Cred_Real_MN","OLS",-6.29082721582248,1.91330545417701,0.00113396978799417,-9.43793463159157,-3.14371980005339,NA,NA,NA,NA,NA,NA,303
22,"Cred_Real_MN","2SLS_GFC_PCA",1888.08585198704,11991.3757676267,0.874997667736864,-17835.9720715317,21612.1437755058,0.0188078863129595,1.07967253777021e-06,24.4190381638984,1.31683665832208e-06,-600,200,302
22,"Cred_Real_MN","OLS",-6.06063637183619,1.71455717595153,0.000475264444317209,-8.88083196131573,-3.24044078235665,NA,NA,NA,NA,NA,NA,302
23,"Cred_Real_MN","2SLS_GFC_PCA",2560.9055098532,22586.1174335789,0.909805353994726,-34589.951669521,39711.7626892274,0.00940773364002257,2.55371840639962e-06,22.7273994063277,2.9720202080675e-06,-600,200,301
23,"Cred_Real_MN","OLS",-5.80002514985728,1.47651369652438,0.000107277954759907,-8.22867405882893,-3.37137624088563,NA,NA,NA,NA,NA,NA,301
24,"Cred_Real_MN","2SLS_GFC_PCA",1308.75116086673,6190.58529711622,0.832717980151105,-8873.85551804734,11491.3578397808,0.0350252804727311,3.43162076655753e-06,22.0497076815264,4.12867174899838e-06,-600,200,300
24,"Cred_Real_MN","OLS",-5.58594049261842,1.57991122242532,0.000474392681253577,-8.18466319708604,-2.9872177881508,NA,NA,NA,NA,NA,NA,300
