"horizon","coef_tpm","se_tpm","p_tpm","coef_fci","se_fci","p_fci","coef_interact","se_interact","p_interact","ci_interact_lo","ci_interact_hi","n_obs","r_squared","target_var","fci_type","tpm_change"
11,-0.171212314024455,0.0887489073601643,0.0545713918566826,-0.477556464372436,1.3079523170507,0.715258911136146,0.00418307266856488,0.0927709811968993,0.964062760621221,-0.148411612229002,0.156777757566132,335,0.113457970267786,"IMAEP_yoy","FCI_COMP","YoY"
12,-0.159173645908573,0.0902907988306245,0.0788514064642411,1.08567061092216,1.28784852986091,0.399838431003462,0.0261600727242334,0.0876627984301893,0.765574420824389,-0.118032399222379,0.170352544670846,334,0.0545209565936431,"IMAEP_yoy","FCI_COMP","YoY"
13,-0.134549902267052,0.0900450592440587,0.13607735278182,2.1795152995226,1.69650443061566,0.199805928549339,0.0176469076862369,0.09201531598678,0.84803214542401,-0.133704818549704,0.168998633922178,333,0.032010756586717,"IMAEP_yoy","FCI_COMP","YoY"
14,-0.0972797726315646,0.085994893434853,0.258793464029174,3.29961434972484,1.7318640601134,0.0576314191362279,0.00184847648511066,0.0940008514607559,0.984323104730156,-0.15276916497664,0.156466117946862,332,0.0292880695228849,"IMAEP_yoy","FCI_COMP","YoY"
15,-0.0485061813164232,0.0807521680181662,0.548473348245214,4.39561203270648,1.56713195514933,0.00533753754583927,-0.0506619270199996,0.097243324792071,0.602735863723178,-0.210612962501058,0.109289108461058,331,0.0443592856781808,"IMAEP_yoy","FCI_COMP","YoY"
16,0.00834623295812326,0.0741736701381007,0.910478748691485,2.31417437943118,1.49428709577843,0.122437580986622,-0.0775451290151516,0.0953525423986697,0.416675749843483,-0.234386104218647,0.0792958461883443,330,0.0358463345297556,"IMAEP_yoy","FCI_COMP","YoY"
17,0.0357601121292375,0.0694665636672978,0.60705877921156,0.597892678572058,1.2857219372717,0.642227958446506,-0.103969046928148,0.0967792392685077,0.283496724193536,-0.263156729652557,0.0552186357962614,329,0.0345154014957007,"IMAEP_yoy","FCI_COMP","YoY"
18,0.0748763247452399,0.0703271023746545,0.287817972188546,2.00586611716043,1.13674566854802,0.078587209554863,-0.11215349967213,0.10083723610959,0.266874520116043,-0.27801599321875,0.05370899387449,328,0.0509794892590413,"IMAEP_yoy","FCI_COMP","YoY"
19,0.133674236447755,0.073191986894291,0.0687290495147072,0.267602784146346,1.59733491635689,0.867058243534222,-0.134706561181581,0.108259303666837,0.214301447712622,-0.312777269469219,0.0433641471060565,327,0.0617994269276483,"IMAEP_yoy","FCI_COMP","YoY"
20,0.189963408831454,0.084177518017013,0.0247032557228978,0.391254434531471,1.19043056999947,0.742623564537543,-0.18968350990826,0.117107100520547,0.106275428735332,-0.382307548941252,0.00294052912473186,326,0.0903862032653715,"IMAEP_yoy","FCI_COMP","YoY"
21,0.205729471594259,0.0971583168380174,0.0349961652441471,1.59248123589972,1.25772581267193,0.206382791664182,-0.225402069229306,0.131391978981136,0.0872288648596804,-0.441522642408759,-0.00928149604985365,325,0.119704716208264,"IMAEP_yoy","FCI_COMP","YoY"
22,0.221428765850013,0.0990278410870525,0.026045708364436,1.34878762190102,1.33609935437984,0.313506496113623,-0.229172530655796,0.129866362119022,0.0785805531708151,-0.442783687406261,-0.0155613739053298,324,0.138846261986931,"IMAEP_yoy","FCI_COMP","YoY"
23,0.20453893292503,0.0958780888787245,0.033668286161268,1.43557521838269,0.926195670465087,0.122149695512719,-0.21085911084911,0.123763284137612,0.0894148063616613,-0.414431597646287,-0.00728662405193298,323,0.138856123320029,"IMAEP_yoy","FCI_COMP","YoY"
24,0.195340730401523,0.092634469860503,0.0357574038678637,1.1465872570967,0.973872306886761,0.239945169472666,-0.171419835960077,0.113220395564056,0.131019233221431,-0.357650814248495,0.0148111423283414,322,0.126745698545004,"IMAEP_yoy","FCI_COMP","YoY"
1,0.0343919485310194,0.0270325173683233,0.204161116569843,0.258215720700961,0.442917284112737,0.560289733441331,0.0319684979321136,0.0340115481488708,0.347924337246038,-0.0239755203987912,0.0879125162630183,345,0.775375993159873,"IPC_yoy","FCI_COMP","YoY"
2,0.0508653512122099,0.0372382058786652,0.172867004289673,0.303208839525561,0.59235488637273,0.60907708120573,0.0436936975446016,0.0464852994721058,0.347918196522016,-0.032767815892017,0.12015521098122,344,0.640649380501813,"IPC_yoy","FCI_COMP","YoY"
3,0.0602557391248397,0.0457274616842628,0.188496983829762,0.387381193957583,0.703535323307866,0.582259528343788,0.0655083905091033,0.0552718796728827,0.236774811930828,-0.0254057612392631,0.15642254225747,343,0.533453364581426,"IPC_yoy","FCI_COMP","YoY"
4,0.0634838206348421,0.0537416771769514,0.238330533320828,0.276192496503726,0.789454252138169,0.726669282605347,0.0920219583915907,0.0631422872953318,0.145949770322358,-0.0118378618801477,0.195881778663329,342,0.458029549755607,"IPC_yoy","FCI_COMP","YoY"
5,0.0616483341098688,0.0606561548966608,0.310194863854282,0.61142526721116,0.885970616111224,0.490598521924304,0.12093529724021,0.0688978743449704,0.0801275878115841,0.00760837873463827,0.234262215745781,341,0.393714099460641,"IPC_yoy","FCI_COMP","YoY"
6,0.062893805926257,0.0659928634102084,0.341261317050019,0.516891353450631,1.04499436184014,0.621183578227767,0.12700907301873,0.0727281252156928,0.0816714958857402,0.00738195247631646,0.246636193561143,340,0.323005419817689,"IPC_yoy","FCI_COMP","YoY"
