"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
6,3.06283512586057,3.50069853107414,0.874921133217599,0.383800511486833,-2.69530154984042,8.82097180156156,107,0.268460560058933,"Agricultura","Agriculture","Supply","FCI_EXO","Exogenous (External)"
7,-0.43822115019988,4.0568041410613,-0.108021273633693,0.914206634167743,-7.1110701554563,6.23462785505654,106,0.208159738171415,"Agricultura","Agriculture","Supply","FCI_EXO","Exogenous (External)"
8,0.38018708860413,5.00729001184438,0.0759267163884707,0.93963876449725,-7.85607204857598,8.61644622578424,105,0.161189433543002,"Agricultura","Agriculture","Supply","FCI_EXO","Exogenous (External)"
1,-3.79214438514865,1.88513516693736,-2.0116034391897,0.0469254367244339,-6.89291580177935,-0.691372968517963,112,0.159400541629435,"Ganaderia_fp","Livestock+","Supply","FCI_ENDO","Endogenous (Domestic)"
2,-4.50473661362134,1.89991149882794,-2.37102444845475,0.0196551564899956,-7.62981293335528,-1.37966029388741,111,0.253252473909056,"Ganaderia_fp","Livestock+","Supply","FCI_ENDO","Endogenous (Domestic)"
3,-3.36892906548382,1.95984811240496,-1.71897456959037,0.0887444313054181,-6.59259234144712,-0.145265789520518,110,0.211332368582517,"Ganaderia_fp","Livestock+","Supply","FCI_ENDO","Endogenous (Domestic)"
4,-1.15580640828601,1.5960907856464,-0.724148286977247,0.470699908643151,-3.78114212600031,1.46952930942829,109,0.118843461507935,"Ganaderia_fp","Livestock+","Supply","FCI_ENDO","Endogenous (Domestic)"
5,1.8988338321483,1.91026403818266,0.994016426103464,0.322688067367341,-1.24327089949141,5.04093856378801,108,0.10607569455214,"Ganaderia_fp","Livestock+","Supply","FCI_ENDO","Endogenous (Domestic)"
6,-2.29124045625616,2.03158966331481,-1.12780671098596,0.262212391497354,-5.63290808243665,1.05042716992433,107,0.134528711409405,"Ganaderia_fp","Livestock+","Supply","FCI_ENDO","Endogenous (Domestic)"
7,0.11138351528632,2.47722692697626,0.0449629842439492,0.964231191142408,-3.96329218033243,4.18605921090507,106,0.104906134981696,"Ganaderia_fp","Livestock+","Supply","FCI_ENDO","Endogenous (Domestic)"
8,-0.0709971359001832,1.80789404118149,-0.0392706288548777,0.96875790860953,-3.0447182066815,2.90272393488114,105,0.117054658818966,"Ganaderia_fp","Livestock+","Supply","FCI_ENDO","Endogenous (Domestic)"
1,-2.34484945472345,1.07138588359938,-2.18861335641815,0.030929167801473,-4.10712241122649,-0.582576498220411,112,0.186613405711465,"Ganaderia_fp","Livestock+","Supply","FCI_EXO","Exogenous (External)"
2,-2.33056833531996,1.02773496245617,-2.26767446905782,0.0255002657844095,-4.02104191586084,-0.640094754779092,111,0.276231110522115,"Ganaderia_fp","Livestock+","Supply","FCI_EXO","Exogenous (External)"
3,-1.74057539074309,1.12415540901106,-1.54834053796379,0.124731241192746,-3.58964649251205,0.108495711025866,110,0.234834544406345,"Ganaderia_fp","Livestock+","Supply","FCI_EXO","Exogenous (External)"
4,0.606241174354649,1.27764078466565,0.474500486858909,0.636198683524125,-1.49529090424377,2.70777325295307,109,0.147417863933439,"Ganaderia_fp","Livestock+","Supply","FCI_EXO","Exogenous (External)"
