"fecha","FCI_COMP_AVG","crisis_indicator","FCI_high","FCI_low"
2002-06-01,0.874464601345916,0,0,0.874464601345916
2002-07-01,1.07703567656059,1,1.07703567656059,0
2002-08-01,1.36665838099871,1,1.36665838099871,0
2002-09-01,1.39841113487106,1,1.39841113487106,0
2002-10-01,1.39139499275296,1,1.39139499275296,0
2002-11-01,1.16722853373106,1,1.16722853373106,0
2002-12-01,1.055742886401,1,1.055742886401,0
2003-01-01,1.02585786127597,1,1.02585786127597,0
2003-02-01,1.1380240922628,1,1.1380240922628,0
2003-03-01,1.18979358555337,1,1.18979358555337,0
2003-04-01,1.03633092715262,1,1.03633092715262,0
2003-05-01,0.76763726427375,0,0,0.76763726427375
2003-06-01,0.693936714651207,0,0,0.693936714651207
2003-07-01,0.534360561935555,0,0,0.534360561935555
2003-08-01,0.497016449477634,0,0,0.497016449477634
2003-09-01,0.230301690097721,0,0,0.230301690097721
2003-10-01,-0.0449031617386714,0,0,-0.0449031617386714
2003-11-01,-0.0716361618405715,0,0,-0.0716361618405715
2003-12-01,-0.0968029326091562,0,0,-0.0968029326091562
2004-01-01,-0.0594520651334763,0,0,-0.0594520651334763
2004-02-01,-0.0369259379636679,0,0,-0.0369259379636679
2004-03-01,-0.199064094761778,0,0,-0.199064094761778
2004-04-01,-0.411173449219139,0,0,-0.411173449219139
2004-05-01,-0.773364098792282,0,0,-0.773364098792282
2004-06-01,-0.953665743286526,0,0,-0.953665743286526
2004-07-01,-1.2346264480746,0,0,-1.2346264480746
2004-08-01,-1.21243424848598,0,0,-1.21243424848598
2004-09-01,-1.48669948177469,0,0,-1.48669948177469
2004-10-01,-1.78741570608331,0,0,-1.78741570608331
2004-11-01,-1.96287697098342,0,0,-1.96287697098342
2004-12-01,-2.0935852867005,0,0,-2.0935852867005
2005-01-01,-2.08724833161497,0,0,-2.08724833161497
2005-02-01,-2.0004754710641,0,0,-2.0004754710641
2005-03-01,-1.88459808387077,0,0,-1.88459808387077
2005-04-01,-1.79303205803908,0,0,-1.79303205803908
2005-05-01,-1.68038020884351,0,0,-1.68038020884351
2005-06-01,-1.54860137418995,0,0,-1.54860137418995
2005-07-01,-1.49731072342484,0,0,-1.49731072342484
2005-08-01,-1.42096778473987,0,0,-1.42096778473987
2005-09-01,-1.48361146132342,0,0,-1.48361146132342
2005-10-01,-1.52660505962228,0,0,-1.52660505962228
2005-11-01,-1.53257992178396,0,0,-1.53257992178396
2005-12-01,-1.55030829713493,0,0,-1.55030829713493
2006-01-01,-1.52972544801867,0,0,-1.52972544801867
2006-02-01,-1.42221954372187,0,0,-1.42221954372187
2006-03-01,-1.3608561933109,0,0,-1.3608561933109
2006-04-01,-1.22066845057042,0,0,-1.22066845057042
2006-05-01,-1.2022391144212,0,0,-1.2022391144212
2006-06-01,-1.20773153750489,0,0,-1.20773153750489
2006-07-01,-1.28488735458529,0,0,-1.28488735458529
2006-08-01,-1.30676773671612,0,0,-1.30676773671612
2006-09-01,-1.37757147990619,0,0,-1.37757147990619
2006-10-01,-1.34907005467075,0,0,-1.34907005467075
2006-11-01,-1.2929855178334,0,0,-1.2929855178334
2006-12-01,-1.26098829335296,0,0,-1.26098829335296
2007-01-01,-1.30948150367721,0,0,-1.30948150367721
2007-02-01,-1.36836170593842,0,0,-1.36836170593842
2007-03-01,-1.50327177927853,0,0,-1.50327177927853
2007-04-01,-1.63011175507208,0,0,-1.63011175507208
2007-05-01,-1.6130751188145,0,0,-1.6130751188145
2007-06-01,-1.56802055119275,0,0,-1.56802055119275
2007-07-01,-1.52492644145052,0,0,-1.52492644145052
2007-08-01,-1.48074620930467,0,0,-1.48074620930467
2007-09-01,-1.57320399920098,0,0,-1.57320399920098
2007-10-01,-1.59828180659946,0,0,-1.59828180659946
2007-11-01,-1.57367373087769,0,0,-1.57367373087769
2007-12-01,-1.54682047345647,0,0,-1.54682047345647
2008-01-01,-1.48923108791799,0,0,-1.48923108791799
2008-02-01,-1.5166595933469,0,0,-1.5166595933469
2008-03-01,-1.57950063577617,0,0,-1.57950063577617
2008-04-01,-1.56761653618478,0,0,-1.56761653618478
2008-05-01,-1.75541531294954,0,0,-1.75541531294954
2008-06-01,-1.84698719311432,0,0,-1.84698719311432
2008-07-01,-1.81445649257161,0,0,-1.81445649257161
2008-08-01,-1.782192598737,0,0,-1.782192598737
2008-09-01,-1.59160277481149,0,0,-1.59160277481149
2008-10-01,-1.02470854151538,0,0,-1.02470854151538
2008-11-01,-0.736081906061923,0,0,-0.736081906061923
2008-12-01,-0.685525316488895,0,0,-0.685525316488895
2009-01-01,-0.544500515471702,0,0,-0.544500515471702
2009-02-01,-0.430210406018489,0,0,-0.430210406018489
2009-03-01,-0.559765589690074,0,0,-0.559765589690074
2009-04-01,-0.72347919977966,0,0,-0.72347919977966
2009-05-01,-0.717785966913682,0,0,-0.717785966913682
2009-06-01,-0.744214600166283,0,0,-0.744214600166283
2009-07-01,-0.663520894630778,0,0,-0.663520894630778
