"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","fci_type"
12,-3.09398284086572,1.34476196002264,0.0227734699159907,-5.30591942819533,-0.882046253536112,162,"Cred_Real_MN","FCI_exCredit"
13,-2.8223664266897,1.51192842077585,0.0638908627935637,-5.30926737329387,-0.335465480085523,161,"Cred_Real_MN","FCI_exCredit"
14,-3.04035265466523,1.39676907476233,0.0310773895468213,-5.3378333333017,-0.742871976028759,160,"Cred_Real_MN","FCI_exCredit"
15,-2.99712808843595,1.41446135094168,0.0357670111321434,-5.32370997171505,-0.67054620515685,159,"Cred_Real_MN","FCI_exCredit"
16,-2.92449861747532,1.63383682647782,0.0755192097793776,-5.61192104735423,-0.237076187596398,158,"Cred_Real_MN","FCI_exCredit"
17,-3.11648966058778,1.61984956739146,0.0563080541777098,-5.78090509662739,-0.45207422454817,157,"Cred_Real_MN","FCI_exCredit"
18,-2.31924802717725,1.70086631157375,0.174816612888483,-5.1169241487289,0.478428094374394,156,"Cred_Real_MN","FCI_exCredit"
1,3.08976960565052,1.78066666420176,0.0846114108822178,0.160833584646676,6.01870562665437,173,"Cred_USD","FCI_exCredit"
2,1.93308598985419,1.82321856177324,0.290614245372641,-1.06584167420377,4.93201365391214,172,"Cred_USD","FCI_exCredit"
3,2.39579694143816,2.43110397426353,0.325877734979339,-1.60301324812534,6.39460713100166,171,"Cred_USD","FCI_exCredit"
4,0.805989804268809,2.82813564174981,0.776022829877666,-3.8458793635741,5.45785897211172,170,"Cred_USD","FCI_exCredit"
5,3.05871913888813,3.22576958192244,0.344468665921257,-2.24719965764672,8.36463793542299,169,"Cred_USD","FCI_exCredit"
6,-0.343405906235991,2.60558275911075,0.895314239965734,-4.62920815788154,3.94239634540955,168,"Cred_USD","FCI_exCredit"
7,-1.89515655382065,3.21287929560828,0.55613632765876,-7.17987271615923,3.38955960851792,167,"Cred_USD","FCI_exCredit"
8,-4.92980287171292,2.40689995315148,0.042228088277915,-8.88880098936346,-0.970804754062372,166,"Cred_USD","FCI_exCredit"
