"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","sector","sector_label","side"
1,-1.08386049526325,1.32067341794594,0.41377623771378,-3.25617495679003,1.08845396626352,2.78636310683883,1.43033819823906,0.0542130705331124,0.433666133698076,5.13906007997959,0.104104955918531,112,"PIB","GDP","Supply"
2,-0.596800004851636,1.2992452689434,0.646994480274349,-2.73386829777273,1.54026828806946,3.52127521548274,1.35890603712875,0.0110071817607473,1.28607369162526,5.75647673934022,0.0525586229986195,111,"PIB","GDP","Supply"
3,-0.0238838448033739,1.13172103539498,0.983205600751324,-1.88539929457009,1.83763160496334,3.15420061541473,1.32324104407948,0.0190665673638042,0.977662784729546,5.33073844609992,0.0924216533366573,110,"PIB","GDP","Supply"
4,0.725484575484584,0.90425797511224,0.424341743532485,-0.761887434578578,2.21285658554775,2.6063794379551,1.42158636704283,0.0698053173974138,0.268077946099946,4.94468092981026,0.323352093915846,109,"PIB","GDP","Supply"
5,3.47624521361478,1.18889382828902,0.00431171148259087,1.52068888809336,5.4318015391362,-0.864248624784755,1.28332984125484,0.502284053551562,-2.97513836874783,1.24664111917832,0.0368548188775258,108,"PIB","GDP","Supply"
6,1.4837829980711,0.834576761589165,0.0786221397655304,0.111026384801751,2.85653961134045,0.586231918509975,1.34551118571485,0.664046730462089,-1.62693703541687,2.79940087243682,0.620481746235646,107,"PIB","GDP","Supply"
7,1.40545747810586,1.15919319865839,0.228380745084211,-0.501245659044878,3.31216061525659,-0.27094361993328,1.12654772381002,0.810460304401355,-2.12394972937612,1.58206248950956,0.410665372435118,106,"PIB","GDP","Supply"
8,0.451810588843642,0.827394756482576,0.586329436800392,-0.909132677277353,1.81275385496464,-1.4659736743835,0.940602238381301,0.122500066370552,-3.01312667770366,0.0811793289366525,0.164814015304147,105,"PIB","GDP","Supply"
1,-1.01807383829558,1.38141880748217,0.462861945215319,-3.29030557412161,1.25415789753045,2.36012859611804,1.44150071106137,0.104716880310921,-0.0109290767243864,4.73118626896046,0.169551088293737,112,"PIB_exAgri","GDP ex-Agriculture","Supply"
2,-0.468428419751616,1.24803909333189,0.708216866990541,-2.52127004899581,1.58441320949258,3.02818854812854,1.20317931884931,0.0134478185541261,1.04913468164625,5.00724241461084,0.0759346851533582,111,"PIB_exAgri","GDP ex-Agriculture","Supply"
3,-0.443251439810311,1.13977525198959,0.698198443196102,-2.31801489695491,1.43151201733429,2.6470908576503,1.0272957436588,0.0114642018331104,0.957339727741319,4.33684198755929,0.0578917569769445,110,"PIB_exAgri","GDP ex-Agriculture","Supply"
4,-0.0613804590583841,0.92318792139867,0.947126554370856,-1.57988945992878,1.45712854181201,2.50010554844558,1.29610636930956,0.0566619548795571,0.36820028597185,4.63201081091931,0.171184682144919,109,"PIB_exAgri","GDP ex-Agriculture","Supply"
5,2.57617594633322,1.14172478023723,0.0263147181650791,0.698205800579636,4.4541460920868,-0.499570227700823,1.13804155828485,0.661667070426811,-2.37148201246717,1.37234155706552,0.112090359792815,108,"PIB_exAgri","GDP ex-Agriculture","Supply"
6,0.570517948248655,0.807047633416,0.481346722139855,-0.756957278698253,1.89799317519556,1.27448941558102,1.22666783585618,0.30144892051992,-0.743199623291723,3.29217845445377,0.676680909452566,107,"PIB_exAgri","GDP ex-Agriculture","Supply"
7,0.963136127512998,1.01724996250337,0.346166364105311,-0.710091162826921,2.63636341785292,0.23664685435683,0.91398457648363,0.796264819680761,-1.26672399124997,1.74001769996363,0.679851530640057,106,"PIB_exAgri","GDP ex-Agriculture","Supply"
8,0.253105207091532,0.729482080163773,0.729401040826074,-0.946786038261953,1.45299645244502,-1.20532405531709,0.705820447293649,0.0910297603548613,-2.36629537802456,-0.0443527326096227,0.189209479593832,105,"PIB_exAgri","GDP ex-Agriculture","Supply"
1,-2.19519771724569,1.64303002565633,0.184559977422364,-4.89774161413667,0.507346179645287,1.15722300630808,1.59936265968267,0.47102960567304,-1.47349446528171,3.78794047789787,0.229368236077134,112,"Consumo_Privado","Private Consumption","Demand"
2,-1.5526727568363,1.19392796885179,0.196457651272831,-3.51650950672098,0.411163993048371,2.50723853634014,1.11700013881101,0.0270183046054706,0.669936806711554,4.34454026596872,0.0251560010693168,111,"Consumo_Privado","Private Consumption","Demand"
3,-1.02130169647907,1.11348917716493,0.361285140939619,-2.85282840811001,0.810225015151871,2.9508083630595,1.06262514475055,0.00657586469688199,1.20294553962672,4.69867118649228,0.0197510329069718,110,"Consumo_Privado","Private Consumption","Demand"
4,1.53065832938436,1.14480249110946,0.184333463722263,-0.35237420026012,3.41369085902884,2.47366321302391,1.12707005301272,0.0305660997927697,0.619797948497542,4.32752847755027,0.59757677451935,109,"Consumo_Privado","Private Consumption","Demand"
