"proxy","response","horizon","irf_point","ci_lower","ci_upper","n_boot_valid"
"VIX","FCI_ENDO_exCredit_AVG",11,0.191165000818298,-0.662196870570693,0.849942876616706,500
"VIX","FCI_ENDO_exCredit_AVG",12,0.188967962828111,-0.691518687547883,0.876872587927591,500
"VIX","FCI_ENDO_exCredit_AVG",13,0.186341967076399,-0.716640971756465,1.02304568875132,500
"VIX","FCI_ENDO_exCredit_AVG",14,0.18332744030693,-0.770754414855075,1.0534312320776,500
"VIX","FCI_ENDO_exCredit_AVG",15,0.179962260201584,-0.794333800005014,1.07720441121441,500
"VIX","FCI_ENDO_exCredit_AVG",16,0.176282094072051,-0.846173723091313,1.08756492737834,500
"VIX","FCI_ENDO_exCredit_AVG",17,0.172320642063065,-0.879540086881991,1.11394232382585,500
"VIX","FCI_ENDO_exCredit_AVG",18,0.168109813103546,-0.897509039161602,1.16660724752965,500
"VIX","FCI_ENDO_exCredit_AVG",19,0.163679853500701,-0.935545384549679,1.20161115040979,500
"VIX","FCI_ENDO_exCredit_AVG",20,0.15905944237449,-0.960447842950851,1.23186644789565,500
"VIX","FCI_ENDO_exCredit_AVG",21,0.154275764100267,-0.983846544926836,1.25798671247967,500
"VIX","FCI_ENDO_exCredit_AVG",22,0.149354565036194,-1.03982593767596,1.33945284167728,500
"VIX","FCI_ENDO_exCredit_AVG",23,0.144320199726151,-1.05947401549283,1.37227369522394,500
"VIX","FCI_ENDO_exCredit_AVG",24,0.139195670261483,-1.06374208562119,1.3985932963178,500
"VIX","Cred_Real_Total",0,1.9084454717745,-33.2769054496385,37.9771902166313,500
"VIX","Cred_Real_Total",1,1.45151496894994,-34.3617244071695,44.1052423606815,500
"VIX","Cred_Real_Total",2,1.12956542094417,-35.2891586042457,42.6962640130192,500
"VIX","Cred_Real_Total",3,0.880722593083909,-33.5880076554802,42.0981253669107,500
"VIX","Cred_Real_Total",4,0.651579791393068,-30.4849742228861,40.9155747440872,500
"VIX","Cred_Real_Total",5,0.439098586839253,-28.9486714286597,39.4960697838526,500
"VIX","Cred_Real_Total",6,0.241474523699152,-27.7219212117299,38.0643445334255,500
"VIX","Cred_Real_Total",7,0.0575909150430019,-26.4107109471583,36.7241764918275,500
