"fecha","VIX","SP500","DXY","US_10Y","FFER","Selic_rate","d_ToT","FCI_ENDO_AVG","Cred_Real_Total","IMAEP_yoy","IPC_yoy","FCI_actual"
2001-06-01,0.203439968441628,0.163532081111249,0.850879235222306,0.0177039934435779,-0.139286509122826,0.133017251152444,0.0973416238821711,0.176587288363831,-0.138469645742443,0.0263637861060807,-0.0212170387711654,0.534508482458167
2001-07-01,0.203106801685991,0.185781135654798,0.861426791572272,0.0180200841473605,-0.151770613645883,0.137524270994554,0.100017059527148,0.299024905829154,-0.155374442542649,0.0253369644010196,-0.0276942330329125,0.6665293890489
2001-08-01,0.201192746087017,0.189697420045863,0.859207583673075,0.0102131225866699,-0.144642250587785,0.158701832926724,0.0871732174138768,0.459248686905896,-0.169620093005537,0.0149816958418727,-0.0309362424943968,0.816516629359156
2001-09-01,0.233325312682873,0.209207009543525,0.905766305107432,0.00750719371459798,-0.138297286075861,0.171027387356536,0.0574395465769218,0.382065943919348,-0.17660505330642,0.00347074381271423,-0.0372394694452592,0.812350886527496
2001-10-01,0.263386314702028,0.198564522071691,0.945638034892616,0.000122995955022716,-0.139837835329013,0.177311170854401,0.0480882406537923,0.233821209229902,-0.178103149147894,-5.2510984706401e-05,-0.0461791468637628,0.7136216526282
2001-11-01,0.252612742784498,0.203141580985414,0.986069818015908,0.00117366183280182,-0.136085159697025,0.187380539695017,0.0294070776209995,0.149023858208531,-0.167289138025897,0.00785514658891874,-0.0519366010481395,0.690786040078541
2001-12-01,0.243359169518074,0.197570397790131,1.01035848591309,-0.0149184613102132,-0.123999131270064,0.189570678814965,0.0200854980779489,-0.0143077017883216,-0.136261219064913,0.0163743114450398,-0.0531662228955886,0.584681850261837
2002-01-01,0.235574752969164,0.19572756985817,1.10295119722519,-0.0433893274740309,-0.104380597488954,0.190842559598027,0.0129240490499779,-0.0323789691660626,-0.108813829820177,0.0178680853829281,-0.0512816185155901,0.687901788853814
2002-02-01,0.227682583364512,0.197628291533947,1.09232458854101,-0.0298769686237657,-0.0740603465075523,0.196026435054047,0.00642491869813473,0.21126098208984,-0.115498126784783,0.0149927684751585,-0.0519738664793168,0.970761146663125
2002-03-01,0.202978864487681,0.188895295666051,1.13680839389435,-0.0303087557617931,-0.037473969430993,0.19425219162419,-0.0248613829474808,0.368051617025184,-0.0979663168290179,0.0128628975641246,-0.0596563034907819,1.17401326141359
