"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","purge_type","purge_r2"
18,-6.35122394253035,2.52038656968472,0.0122284516761702,-10.496890932996,-2.20555695206466,328,"Cred_Real_MN","baseline",0
19,-5.95534626431936,2.40847918204669,0.0139371669376051,-9.91694198234597,-1.99375054629274,327,"Cred_Real_MN","baseline",0
20,-5.53551862302462,2.30661541163521,0.0169823214963904,-9.32956334883496,-1.74147389721429,326,"Cred_Real_MN","baseline",0
21,-4.72036928237298,2.20186925014629,0.0328165866553183,-8.34212190454902,-1.09861666019694,325,"Cred_Real_MN","baseline",0
22,-4.111484212969,2.00628702498666,0.0412660700060022,-7.41153270272399,-0.811435723214016,324,"Cred_Real_MN","baseline",0
23,-3.25693090962998,1.8693908586837,0.0824515258511406,-6.3318052437258,-0.182056575534169,323,"Cred_Real_MN","baseline",0
24,-3.00779516779056,1.81572760266939,0.0986243819354662,-5.99440130059721,-0.0211890349839168,322,"Cred_Real_MN","baseline",0
1,0.514092270645,0.921770432580583,0.577409628563857,-1.0020851686018,2.0302697098918,343,"Cred_Real_Total","macro_purged",0.033
2,0.454764332737849,1.02637709096352,0.657999301444725,-1.2334757479534,2.1430044134291,342,"Cred_Real_Total","macro_purged",0.033
3,-1.12069568278621,1.10528807139725,0.311354253058312,-2.93873277585017,0.697341410277749,341,"Cred_Real_Total","macro_purged",0.033
4,-2.72317204303951,1.19290485675938,0.0230792894351069,-4.68532592328821,-0.761018162790822,340,"Cred_Real_Total","macro_purged",0.033
5,-3.61417655064612,1.33835497705257,0.00728369070330764,-5.8155745887996,-1.41277851249265,339,"Cred_Real_Total","macro_purged",0.033
6,-3.93728276164376,1.71831656301471,0.0225780348271066,-6.76366199256929,-1.11090353071824,338,"Cred_Real_Total","macro_purged",0.033
7,-5.10022064715264,1.73284396641864,0.00348067441394507,-7.95049533025732,-2.24994596404796,337,"Cred_Real_Total","macro_purged",0.033
8,-7.08051182595962,1.93294000536078,0.000290852547583849,-10.2599152044569,-3.90110844746235,336,"Cred_Real_Total","macro_purged",0.033
9,-6.83368028088987,1.94555479418087,0.000507023325314318,-10.0338331405311,-3.63352742124865,335,"Cred_Real_Total","macro_purged",0.033
10,-6.55166181660368,2.1476085012441,0.00247237984270325,-10.0841634491468,-3.01916018406052,334,"Cred_Real_Total","macro_purged",0.033
11,-8.03583775835935,2.4443558502812,0.0011224443762292,-12.0564453442544,-4.01523017246426,333,"Cred_Real_Total","macro_purged",0.033
12,-8.26994616989275,2.60476107199935,0.0016440389507833,-12.5543968665129,-3.98549547327262,332,"Cred_Real_Total","macro_purged",0.033
13,-8.78272676226337,2.77322429648184,0.00168877279782628,-13.3442748046815,-4.22117871984527,331,"Cred_Real_Total","macro_purged",0.033
14,-8.81089436458556,2.76526834280324,0.00158377961458257,-13.3593560277395,-4.26243270143157,330,"Cred_Real_Total","macro_purged",0.033
15,-8.23793200275903,2.76594342655239,0.00312098710711553,-12.7875040798663,-3.68835992565175,329,"Cred_Real_Total","macro_purged",0.033
16,-7.63710139470823,2.91867302551174,0.00930552869277047,-12.4378913066066,-2.83631148280983,328,"Cred_Real_Total","macro_purged",0.033
