"horizon","response_val","lower","upper","shock","response"
18,-0.0482984985446803,-0.235905668933136,0.136268942023793,"FFER","IMAEP_yoy"
19,-0.0486165816906232,-0.231282296776781,0.128114297016869,"FFER","IMAEP_yoy"
20,-0.0485654938218881,-0.227784388541157,0.123156434111651,"FFER","IMAEP_yoy"
21,-0.0482270798109477,-0.214702172330431,0.113459932913315,"FFER","IMAEP_yoy"
22,-0.0476658954452064,-0.205390596688611,0.113238206266062,"FFER","IMAEP_yoy"
23,-0.0469328253553848,-0.201895898192357,0.106427904559981,"FFER","IMAEP_yoy"
24,-0.0460679525259708,-0.198292071151022,0.0991131944976451,"FFER","IMAEP_yoy"
0,0.083726765413587,-0.0306282286287379,0.203573657446281,"FFER","IPC_yoy"
1,0.0441552513635895,-0.118385417735952,0.206653539741678,"FFER","IPC_yoy"
2,0.037434537666255,-0.1599674092579,0.22826797842299,"FFER","IPC_yoy"
3,0.0451862126446621,-0.175977802508371,0.250712355981464,"FFER","IPC_yoy"
4,0.0558958850329788,-0.170157730050939,0.265877003789726,"FFER","IPC_yoy"
5,0.0655072350973056,-0.163932894382192,0.275724022811045,"FFER","IPC_yoy"
6,0.0729598638975576,-0.153617061325713,0.278902373452063,"FFER","IPC_yoy"
7,0.0782376504529575,-0.139643465432046,0.272767718161889,"FFER","IPC_yoy"
8,0.0816342656605585,-0.135361403599988,0.2607474560184,"FFER","IPC_yoy"
9,0.0834998579209943,-0.130506456183707,0.253559334045112,"FFER","IPC_yoy"
10,0.0841592987582042,-0.132103093971743,0.243179337861848,"FFER","IPC_yoy"
11,0.0838896524017449,-0.124758098212483,0.238687267232314,"FFER","IPC_yoy"
12,0.0829180294917233,-0.13259516404334,0.237531321816781,"FFER","IPC_yoy"
13,0.0814262922798914,-0.137119344890199,0.235787195218761,"FFER","IPC_yoy"
14,0.0795576928136076,-0.136144528737778,0.230469237067928,"FFER","IPC_yoy"
15,0.0774235770328094,-0.138381308185882,0.226271986865129,"FFER","IPC_yoy"
16,0.0751094524810522,-0.135708183499854,0.221546109944506,"FFER","IPC_yoy"
17,0.0726801987226525,-0.135973675390153,0.211306215757017,"FFER","IPC_yoy"
18,0.0701844078815318,-0.136117880390066,0.208734258522829,"FFER","IPC_yoy"
19,0.0676579306431644,-0.131404789546876,0.207829017957175,"FFER","IPC_yoy"
20,0.0651267343052081,-0.134085187099571,0.206735837501729,"FFER","IPC_yoy"
21,0.0626091836173311,-0.134618280236076,0.20320981760446,"FFER","IPC_yoy"
22,0.0601178469637469,-0.130667817386762,0.200585341286773,"FFER","IPC_yoy"
23,0.0576609174607164,-0.131516120878515,0.201958204134261,"FFER","IPC_yoy"
24,0.0552433245738708,-0.129316048780206,0.198000943091387,"FFER","IPC_yoy"
0,0.0189739477364849,0.00490111305453073,0.0312556064498693,"VIX","FCI_ENDO"
1,0.0395950195169193,0.0158379760087766,0.0565742940421579,"VIX","FCI_ENDO"
2,0.0514880398166958,0.0235156065921377,0.0699068415734934,"VIX","FCI_ENDO"
3,0.0598479574770408,0.027826548297936,0.0804036443032993,"VIX","FCI_ENDO"
4,0.0661499391390697,0.0299233914732805,0.0885408828796239,"VIX","FCI_ENDO"
5,0.0709133481411786,0.0316348668162905,0.0944442352695839,"VIX","FCI_ENDO"
6,0.0743962877623577,0.0320630605610464,0.0982371617880321,"VIX","FCI_ENDO"
7,0.0767887532082431,0.0315390105159801,0.101208021788295,"VIX","FCI_ENDO"
8,0.0782594035194814,0.0293842975517191,0.103008924027057,"VIX","FCI_ENDO"
9,0.078962714747564,0.0275293722777404,0.103247018473302,"VIX","FCI_ENDO"
10,0.0790377680151814,0.0256310119662393,0.102275633747628,"VIX","FCI_ENDO"
11,0.0786068228472327,0.0245913863023671,0.10061262788062,"VIX","FCI_ENDO"
12,0.0777751229897728,0.0231660129761275,0.098930355580201,"VIX","FCI_ENDO"
13,0.0766317398039322,0.0210318575369932,0.0965817226726246,"VIX","FCI_ENDO"
14,0.0752510225821746,0.019004070281605,0.0938592878814948,"VIX","FCI_ENDO"
15,0.0736943128015375,0.0168915596561638,0.0912964439778342,"VIX","FCI_ENDO"
16,0.0720117012300694,0.0145480245352834,0.0887229918259818,"VIX","FCI_ENDO"
17,0.0702437007914915,0.0129010908350058,0.0861091626340456,"VIX","FCI_ENDO"
18,0.068422770417842,0.0109701755592232,0.0840657421081412,"VIX","FCI_ENDO"
19,0.0665746636478028,0.0090417709278802,0.0813993572016129,"VIX","FCI_ENDO"
20,0.0647195983391779,0.007339555225541,0.0794140153377106,"VIX","FCI_ENDO"
21,0.0628732563497009,0.00655921382683593,0.0776052685105522,"VIX","FCI_ENDO"
22,0.0610476282779397,0.00516291696028566,0.0750077884583813,"VIX","FCI_ENDO"
23,0.0592517208420039,0.00436445110123708,0.072783187035121,"VIX","FCI_ENDO"
24,0.0574921447831481,0.00322786617644898,0.0707721067228243,"VIX","FCI_ENDO"
0,-0.111148847608681,-0.454957664226012,0.235741741586594,"VIX","IMAEP_yoy"
1,-0.510381884676446,-0.854673844226712,-0.052533031261649,"VIX","IMAEP_yoy"
2,-0.650646555872576,-0.949756648133432,-0.246555169857635,"VIX","IMAEP_yoy"
3,-0.656231968538573,-0.955406543875817,-0.231628650277706,"VIX","IMAEP_yoy"
4,-0.606178362460731,-0.875860080432034,-0.165667059995319,"VIX","IMAEP_yoy"
